08/08/2025 05:27:32 - INFO - __main__ -   ########## Repeat:0 ##########
08/08/2025 05:27:32 - INFO - utils.trainer -   ***** Running training *****
08/08/2025 05:27:32 - INFO - utils.trainer -     Num examples = 6
08/08/2025 05:27:32 - INFO - utils.trainer -     Num Epochs = 200
08/08/2025 05:27:32 - INFO - utils.trainer -     Total train batch size = 16
08/08/2025 05:27:32 - INFO - utils.trainer -     warmup steps = 400
08/08/2025 05:27:32 - INFO - utils.trainer -     Total optimization steps = 1200
08/08/2025 05:27:32 - INFO - utils.trainer -     Save steps = 200
08/08/2025 05:27:32 - INFO - root -   Parameters [normal] length [11]
08/08/2025 05:27:34 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
08/08/2025 05:27:34 - INFO - utils.trainer -   AUC: 0.54911
08/08/2025 05:27:34 - INFO - utils.trainer -   Accuracy: 0.46154
08/08/2025 05:27:34 - INFO - utils.trainer -   Precision: 0.00000
08/08/2025 05:27:34 - INFO - utils.trainer -   Recall: 0.00000
08/08/2025 05:27:34 - INFO - utils.trainer -   F_score: 0.00000
08/08/2025 05:27:34 - INFO - utils.trainer -   Specificity: 1.00000
08/08/2025 05:27:34 - INFO - utils.trainer -   Sensitivity: 0.00000
08/08/2025 05:27:34 - INFO - utils.trainer -   Loss: 0.79769
08/08/2025 05:27:34 - INFO - utils.trainer -    Train loss: 0.70910, Test loss: 0.79769,Epoch time = 1.527s
08/08/2025 05:27:34 - INFO - utils.trainer -   Saving model checkpoint to output_dir/EEGNet
08/08/2025 05:27:35 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
08/08/2025 05:27:36 - INFO - utils.trainer -   AUC: 0.50446
08/08/2025 05:27:36 - INFO - utils.trainer -   Accuracy: 0.46154
08/08/2025 05:27:36 - INFO - utils.trainer -   Precision: 0.00000
08/08/2025 05:27:36 - INFO - utils.trainer -   Recall: 0.00000
08/08/2025 05:27:36 - INFO - utils.trainer -   F_score: 0.00000
08/08/2025 05:27:36 - INFO - utils.trainer -   Specificity: 1.00000
08/08/2025 05:27:36 - INFO - utils.trainer -   Sensitivity: 0.00000
08/08/2025 05:27:36 - INFO - utils.trainer -   Loss: 0.91166
08/08/2025 05:27:36 - INFO - utils.trainer -    Train loss: 0.54312, Test loss: 0.91166,Epoch time = 1.141s
08/08/2025 05:27:36 - INFO - utils.trainer -   Saving model checkpoint to output_dir/EEGNet
08/08/2025 05:27:37 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
08/08/2025 05:27:37 - INFO - utils.trainer -   AUC: 0.48065
08/08/2025 05:27:37 - INFO - utils.trainer -   Accuracy: 0.46154
08/08/2025 05:27:37 - INFO - utils.trainer -   Precision: 0.00000
08/08/2025 05:27:37 - INFO - utils.trainer -   Recall: 0.00000
