08/08/2025 05:52:34 - INFO - __main__ -   ########## Repeat:0 ##########
08/08/2025 05:52:34 - INFO - utils.trainer -   ***** Running training *****
08/08/2025 05:52:34 - INFO - utils.trainer -     Num examples = 6
08/08/2025 05:52:34 - INFO - utils.trainer -     Num Epochs = 200
08/08/2025 05:52:34 - INFO - utils.trainer -     Total train batch size = 16
08/08/2025 05:52:34 - INFO - utils.trainer -     warmup steps = 400
08/08/2025 05:52:34 - INFO - utils.trainer -     Total optimization steps = 1200
08/08/2025 05:52:34 - INFO - utils.trainer -     Save steps = 200
08/08/2025 05:52:34 - INFO - root -   Parameters [normal] length [17]
08/08/2025 05:52:36 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
08/08/2025 05:52:36 - INFO - utils.trainer -   AUC: 0.58333
08/08/2025 05:52:36 - INFO - utils.trainer -   Accuracy: 0.46154
08/08/2025 05:52:36 - INFO - utils.trainer -   Precision: 0.00000
08/08/2025 05:52:36 - INFO - utils.trainer -   Recall: 0.00000
08/08/2025 05:52:36 - INFO - utils.trainer -   F_score: 0.00000
08/08/2025 05:52:36 - INFO - utils.trainer -   Specificity: 1.00000
08/08/2025 05:52:36 - INFO - utils.trainer -   Sensitivity: 0.00000
08/08/2025 05:52:36 - INFO - utils.trainer -   Loss: 0.70263
08/08/2025 05:52:36 - INFO - utils.trainer -    Train loss: 0.73594, Test loss: 0.70263,Epoch time = 1.296s
08/08/2025 05:52:36 - INFO - utils.trainer -   Saving model checkpoint to output_dir/LMDA
08/08/2025 05:52:37 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
08/08/2025 05:52:37 - INFO - utils.trainer -   AUC: 0.54911
08/08/2025 05:52:37 - INFO - utils.trainer -   Accuracy: 0.46154
08/08/2025 05:52:37 - INFO - utils.trainer -   Precision: 0.00000
08/08/2025 05:52:37 - INFO - utils.trainer -   Recall: 0.00000
08/08/2025 05:52:37 - INFO - utils.trainer -   F_score: 0.00000
08/08/2025 05:52:37 - INFO - utils.trainer -   Specificity: 1.00000
08/08/2025 05:52:37 - INFO - utils.trainer -   Sensitivity: 0.00000
08/08/2025 05:52:37 - INFO - utils.trainer -   Loss: 0.70733
08/08/2025 05:52:37 - INFO - utils.trainer -    Train loss: 0.67041, Test loss: 0.70733,Epoch time = 0.639s
08/08/2025 05:52:37 - INFO - utils.trainer -   Saving model checkpoint to output_dir/LMDA
08/08/2025 05:52:38 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
08/08/2025 05:52:38 - INFO - utils.trainer -   AUC: 0.53274
08/08/2025 05:52:38 - INFO - utils.trainer -   Accuracy: 0.46154
08/08/2025 05:52:38 - INFO - utils.trainer -   Precision: 0.00000
08/08/2025 05:52:38 - INFO - utils.trainer -   Recall: 0.00000
08/08/2025 05:52:38 - INFO - utils.trainer -   F_score: 0.00000
08/08/2025 05:52:38 - INFO - utils.trainer -   Specificity: 1.00000
08/08/2025 05:52:38 - INFO - utils.trainer -   Sensitivity: 0.00000
08/08/2025 05:52:38 - INFO - utils.trainer -   Loss: 0.71257
08/08/2025 05:52:38 - INFO - utils.trainer -    Train loss: 0.66458, Test loss: 0.71257,Epoch time = 0.686s
08/08/2025 05:52:38 - INFO - utils.trainer -   Saving model checkpoint to output_dir/LMDA
08/08/2025 05:52:39 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
