11/08/2025 19:47:20 - INFO - __main__ -   ########## Repeat:0 ##########
11/08/2025 19:47:20 - INFO - utils.trainer -   ***** Running training *****
11/08/2025 19:47:20 - INFO - utils.trainer -     Num examples = 6
11/08/2025 19:47:20 - INFO - utils.trainer -     Num Epochs = 200
11/08/2025 19:47:20 - INFO - utils.trainer -     Total train batch size = 16
11/08/2025 19:47:20 - INFO - utils.trainer -     warmup steps = 400
11/08/2025 19:47:20 - INFO - utils.trainer -     Total optimization steps = 1200
11/08/2025 19:47:20 - INFO - utils.trainer -     Save steps = 200
11/08/2025 19:47:20 - INFO - root -   Parameters [normal] length [38]
11/08/2025 19:47:23 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
11/08/2025 19:47:24 - INFO - utils.trainer -   AUC: 0.58631
11/08/2025 19:47:24 - INFO - utils.trainer -   Accuracy: 0.53846
11/08/2025 19:47:24 - INFO - utils.trainer -   Precision: 0.53846
11/08/2025 19:47:24 - INFO - utils.trainer -   Recall: 1.00000
11/08/2025 19:47:24 - INFO - utils.trainer -   F_score: 0.70000
11/08/2025 19:47:24 - INFO - utils.trainer -   Specificity: 0.00000
11/08/2025 19:47:24 - INFO - utils.trainer -   Sensitivity: 1.00000
11/08/2025 19:47:24 - INFO - utils.trainer -   Loss: 0.67568
11/08/2025 19:47:24 - INFO - utils.trainer -    Train loss: 0.72532, Test loss: 0.67568,Epoch time = 2.584s
11/08/2025 19:47:24 - INFO - utils.trainer -   Saving model checkpoint to output_dir/FBNetGen
11/08/2025 19:47:26 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
11/08/2025 19:47:27 - INFO - utils.trainer -   AUC: 0.50893
11/08/2025 19:47:27 - INFO - utils.trainer -   Accuracy: 0.53846
11/08/2025 19:47:27 - INFO - utils.trainer -   Precision: 0.53846
11/08/2025 19:47:27 - INFO - utils.trainer -   Recall: 1.00000
11/08/2025 19:47:27 - INFO - utils.trainer -   F_score: 0.70000
11/08/2025 19:47:27 - INFO - utils.trainer -   Specificity: 0.00000
11/08/2025 19:47:27 - INFO - utils.trainer -   Sensitivity: 1.00000
11/08/2025 19:47:27 - INFO - utils.trainer -   Loss: 0.67492
11/08/2025 19:47:27 - INFO - utils.trainer -    Train loss: 0.69367, Test loss: 0.67492,Epoch time = 2.239s
11/08/2025 19:47:27 - INFO - utils.trainer -   Saving model checkpoint to output_dir/FBNetGen
11/08/2025 19:47:30 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
11/08/2025 19:47:31 - INFO - utils.trainer -   AUC: 0.59449
11/08/2025 19:47:31 - INFO - utils.trainer -   Accuracy: 0.53846
11/08/2025 19:47:31 - INFO - utils.trainer -   Precision: 0.53846
11/08/2025 19:47:31 - INFO - utils.trainer -   Recall: 1.00000
11/08/2025 19:47:31 - INFO - utils.trainer -   F_score: 0.70000
11/08/2025 19:47:31 - INFO - utils.trainer -   Specificity: 0.00000
11/08/2025 19:47:31 - INFO - utils.trainer -   Sensitivity: 1.00000
11/08/2025 19:47:31 - INFO - utils.trainer -   Loss: 0.67709
11/08/2025 19:47:31 - INFO - utils.trainer -    Train loss: 0.68790, Test loss: 0.67709,Epoch time = 2.447s
11/08/2025 19:47:31 - INFO - utils.trainer -   Saving model checkpoint to output_dir/FBNetGen
11/08/2025 19:47:33 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
11/08/2025 19:47:35 - INFO - utils.trainer -   AUC: 0.64137
11/08/2025 19:47:35 - INFO - utils.trainer -   Accuracy: 0.53846
11/08/2025 19:47:35 - INFO - utils.trainer -   Precision: 0.53846
11/08/2025 19:47:35 - INFO - utils.trainer -   Recall: 1.00000
11/08/2025 19:47:35 - INFO - utils.trainer -   F_score: 0.70000
11/08/2025 19:47:35 - INFO - utils.trainer -   Specificity: 0.00000
11/08/2025 19:47:35 - INFO - utils.trainer -   Sensitivity: 1.00000
11/08/2025 19:47:35 - INFO - utils.trainer -   Loss: 0.67693
11/08/2025 19:47:35 - INFO - utils.trainer -    Train loss: 0.67772, Test loss: 0.67693,Epoch time = 2.316s
11/08/2025 19:47:35 - INFO - utils.trainer -   Saving model checkpoint to output_dir/FBNetGen
11/08/2025 19:47:37 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
11/08/2025 19:47:38 - INFO - utils.trainer -   AUC: 0.67485
11/08/2025 19:47:38 - INFO - utils.trainer -   Accuracy: 0.53846
11/08/2025 19:47:38 - INFO - utils.trainer -   Precision: 0.53846
11/08/2025 19:47:38 - INFO - utils.trainer -   Recall: 1.00000
11/08/2025 19:47:38 - INFO - utils.trainer -   F_score: 0.70000
11/08/2025 19:47:38 - INFO - utils.trainer -   Specificity: 0.00000
11/08/2025 19:47:38 - INFO - utils.trainer -   Sensitivity: 1.00000
11/08/2025 19:47:38 - INFO - utils.trainer -   Loss: 0.67426
11/08/2025 19:47:38 - INFO - utils.trainer -    Train loss: 0.67752, Test loss: 0.67426,Epoch time = 2.447s
11/08/2025 19:47:38 - INFO - utils.trainer -   Saving model checkpoint to output_dir/FBNetGen
11/08/2025 19:47:41 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
11/08/2025 19:47:42 - INFO - utils.trainer -   AUC: 0.54688
11/08/2025 19:47:42 - INFO - utils.trainer -   Accuracy: 0.53846
11/08/2025 19:47:42 - INFO - utils.trainer -   Precision: 0.53846
11/08/2025 19:47:42 - INFO - utils.trainer -   Recall: 1.00000
11/08/2025 19:47:42 - INFO - utils.trainer -   F_score: 0.70000
11/08/2025 19:47:42 - INFO - utils.trainer -   Specificity: 0.00000
11/08/2025 19:47:42 - INFO - utils.trainer -   Sensitivity: 1.00000
11/08/2025 19:47:42 - INFO - utils.trainer -   Loss: 0.67504
11/08/2025 19:47:42 - INFO - utils.trainer -    Train loss: 0.65517, Test loss: 0.67504,Epoch time = 2.459s
11/08/2025 19:47:42 - INFO - utils.trainer -   Saving model checkpoint to output_dir/FBNetGen
11/08/2025 19:47:45 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
11/08/2025 19:47:46 - INFO - utils.trainer -   AUC: 0.70759
11/08/2025 19:47:46 - INFO - utils.trainer -   Accuracy: 0.57692
11/08/2025 19:47:46 - INFO - utils.trainer -   Precision: 0.56000
11/08/2025 19:47:46 - INFO - utils.trainer -   Recall: 1.00000
11/08/2025 19:47:46 - INFO - utils.trainer -   F_score: 0.71795
11/08/2025 19:47:46 - INFO - utils.trainer -   Specificity: 0.08333
11/08/2025 19:47:46 - INFO - utils.trainer -   Sensitivity: 1.00000
11/08/2025 19:47:46 - INFO - utils.trainer -   Loss: 0.68169
11/08/2025 19:47:46 - INFO - utils.trainer -    Train loss: 0.64442, Test loss: 0.68169,Epoch time = 2.526s
11/08/2025 19:47:46 - INFO - utils.trainer -   Saving model checkpoint to output_dir/FBNetGen
11/08/2025 19:47:48 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
11/08/2025 19:47:50 - INFO - utils.trainer -   AUC: 0.67411
11/08/2025 19:47:50 - INFO - utils.trainer -   Accuracy: 0.61538
11/08/2025 19:47:50 - INFO - utils.trainer -   Precision: 0.58696
11/08/2025 19:47:50 - INFO - utils.trainer -   Recall: 0.96429
11/08/2025 19:47:50 - INFO - utils.trainer -   F_score: 0.72973
11/08/2025 19:47:50 - INFO - utils.trainer -   Specificity: 0.20833
11/08/2025 19:47:50 - INFO - utils.trainer -   Sensitivity: 0.96429
11/08/2025 19:47:50 - INFO - utils.trainer -   Loss: 0.69762
11/08/2025 19:47:50 - INFO - utils.trainer -    Train loss: 0.61953, Test loss: 0.69762,Epoch time = 2.426s
11/08/2025 19:47:50 - INFO - utils.trainer -   Saving model checkpoint to output_dir/FBNetGen
11/08/2025 19:47:52 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
11/08/2025 19:47:53 - INFO - utils.trainer -   AUC: 0.59226
11/08/2025 19:47:53 - INFO - utils.trainer -   Accuracy: 0.59615
11/08/2025 19:47:53 - INFO - utils.trainer -   Precision: 0.73333
11/08/2025 19:47:53 - INFO - utils.trainer -   Recall: 0.39286
11/08/2025 19:47:53 - INFO - utils.trainer -   F_score: 0.51163
11/08/2025 19:47:53 - INFO - utils.trainer -   Specificity: 0.83333
11/08/2025 19:47:53 - INFO - utils.trainer -   Sensitivity: 0.39286
11/08/2025 19:47:53 - INFO - utils.trainer -   Loss: 0.75564
11/08/2025 19:47:53 - INFO - utils.trainer -    Train loss: 0.59791, Test loss: 0.75564,Epoch time = 2.229s
11/08/2025 19:47:55 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
11/08/2025 19:47:56 - INFO - utils.trainer -   AUC: 0.60417
11/08/2025 19:47:56 - INFO - utils.trainer -   Accuracy: 0.55769
11/08/2025 19:47:56 - INFO - utils.trainer -   Precision: 0.55814
11/08/2025 19:47:56 - INFO - utils.trainer -   Recall: 0.85714
11/08/2025 19:47:56 - INFO - utils.trainer -   F_score: 0.67606
11/08/2025 19:47:56 - INFO - utils.trainer -   Specificity: 0.20833
11/08/2025 19:47:56 - INFO - utils.trainer -   Sensitivity: 0.85714
11/08/2025 19:47:56 - INFO - utils.trainer -   Loss: 0.88446
11/08/2025 19:47:56 - INFO - utils.trainer -    Train loss: 0.51305, Test loss: 0.88446,Epoch time = 2.186s
11/08/2025 19:47:58 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
11/08/2025 19:48:00 - INFO - utils.trainer -   AUC: 0.65625
11/08/2025 19:48:00 - INFO - utils.trainer -   Accuracy: 0.55769
11/08/2025 19:48:00 - INFO - utils.trainer -   Precision: 0.55556
11/08/2025 19:48:00 - INFO - utils.trainer -   Recall: 0.89286
11/08/2025 19:48:00 - INFO - utils.trainer -   F_score: 0.68493
11/08/2025 19:48:00 - INFO - utils.trainer -   Specificity: 0.16667
11/08/2025 19:48:00 - INFO - utils.trainer -   Sensitivity: 0.89286
11/08/2025 19:48:00 - INFO - utils.trainer -   Loss: 1.06581
11/08/2025 19:48:00 - INFO - utils.trainer -    Train loss: 0.71266, Test loss: 1.06581,Epoch time = 2.253s
11/08/2025 19:48:02 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
11/08/2025 19:48:03 - INFO - utils.trainer -   AUC: 0.55952
11/08/2025 19:48:03 - INFO - utils.trainer -   Accuracy: 0.51923
11/08/2025 19:48:03 - INFO - utils.trainer -   Precision: 0.53488
11/08/2025 19:48:03 - INFO - utils.trainer -   Recall: 0.82143
11/08/2025 19:48:03 - INFO - utils.trainer -   F_score: 0.64789
11/08/2025 19:48:03 - INFO - utils.trainer -   Specificity: 0.16667
11/08/2025 19:48:03 - INFO - utils.trainer -   Sensitivity: 0.82143
11/08/2025 19:48:03 - INFO - utils.trainer -   Loss: 0.96470
11/08/2025 19:48:03 - INFO - utils.trainer -    Train loss: 0.79343, Test loss: 0.96470,Epoch time = 2.383s
11/08/2025 19:48:05 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
11/08/2025 19:48:06 - INFO - utils.trainer -   AUC: 0.54018
11/08/2025 19:48:06 - INFO - utils.trainer -   Accuracy: 0.48077
11/08/2025 19:48:06 - INFO - utils.trainer -   Precision: 0.51220
11/08/2025 19:48:06 - INFO - utils.trainer -   Recall: 0.75000
11/08/2025 19:48:06 - INFO - utils.trainer -   F_score: 0.60870
11/08/2025 19:48:06 - INFO - utils.trainer -   Specificity: 0.16667
11/08/2025 19:48:06 - INFO - utils.trainer -   Sensitivity: 0.75000
11/08/2025 19:48:06 - INFO - utils.trainer -   Loss: 0.86633
11/08/2025 19:48:06 - INFO - utils.trainer -    Train loss: 0.59537, Test loss: 0.86633,Epoch time = 2.103s
11/08/2025 19:48:09 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
11/08/2025 19:48:10 - INFO - utils.trainer -   AUC: 0.52083
11/08/2025 19:48:10 - INFO - utils.trainer -   Accuracy: 0.51923
11/08/2025 19:48:10 - INFO - utils.trainer -   Precision: 0.53333
11/08/2025 19:48:10 - INFO - utils.trainer -   Recall: 0.85714
11/08/2025 19:48:10 - INFO - utils.trainer -   F_score: 0.65753
11/08/2025 19:48:10 - INFO - utils.trainer -   Specificity: 0.12500
11/08/2025 19:48:10 - INFO - utils.trainer -   Sensitivity: 0.85714
11/08/2025 19:48:10 - INFO - utils.trainer -   Loss: 0.94329
11/08/2025 19:48:10 - INFO - utils.trainer -    Train loss: 0.54843, Test loss: 0.94329,Epoch time = 2.425s
11/08/2025 19:48:13 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
11/08/2025 19:48:14 - INFO - utils.trainer -   AUC: 0.56696
11/08/2025 19:48:14 - INFO - utils.trainer -   Accuracy: 0.48077
11/08/2025 19:48:14 - INFO - utils.trainer -   Precision: 0.51163
11/08/2025 19:48:14 - INFO - utils.trainer -   Recall: 0.78571
11/08/2025 19:48:14 - INFO - utils.trainer -   F_score: 0.61972
11/08/2025 19:48:14 - INFO - utils.trainer -   Specificity: 0.12500
11/08/2025 19:48:14 - INFO - utils.trainer -   Sensitivity: 0.78571
11/08/2025 19:48:14 - INFO - utils.trainer -   Loss: 1.17704
11/08/2025 19:48:14 - INFO - utils.trainer -    Train loss: 0.53963, Test loss: 1.17704,Epoch time = 2.352s
11/08/2025 19:48:16 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
11/08/2025 19:48:18 - INFO - utils.trainer -   AUC: 0.57143
11/08/2025 19:48:18 - INFO - utils.trainer -   Accuracy: 0.50000
11/08/2025 19:48:18 - INFO - utils.trainer -   Precision: 0.52273
11/08/2025 19:48:18 - INFO - utils.trainer -   Recall: 0.82143
11/08/2025 19:48:18 - INFO - utils.trainer -   F_score: 0.63889
11/08/2025 19:48:18 - INFO - utils.trainer -   Specificity: 0.12500
11/08/2025 19:48:18 - INFO - utils.trainer -   Sensitivity: 0.82143
11/08/2025 19:48:18 - INFO - utils.trainer -   Loss: 1.12589
11/08/2025 19:48:18 - INFO - utils.trainer -    Train loss: 0.50302, Test loss: 1.12589,Epoch time = 2.427s
11/08/2025 19:48:20 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
11/08/2025 19:48:21 - INFO - utils.trainer -   AUC: 0.58036
11/08/2025 19:48:21 - INFO - utils.trainer -   Accuracy: 0.51923
11/08/2025 19:48:21 - INFO - utils.trainer -   Precision: 0.53333
11/08/2025 19:48:21 - INFO - utils.trainer -   Recall: 0.85714
11/08/2025 19:48:21 - INFO - utils.trainer -   F_score: 0.65753
11/08/2025 19:48:21 - INFO - utils.trainer -   Specificity: 0.12500
11/08/2025 19:48:21 - INFO - utils.trainer -   Sensitivity: 0.85714
11/08/2025 19:48:21 - INFO - utils.trainer -   Loss: 1.16493
11/08/2025 19:48:21 - INFO - utils.trainer -    Train loss: 0.46865, Test loss: 1.16493,Epoch time = 2.391s
11/08/2025 19:48:23 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
11/08/2025 19:48:25 - INFO - utils.trainer -   AUC: 0.59524
11/08/2025 19:48:25 - INFO - utils.trainer -   Accuracy: 0.50000
11/08/2025 19:48:25 - INFO - utils.trainer -   Precision: 0.52381
11/08/2025 19:48:25 - INFO - utils.trainer -   Recall: 0.78571
11/08/2025 19:48:25 - INFO - utils.trainer -   F_score: 0.62857
11/08/2025 19:48:25 - INFO - utils.trainer -   Specificity: 0.16667
11/08/2025 19:48:25 - INFO - utils.trainer -   Sensitivity: 0.78571
11/08/2025 19:48:25 - INFO - utils.trainer -   Loss: 1.08261
11/08/2025 19:48:25 - INFO - utils.trainer -    Train loss: 0.60058, Test loss: 1.08261,Epoch time = 2.296s
11/08/2025 19:48:27 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
11/08/2025 19:48:28 - INFO - utils.trainer -   AUC: 0.54613
11/08/2025 19:48:28 - INFO - utils.trainer -   Accuracy: 0.51923
11/08/2025 19:48:28 - INFO - utils.trainer -   Precision: 0.53659
11/08/2025 19:48:28 - INFO - utils.trainer -   Recall: 0.78571
11/08/2025 19:48:28 - INFO - utils.trainer -   F_score: 0.63768
11/08/2025 19:48:28 - INFO - utils.trainer -   Specificity: 0.20833
11/08/2025 19:48:28 - INFO - utils.trainer -   Sensitivity: 0.78571
11/08/2025 19:48:28 - INFO - utils.trainer -   Loss: 1.00537
11/08/2025 19:48:28 - INFO - utils.trainer -    Train loss: 0.50900, Test loss: 1.00537,Epoch time = 2.290s
11/08/2025 19:48:30 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
11/08/2025 19:48:31 - INFO - utils.trainer -   AUC: 0.59003
11/08/2025 19:48:31 - INFO - utils.trainer -   Accuracy: 0.51923
11/08/2025 19:48:31 - INFO - utils.trainer -   Precision: 0.53846
11/08/2025 19:48:31 - INFO - utils.trainer -   Recall: 0.75000
11/08/2025 19:48:31 - INFO - utils.trainer -   F_score: 0.62687
11/08/2025 19:48:31 - INFO - utils.trainer -   Specificity: 0.25000
11/08/2025 19:48:31 - INFO - utils.trainer -   Sensitivity: 0.75000
11/08/2025 19:48:31 - INFO - utils.trainer -   Loss: 1.25975
11/08/2025 19:48:31 - INFO - utils.trainer -    Train loss: 0.45551, Test loss: 1.25975,Epoch time = 2.167s
11/08/2025 19:48:34 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
11/08/2025 19:48:35 - INFO - utils.trainer -   AUC: 0.56101
11/08/2025 19:48:35 - INFO - utils.trainer -   Accuracy: 0.51923
11/08/2025 19:48:35 - INFO - utils.trainer -   Precision: 0.53659
11/08/2025 19:48:35 - INFO - utils.trainer -   Recall: 0.78571
11/08/2025 19:48:35 - INFO - utils.trainer -   F_score: 0.63768
11/08/2025 19:48:35 - INFO - utils.trainer -   Specificity: 0.20833
11/08/2025 19:48:35 - INFO - utils.trainer -   Sensitivity: 0.78571
11/08/2025 19:48:35 - INFO - utils.trainer -   Loss: 1.18134
11/08/2025 19:48:35 - INFO - utils.trainer -    Train loss: 0.46552, Test loss: 1.18134,Epoch time = 2.385s
11/08/2025 19:48:37 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
11/08/2025 19:48:39 - INFO - utils.trainer -   AUC: 0.57143
11/08/2025 19:48:39 - INFO - utils.trainer -   Accuracy: 0.50000
11/08/2025 19:48:39 - INFO - utils.trainer -   Precision: 0.52500
11/08/2025 19:48:39 - INFO - utils.trainer -   Recall: 0.75000
11/08/2025 19:48:39 - INFO - utils.trainer -   F_score: 0.61765
11/08/2025 19:48:39 - INFO - utils.trainer -   Specificity: 0.20833
11/08/2025 19:48:39 - INFO - utils.trainer -   Sensitivity: 0.75000
11/08/2025 19:48:39 - INFO - utils.trainer -   Loss: 1.84986
11/08/2025 19:48:39 - INFO - utils.trainer -    Train loss: 0.65087, Test loss: 1.84986,Epoch time = 2.364s
11/08/2025 19:48:41 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
11/08/2025 19:48:42 - INFO - utils.trainer -   AUC: 0.64286
11/08/2025 19:48:42 - INFO - utils.trainer -   Accuracy: 0.55769
11/08/2025 19:48:42 - INFO - utils.trainer -   Precision: 0.55556
11/08/2025 19:48:42 - INFO - utils.trainer -   Recall: 0.89286
11/08/2025 19:48:42 - INFO - utils.trainer -   F_score: 0.68493
11/08/2025 19:48:42 - INFO - utils.trainer -   Specificity: 0.16667
11/08/2025 19:48:42 - INFO - utils.trainer -   Sensitivity: 0.89286
11/08/2025 19:48:42 - INFO - utils.trainer -   Loss: 1.15514
11/08/2025 19:48:42 - INFO - utils.trainer -    Train loss: 0.61555, Test loss: 1.15514,Epoch time = 2.470s
11/08/2025 19:48:45 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
11/08/2025 19:48:46 - INFO - utils.trainer -   AUC: 0.65923
11/08/2025 19:48:46 - INFO - utils.trainer -   Accuracy: 0.53846
11/08/2025 19:48:46 - INFO - utils.trainer -   Precision: 0.54545
11/08/2025 19:48:46 - INFO - utils.trainer -   Recall: 0.85714
