Region1,Region2,Connection,Nor_vs_AD_t_statistic,Nor_vs_AD_p_value,Nor_vs_AD_cohens_d,Nor_vs_MCI_t_statistic,Nor_vs_MCI_p_value,Nor_vs_MCI_cohens_d,Nor_vs_DSC_t_statistic,Nor_vs_DSC_p_value,Nor_vs_DSC_cohens_d
0,3,0-3,-5.069461861742894,1.8558982334366087e-05,-0.6478850245475769,-5.279376852949632,7.231759478361169e-06,-0.6670386791229248,-3.2544337938502195,0.0107154449394045,-0.4213687777519226
0,19,0-19,-5.240007221179283,9.79383940639218e-06,-0.67013019323349,-5.458911729906301,3.435356961676814e-06,-0.6888988614082336,-7.130435308841382,5.331959213078841e-09,-0.9056823253631592
0,32,0-32,4.773137666061966,5.7152094105944416e-05,0.6104682087898254,4.056805332470225,0.0006183511888451603,0.5155270099639893,4.6176638171567435,0.00023595189116518551,0.5958184599876404
1,12,1-12,-3.1886734247799455,0.008984455102761826,-0.40412235260009766,-5.400637325235076,4.3283345954758275e-06,-0.6788439154624939,-4.417597364360465,0.0004504821944647324,-0.5680277943611145
1,33,1-33,4.341867723142501,0.0002753735980028696,0.5580608248710632,4.399321404144899,0.00018589340589487816,0.5585662126541138,3.0761997708205,0.01670325472610333,0.40289801359176636
1,39,1-39,-3.8244520068782126,0.0014495069320446788,-0.482786625623703,-3.638312210244788,0.002351285430204361,-0.4619397521018982,-3.2579341108888653,0.010605781994467751,-0.41578903794288635
1,43,1-43,4.038551078329198,0.000703606891201077,0.5083553791046143,2.577357594893104,0.03618519100408983,0.32784342765808105,3.4139495864205105,0.007478201824984784,0.431782066822052
1,63,1-63,-3.697024942651076,0.00219157005137998,-0.4817364513874054,-5.900997142770861,5.909233405006852e-07,-0.7644631266593933,-2.8071969665173526,0.030396284242346746,-0.3720090091228485
2,4,2-4,5.84322165469646,7.939030126514108e-07,0.7480300068855286,6.189911048786211,1.6462822508350324e-07,0.7856238484382629,5.128150784446061,4.2010858432401314e-05,0.6581069827079773
2,6,2-6,-4.123655098298289,0.0005331817385949002,-0.52410489320755,-3.3468717232472835,0.005170229972954497,-0.4248862862586975,-3.053804436261135,0.0174119695245855,-0.3890721797943115
2,9,2-9,-5.617173466591942,2.4020400218128495e-06,-0.6985242366790771,-6.112495636884738,2.20282652451874e-07,-0.7773818373680115,-6.718169537816703,4.3315997390048956e-08,-0.8491525650024414
2,15,2-15,5.04130629404954,2.031063292714032e-05,0.6341758370399475,4.580627232749039,0.00010074066938593287,0.5881592631340027,3.54369050058269,0.005539538669337022,0.46421486139297485
2,19,2-19,-6.447295723077468,7.793251759722898e-08,-0.8220040202140808,-6.50679850838276,4.902940348951937e-08,-0.832557201385498,-3.802273660059127,0.0027221236742309683,-0.4880126416683197
2,22,2-22,2.4426259771352954,0.04965419844706011,0.3069169819355011,3.345283036073655,0.005182772955047219,0.4223526418209076,2.6114556988149116,0.04552784170683726,0.32516953349113464
2,24,2-24,4.60633138306041,0.00010754522236661332,0.5819351077079773,6.970891518557167,7.824238970548664e-09,0.8595487475395203,2.714478254935492,0.036945535485177976,0.3445054590702057
2,27,2-27,-3.4683556707947076,0.004209727846123137,-0.44711074233055115,-2.8511401875580047,0.019096657572646735,-0.36871644854545593,-2.615384033131749,0.04524849090096082,-0.34180229902267456
2,36,2-36,5.529701492925159,3.368737381234967e-06,0.7083210349082947,5.308758275590053,6.565136238455971e-06,0.6770011782646179,6.669069975460591,5.050496392671451e-08,0.8414459228515625
2,41,2-41,5.153394796076758,1.3306181218475182e-05,0.6560553312301636,3.2112807608538323,0.007579913834448994,0.41200336813926697,3.344309588497648,0.008821439193055072,0.4424901008605957
2,46,2-46,-6.45029999858082,8.556017922362936e-08,-0.8390365242958069,-5.125045402641509,1.337197824028309e-05,-0.6572309732437134,-3.091905506596006,0.0162397300429656,-0.4060380160808563
2,47,2-47,4.895824172891227,3.6581187916247885e-05,0.630099892616272,5.4776409108763096,3.2147486231745483e-06,0.6956605911254883,2.9707336778735765,0.021088683774429625,0.3817363381385803
2,48,2-48,5.156626292575968,1.3306181218475182e-05,0.6447800993919373,4.919852235740831,2.9022863812558776e-05,0.6064768433570862,3.4247334546939032,0.0073414448081057316,0.4393214285373688
2,52,2-52,-2.618314776969011,0.03502622263598331,-0.333398699760437,-3.5864321143152464,0.002746377282675893,-0.44101861119270325,-3.683464379922555,0.0037909116236053302,-0.47542646527290344
2,64,2-64,-5.557095641337193,3.037301443188279e-06,-0.705302357673645,-2.5160930800795014,0.041183951450021336,-0.3139902949333191,-4.748878901506261,0.00014072376276049928,-0.6018170118331909
3,29,3-29,-4.244797076224612,0.0003721603915056057,-0.5347104072570801,-5.167542548997474,1.1765722872037865e-05,-0.6375697255134583,-3.093877014771257,0.01619970490654244,-0.38977953791618347
3,41,3-41,-5.080820766376663,1.7767965068829197e-05,-0.6404789686203003,-7.76744795342099,2.6065144704195816e-10,-0.9732045531272888,-3.0712384439545586,0.016735942516885517,-0.3938223421573639
3,46,3-46,5.20178107626816,1.1603525299784142e-05,0.6747459173202515,7.363654159622271,1.0128585044301063e-09,0.9460166096687317,3.4128467033605276,0.007535785295249155,0.4448789656162262
3,64,3-64,4.244424096494489,0.00038163679446117125,0.5531666874885559,4.887224331777919,3.0762405612618e-05,0.6250190734863281,2.9586412789473187,0.02157904586010907,0.38766583800315857
4,5,4-5,4.90903454519722,3.433046063872267e-05,0.626014769077301,4.980782126237756,2.1380876144971435e-05,0.6329845190048218,3.6747099510622268,0.003877847562564949,0.4714522659778595
4,22,4-22,-3.4710236602461175,0.004166490364808105,-0.4360177218914032,-5.318890719990197,6.699135447749564e-06,-0.656356692314148,-2.8360493448474613,0.02833653802076696,-0.3640698194503784
4,23,4-23,-4.922635530539948,3.2626494964730364e-05,-0.6177762746810913,-5.44087872665381,3.884958205563425e-06,-0.6763908267021179,-3.8477161640264033,0.0024529155219136416,-0.4898456335067749
4,27,4-27,4.9882048221950575,2.4791562340850623e-05,0.6282798647880554,4.645329938678557,7.889939210861479e-05,0.5882934331893921,7.691206942239289,2.8772738656512403e-10,0.9857950210571289
4,28,4-28,-6.061604187905198,3.2141000130400015e-07,-0.7824764847755432,-6.721181165243192,1.9704848710242848e-08,-0.857294499874115,-6.136780934147902,6.610376024277583e-07,-0.7849578857421875
4,31,4-31,-2.48873110438714,0.04485507181872426,-0.31617048382759094,-5.049862608618445,1.716015708144421e-05,-0.6335716843605042,-2.829535895974119,0.028758478856221566,-0.3685750663280487
4,49,4-49,-2.810410450080496,0.02303239064592964,-0.3469362258911133,-6.435933383725678,6.84478227754061e-08,-0.802412748336792,-5.460623381364808,1.0275032003752585e-05,-0.6822924017906189
4,57,4-57,4.259845615118168,0.0003684775025767591,0.5544140338897705,5.945311892371153,5.662274076719222e-07,0.7800379991531372,9.109247537870418,7.728282086636112e-14,1.1520168781280518
4,60,4-60,5.303824735976332,8.472386594872315e-06,0.6621464490890503,2.4887918243804026,0.04385260586421259,0.3173394203186035,4.459771963593764,0.00040626960921957367,0.552725613117218
5,67,5-67,3.781792239524717,0.0016393895862635626,0.48243963718414307,3.123380323253738,0.00934354277160246,0.39945217967033386,3.2975978391259244,0.00985148780989199,0.43054869771003723
6,7,6-7,2.502701270573335,0.04388786159858328,0.321378618478775,2.8644879351666757,0.018498391896659968,0.36138054728507996,3.622676962349184,0.004383009801095611,0.4581596851348877
6,22,6-22,3.4295532496705983,0.004671491271098535,0.44436442852020264,6.17212411928034,1.9011180447097383e-07,0.7649160623550415,2.8229126901699853,0.028911838317060973,0.36390477418899536
6,24,6-24,2.5064867226481637,0.04388786159858328,0.3286454975605011,4.352789868185382,0.00022097291229129107,0.5474085807800293,3.356077074647602,0.00853240295736701,0.42821359634399414
6,35,6-35,-4.885120557367376,3.709376765935284e-05,-0.6116361618041992,-5.115310900256559,1.3463657957450113e-05,-0.6458916664123535,-4.494418376664186,0.0003500252215307667,-0.5762621760368347
6,43,6-43,-3.3209265668803094,0.0062553157654952896,-0.4269322454929352,-3.1233644536826572,0.009358148786813219,-0.3880774676799774,-5.9794694713796845,1.157292499330592e-06,-0.7536659240722656
6,45,6-45,-4.731278051343704,7.60322739934475e-05,-0.6254252791404724,-5.295709005470099,7.477532947051262e-06,-0.6918806433677673,-5.891467119436725,2.3895550546628462e-06,-0.7874471545219421
7,28,7-28,-2.7639007185899946,0.025338334840092246,-0.35466280579566956,-2.6490349203692523,0.030900189072112966,-0.33643296360969543,-3.9927993289224832,0.0016511197123035887,-0.5216046571731567
7,48,7-48,-5.257054555937548,9.591422048524174e-06,-0.6793226003646851,-4.644181419117941,7.889939210861479e-05,-0.5876948237419128,-4.408227388346523,0.0004790115480197772,-0.5768139362335205
7,59,7-59,3.064336509516938,0.012400604095699983,0.387033611536026,2.8770197764787726,0.0179055819593557,0.3652927279472351,3.540187114673857,0.005598964748935831,0.4356411099433899
7,61,7-61,-3.903750789158752,0.0011146150817850885,-0.4923560917377472,-2.473613085496661,0.045480685807477654,-0.31343013048171997,-3.4416383419032917,0.007020440796761107,-0.442701131105423
8,24,8-24,3.308638679340628,0.00647693657241252,0.4213162660598755,3.5699755276920464,0.0028077564868367725,0.4538447856903076,3.240474774916746,0.011044906220781902,0.412456750869751
8,38,8-38,-4.692516382804496,7.78143543902645e-05,-0.594824492931366,-6.4598824666750625,6.84478227754061e-08,-0.7961305379867554,-4.785283374097479,0.00012615538040842452,-0.6044673323631287
8,49,8-49,-4.254687383942836,0.0003668558266513446,-0.5331398844718933,-2.7862264942621793,0.022248469410859766,-0.3501586616039276,-4.244778942305206,0.0007522913894891349,-0.5379986763000488
9,39,9-39,-3.4876783226429313,0.003984112204809564,-0.4445837140083313,-3.3360128292837175,0.005290957453692972,-0.4242880046367645,-2.575105509271494,0.048584249659738024,-0.3269406855106354
9,49,9-49,8.163541565996757,2.4771036976554606e-11,1.0538158416748047,6.690486103593647,2.0383044499874067e-08,0.8573801517486572,4.447006265477335,0.00041964781204361555,0.5804206728935242
9,53,9-53,4.180465986394352,0.0004591196506770666,0.5202990770339966,4.262817892634875,0.00029984798711971296,0.5390586256980896,2.9600216272587376,0.02157904586010907,0.367230623960495
10,19,10-19,5.21705065381015,1.0463951034642602e-05,0.6636236310005188,6.137199709612982,2.1339918317054555e-07,0.7642701268196106,6.132018303592072,6.631361044871118e-07,0.7634170055389404
10,55,10-55,-3.190638721798069,0.008972433182640922,-0.4024621844291687,-2.895299476000192,0.01712738477780915,-0.36235901713371277,-4.309260269115187,0.0006216292191689036,-0.541957676410675
12,28,12-28,2.7660229283580713,0.025338334840092246,0.35368943214416504,3.6494653603326164,0.0022820782555853358,0.4627983272075653,4.8928025923774285,8.912849275358298e-05,0.623944103717804
12,33,12-33,4.624671888159146,0.00010436889410172147,0.5970531105995178,3.8823266871495274,0.0011065723084837421,0.4977641999721527,2.8143646920739838,0.02993383979048539,0.37355998158454895
12,55,12-55,-6.004688462235878,3.7860626314914844e-07,-0.7644014954566956,-5.042218325054418,1.7438753150744005e-05,-0.6363787055015564,-3.517805087215519,0.005856193887047809,-0.4617469608783722
13,24,13-24,-4.526362116724931,0.00014404212417243263,-0.5699257254600525,-5.763471898875607,9.677724311722307e-07,-0.7373677492141724,-5.159367245936376,4.029034018963184e-05,-0.6753236055374146
13,48,13-48,-4.622420709393244,0.00010643669037261481,-0.6009659767150879,-3.5911803361003884,0.0027089337090743775,-0.45076316595077515,-2.822055390843011,0.028911838317060973,-0.35434964299201965
14,15,14-15,-3.2114578237682827,0.008606412032296711,-0.41910573840141296,-3.679446067153384,0.002105771820916951,-0.46915146708488464,-2.8370599325013486,0.0283726285718807,-0.3708097040653229
14,45,14-45,-4.0850392392041766,0.0006026011652933575,-0.5212001800537109,-6.2280873540254005,1.6462822508350324e-07,-0.8075032234191895,-3.566209938029117,0.005267626259923123,-0.47340238094329834
15,19,15-19,-2.9781897402310276,0.01526662393695189,-0.3803282678127289,-2.5602111656960482,0.0375024569103499,-0.31979110836982727,-3.973194616030879,0.0016963080024298572,-0.5051268339157104
15,24,15-24,-3.915962913724586,0.0010719219164394636,-0.49052631855010986,-3.511971001444711,0.00333488431941248,-0.437932550907135,-2.846119732663128,0.027943293227651184,-0.3493388891220093
15,48,15-48,-6.3914422847023635,9.512643005886375e-08,-0.812183141708374,-4.018220362457332,0.0006981014003867714,-0.5099759101867676,-2.9964829811367024,0.019927751369280263,-0.3793751299381256
15,49,15-49,-4.247588889807156,0.00037299276522473676,-0.5495789647102356,-4.339143935955402,0.00023154419547671324,-0.543306291103363,-3.0357364264895343,0.01829395231835366,-0.39969953894615173
16,31,16-31,-3.636340711290918,0.002566365627651818,-0.467684805393219,-4.906550988667141,2.885574475757346e-05,-0.6233359575271606,-3.4949127786293683,0.006179114941158119,-0.4573513865470886
