Region1,Region2,t_statistic,p_value,cohens_d
0,52,-3.2933524820397646,0.04246812017013498,-0.7349101305007935
1,7,3.253248466573802,0.044878026629193477,0.7158900499343872
1,12,-4.1998761715983965,0.012190265375105805,-0.9125897288322449
2,4,3.8592215273480837,0.018486692885007743,0.8551746606826782
2,8,-3.5899101379651976,0.02897142159384832,-0.7800573110580444
2,19,-3.8379818819927287,0.018486692885007743,-0.851525604724884
2,24,3.7365304372343355,0.023634128661857184,0.8020381927490234
2,36,3.44159440246072,0.03647077491051292,0.7658612728118896
2,54,3.7309730195212305,0.023634128661857184,0.8424897193908691
2,57,3.912905633344553,0.01760943361139125,0.8662781119346619
3,41,-4.533171439508549,0.0065875038826353335,-0.9875348210334778
3,46,3.933593023755736,0.01760943361139125,0.8827864527702332
4,7,-3.7625967213546385,0.02222345012915486,-0.8168434500694275
4,8,3.2243316951255223,0.047457824195050465,0.7106837630271912
4,10,-3.840895972605477,0.018486692885007743,-0.8551367521286011
4,22,-3.4994275486402433,0.03526175165593399,-0.75220787525177
4,28,-3.768833065811778,0.02222345012915486,-0.8387517333030701
4,34,-4.565701254606773,0.0065875038826353335,-1.0131828784942627
4,49,-4.0365624725549205,0.014834600178903838,-0.880653440952301
4,57,4.531610899086725,0.008047814769816364,1.0366289615631104
5,41,-3.3569935579352226,0.03881246036588951,-0.7321307063102722
6,22,3.43059291877521,0.03647077491051292,0.734060525894165
6,34,3.43158162400933,0.03647077491051292,0.7427042126655579
6,66,-3.264176146563496,0.044257287909941385,-0.7187915444374084
8,18,-4.354418066972405,0.009933189350708601,-0.9505026340484619
8,38,-3.5237744740906316,0.033950900794792495,-0.7534639239311218
10,19,3.374782958748471,0.03715615333369629,0.7385568022727966
10,38,-3.440389385350422,0.03647077491051292,-0.7666980624198914
10,65,-3.883911905757588,0.017834867847043103,-0.855692446231842
11,41,-3.623692728105149,0.027348623305622544,-0.7840805649757385
12,35,-4.279678931859697,0.012190265375105805,-0.9600435495376587
14,45,-3.263672618045304,0.046011542472383045,-0.7414368391036987
16,50,-3.3315576092548542,0.040550787175076194,-0.7421629428863525
16,66,-3.42039665252288,0.03647077491051292,-0.7280548810958862
17,65,3.302427540658123,0.04188533800871041,0.7212399244308472
18,26,3.561252618517335,0.030072306526699573,0.7836735844612122
18,28,3.611679858085865,0.02897142159384832,0.8144029378890991
18,31,3.403137890943529,0.03647077491051292,0.7392812371253967
18,49,3.3856450037424364,0.03668402853664601,0.7471787333488464
18,54,-3.918773070967181,0.017834867847043103,-0.8360580801963806
19,25,3.4423454780441154,0.03647077491051292,0.7583257555961609
19,64,3.414007041815943,0.03647077491051292,0.7366631627082825
20,22,3.349814875850958,0.03912139453948539,0.7359751462936401
20,24,3.4277875993180036,0.03647077491051292,0.7646515965461731
21,34,4.016305039599083,0.015142962149017463,0.8759468197822571
21,53,-3.692154524448547,0.023634128661857184,-0.7975643277168274
22,42,-4.901316319372727,0.004343005861627682,-1.101148247718811
23,52,4.075137452367336,0.01430724741913932,0.888692319393158
23,67,-3.4722787144377913,0.03628803952827356,-0.7693873047828674
24,29,-3.4375556747002856,0.03647077491051292,-0.7622421979904175
24,64,3.338241351938243,0.04015025969225867,0.7366243004798889
25,41,-4.197460616257686,0.012190265375105805,-0.9208089709281921
26,35,-4.081563191351229,0.01430724741913932,-0.8974653482437134
26,62,3.970813661075379,0.01760943361139125,0.8940300345420837
27,36,4.062497759799683,0.01430724741913932,0.8852681517601013
28,29,-3.3890774068685823,0.03668402853664601,-0.7471752166748047
28,36,-4.711034811031405,0.00489667268735953,-1.047485113143921
28,64,4.230259694113524,0.012190265375105805,0.9476422071456909
28,66,-3.412726895368283,0.03647077491051292,-0.7339155673980713
29,33,4.176586233569968,0.012258880681330638,0.920689046382904
29,64,3.583387015971432,0.029067925656642478,0.7769302129745483
30,38,-3.5585904081645237,0.030072306526699573,-0.7738323211669922
30,40,-4.098776152730151,0.01430724741913932,-0.9021074771881104
30,63,3.305619915452569,0.04188533800871041,0.7112021446228027
32,33,3.675257008138514,0.024045470225370527,0.8133731484413147
32,39,-3.2965202606367696,0.04188533800871041,-0.7151798009872437
33,34,4.043318838733983,0.01760943361139125,0.9316641092300415
33,35,3.6642213860739523,0.02457087324484426,0.8140379786491394
33,60,-3.275437819677849,0.044257287909941385,-0.702847957611084
34,42,-3.832741716867127,0.018486692885007743,-0.8365485668182373
34,58,-3.3303396419686138,0.04045271258044934,-0.7301351428031921
34,62,3.7245281956532907,0.023634128661857184,0.8424577116966248
35,55,-3.3011459390358824,0.04188533800871041,-0.7217761278152466
35,59,-3.921727404047598,0.01760943361139125,-0.8759627938270569
36,56,4.741466947452986,0.00489667268735953,1.0471755266189575
37,45,-3.7181103922065013,0.023634128661857184,-0.8212411403656006
37,56,-3.265784932318315,0.044257287909941385,-0.7261267900466919
38,48,3.4763698426687233,0.03621496406428364,0.7570892572402954
39,55,-5.003162962260248,0.0037763271511942658,-1.1029653549194336
40,54,-5.10901873024825,0.0037763271511942658,-1.1262736320495605
42,43,3.4339580469973665,0.03647077491051292,0.7620151042938232
46,49,-3.519209059579057,0.033950900794792495,-0.786563515663147
48,53,-3.3866322859389872,0.03668402853664601,-0.733274519443512
48,58,-3.442452481257967,0.03647077491051292,-0.7613078951835632
53,58,3.7455094114767014,0.022705039077147958,0.8166926503181458
54,56,3.3124510981667847,0.04188533800871041,0.7387999892234802
54,59,3.237791432731756,0.046011542472383045,0.7056946158409119
57,64,-3.701006109510077,0.023634128661857184,-0.7925758957862854
