index,hemi,name,color,fs_index,fs_name,node_id,activation
1639705,L,unknown,#fff5f0ff,1000,ctx-lh-unknown,-1,
2647065,L,bankssts,#fff5f0ff,1001,ctx-lh-bankssts,0,
10511485,L,caudalanteriorcingulate,#67000dff,1002,ctx-lh-caudalanteriorcingulate,2,5.0
6500,L,caudalmiddlefrontal,#67000dff,1003,ctx-lh-caudalmiddlefrontal,4,7.0
3294840,L,corpuscallosum,#fff5f0ff,1004,ctx-lh-corpuscallosum,-1,
6558940,L,cuneus,#fff5f0ff,1005,ctx-lh-cuneus,6,
660700,L,entorhinal,#67000dff,1006,ctx-lh-entorhinal,8,1.0
9231540,L,fusiform,#67000dff,1007,ctx-lh-fusiform,12,2.0
14433500,L,inferiorparietal,#fff5f0ff,1008,ctx-lh-inferiorparietal,14,
7874740,L,inferiortemporal,#fff5f0ff,1009,ctx-lh-inferiortemporal,16,
9180300,L,isthmuscingulate,#fff5f0ff,1010,ctx-lh-isthmuscingulate,20,
9182740,L,lateraloccipital,#67000dff,1011,ctx-lh-lateraloccipital,22,1.0
3296035,L,lateralorbitofrontal,#67000dff,1012,ctx-lh-lateralorbitofrontal,24,1.0
9211105,L,lingual,#67000dff,1013,ctx-lh-lingual,26,2.0
4924360,L,medialorbitofrontal,#67000dff,1014,ctx-lh-medialorbitofrontal,28,4.0
3302560,L,middletemporal,#67000dff,1015,ctx-lh-middletemporal,30,1.0
3988500,L,parahippocampal,#67000dff,1016,ctx-lh-parahippocampal,34,5.0
3988540,L,paracentral,#67000dff,1017,ctx-lh-paracentral,32,1.0
9221340,L,parsopercularis,#67000dff,1018,ctx-lh-parsopercularis,36,3.0
3302420,L,parsorbitalis,#fff5f0ff,1019,ctx-lh-parsorbitalis,38,
1326300,L,parstriangularis,#67000dff,1020,ctx-lh-parstriangularis,40,2.0
3957880,L,pericalcarine,#67000dff,1021,ctx-lh-pericalcarine,42,2.0
1316060,L,postcentral,#fff5f0ff,1022,ctx-lh-postcentral,44,
14464220,L,posteriorcingulate,#67000dff,1023,ctx-lh-posteriorcingulate,46,1.0
14423100,L,precentral,#fff5f0ff,1024,ctx-lh-precentral,48,
11832480,L,precuneus,#fff5f0ff,1025,ctx-lh-precuneus,50,
9180240,L,rostralanteriorcingulate,#67000dff,1026,ctx-lh-rostralanteriorcingulate,52,1.0
8204875,L,rostralmiddlefrontal,#67000dff,1027,ctx-lh-rostralmiddlefrontal,54,3.0
10542100,L,superiorfrontal,#67000dff,1028,ctx-lh-superiorfrontal,56,1.0
9221140,L,superiorparietal,#67000dff,1029,ctx-lh-superiorparietal,58,1.0
14474380,L,superiortemporal,#fff5f0ff,1030,ctx-lh-superiortemporal,60,
1351760,L,supramarginal,#67000dff,1031,ctx-lh-supramarginal,62,2.0
6553700,L,frontalpole,#67000dff,1032,ctx-lh-frontalpole,10,2.0
11146310,L,temporalpole,#67000dff,1033,ctx-lh-temporalpole,64,1.0
13145750,L,transversetemporal,#fff5f0ff,1034,ctx-lh-transversetemporal,66,
2146559,L,insula,#67000dff,1035,ctx-lh-insula,18,3.0
1639705,R,unknown,#fff5f0ff,2000,ctx-rh-unknown,-1,
2647065,R,bankssts,#67000dff,2001,ctx-rh-bankssts,1,1.0
10511485,R,caudalanteriorcingulate,#67000dff,2002,ctx-rh-caudalanteriorcingulate,3,2.0
6500,R,caudalmiddlefrontal,#fff5f0ff,2003,ctx-rh-caudalmiddlefrontal,5,
3294840,R,corpuscallosum,#fff5f0ff,2004,ctx-rh-corpuscallosum,-1,
6558940,R,cuneus,#67000dff,2005,ctx-rh-cuneus,7,1.0
660700,R,entorhinal,#fff5f0ff,2006,ctx-rh-entorhinal,9,
9231540,R,fusiform,#fff5f0ff,2007,ctx-rh-fusiform,13,
14433500,R,inferiorparietal,#fff5f0ff,2008,ctx-rh-inferiorparietal,15,
7874740,R,inferiortemporal,#fff5f0ff,2009,ctx-rh-inferiortemporal,17,
9180300,R,isthmuscingulate,#67000dff,2010,ctx-rh-isthmuscingulate,21,1.0
9182740,R,lateraloccipital,#67000dff,2011,ctx-rh-lateraloccipital,23,1.0
3296035,R,lateralorbitofrontal,#67000dff,2012,ctx-rh-lateralorbitofrontal,25,1.0
9211105,R,lingual,#67000dff,2013,ctx-rh-lingual,27,1.0
4924360,R,medialorbitofrontal,#67000dff,2014,ctx-rh-medialorbitofrontal,29,1.0
3302560,R,middletemporal,#fff5f0ff,2015,ctx-rh-middletemporal,31,
3988500,R,parahippocampal,#67000dff,2016,ctx-rh-parahippocampal,35,4.0
3988540,R,paracentral,#67000dff,2017,ctx-rh-paracentral,33,4.0
9221340,R,parsopercularis,#67000dff,2018,ctx-rh-parsopercularis,37,1.0
3302420,R,parsorbitalis,#67000dff,2019,ctx-rh-parsorbitalis,39,1.0
1326300,R,parstriangularis,#67000dff,2020,ctx-rh-parstriangularis,41,2.0
3957880,R,pericalcarine,#fff5f0ff,2021,ctx-rh-pericalcarine,43,
1316060,R,postcentral,#67000dff,2022,ctx-rh-postcentral,45,1.0
14464220,R,posteriorcingulate,#fff5f0ff,2023,ctx-rh-posteriorcingulate,47,
14423100,R,precentral,#67000dff,2024,ctx-rh-precentral,49,1.0
11832480,R,precuneus,#fff5f0ff,2025,ctx-rh-precuneus,51,
9180240,R,rostralanteriorcingulate,#67000dff,2026,ctx-rh-rostralanteriorcingulate,53,1.0
8204875,R,rostralmiddlefrontal,#67000dff,2027,ctx-rh-rostralmiddlefrontal,55,1.0
10542100,R,superiorfrontal,#67000dff,2028,ctx-rh-superiorfrontal,57,2.0
9221140,R,superiorparietal,#67000dff,2029,ctx-rh-superiorparietal,59,1.0
