Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,2.796506482042282,0.005579092827647691,0.09743933273160695,0.35840386561346155,False
region_1,0.9615439565707812,0.3372345491817219,0.5211806669172065,0.123232709527122,False
region_2,1.8246276266006267,0.0692850942491184,0.25051957693204374,0.23384662216166202,False
region_3,-0.02532826525969106,0.9798139158353378,0.9975122489298173,-0.0032461030348576066,False
region_4,-0.9915942776843494,0.32238183046085145,0.5211806669172065,-0.12708399731035763,False
region_5,-1.5565466589709425,0.12087956390813184,0.3044374202130728,-0.1994890207354325,False
region_6,1.1203320149949847,0.2636783387846572,0.4482531759339172,0.14358319121487736,False
region_7,0.003121148066889734,0.9975122489298173,0.9975122489298173,0.00040001034845030264,False
region_8,1.6926203772227368,0.09180941452779715,0.2839984663292614,0.2169284033876851,False
region_9,0.44048591462626485,0.6599767947764631,0.8310818897185092,0.05645324105776472,False
region_10,-0.055622293017843195,0.9556884101186557,0.9975122489298173,-0.007128624574945018,False
region_11,-0.01074683695168349,0.9914342474633683,0.9975122489298173,-0.0013773284386553821,False
region_12,2.008780637228055,0.045666678526409106,0.20702227598638795,0.2574479087301189,False
region_13,1.243866070233332,0.214747421334129,0.39467093650596685,0.15941547453574295,False
region_14,1.8835925600531445,0.060814248920760774,0.247208849709852,0.2414036438316384,False
region_15,2.573793827142039,0.010652865783237925,0.09743933273160695,0.329860725467049,False
region_16,2.7069346018292983,0.007272559108471092,0.09743933273160695,0.3469242183018077,False
region_17,2.021662452571337,0.044307402454916905,0.20702227598638795,0.25909885874393024,False
region_18,1.4579729486642095,0.14613918577227855,0.31054576976609194,0.1868556873072211,False
region_19,0.3991876765118355,0.6901055194232972,0.8532213694688038,0.05116040577263882,False
region_20,2.7120055727535877,0.0071655052323311465,0.09743933273160695,0.34757412045413577,False
region_21,2.318046771507186,0.021277869158848592,0.16076612253352268,0.29708385405717025,False
region_22,1.8199420863394866,0.0699981170839534,0.25051957693204374,0.23324611729858954,False
region_23,0.6833169414611096,0.49505758758673957,0.6870186929775162,0.08757477761323716,False
region_24,0.6528326331438573,0.514481323527544,0.6996945999974599,0.08366786947209215,False
region_25,-0.15408381341321858,0.8776715411428774,0.9697214943632194,-0.019747579599898066,False
region_26,0.7317201811994187,0.4650444415860966,0.6746263170621366,0.09377819903987232,False
region_27,1.2066201042923743,0.22875183109395725,0.4093453819576077,0.1546419836615156,False
region_28,-2.265288590161776,0.024375970529290702,0.16575659959917677,-0.29032229771594475,False
region_29,0.8005208884988977,0.4241910157467824,0.6409997571284712,0.10259578612984235,False
region_30,1.7713846867052456,0.07775011673287666,0.26435039689178064,0.22702293854152117,False
region_31,1.313535944741512,0.1902412559983673,0.3776920980342442,0.168344455212484,False
region_32,1.14463941776178,0.253484736168288,0.4419733861395791,0.14669845920033922,False
region_33,1.3794781541162644,0.16901551198134837,0.3482743883252027,0.17679569353385688,False
region_34,2.6679326425420467,0.008145400759364235,0.09743933273160695,0.34192567706301125,False
region_35,0.2766260399377815,0.7823024124678144,0.933273053470375,0.03545274887782137,False
region_36,1.0519737553274933,0.2938565604396706,0.48737185633896596,0.13482230878218393,False
region_37,-0.5700675428837425,0.5691585645957491,0.7588780861276655,-0.07306058911084332,False
region_38,2.8010804023176634,0.005503100812929438,0.09743933273160695,0.35899006511567305,False
region_39,-0.5194914455807781,0.6038909313528459,0.7748034590942173,-0.06657869146554009,False
region_40,0.22441489799926245,0.8226230593505771,0.9382389270715852,0.02876130181019557,False
region_41,1.4802748718753624,0.14009523892990114,0.3087090631338163,0.1897139304548123,False
region_42,1.2863560938797967,0.19954304440383394,0.3776920980342442,0.1648610505866803,False
region_43,1.480663649926911,0.1399916203120215,0.3087090631338163,0.1897637567496682,False
region_44,0.7135231360160105,0.47620681204386117,0.6746263170621366,0.09144604233708739,False
region_45,1.629932899706851,0.10441120085634611,0.2839984663292614,0.2088942956852626,False
region_46,1.6458481388538602,0.10108778769442237,0.2839984663292614,0.2109340131931888,False
region_47,0.715409450708608,0.47504289366217,0.6746263170621366,0.09168779485292518,False
region_48,1.8763760784449122,0.061802212427463,0.247208849709852,0.24047877027202838,False
region_49,1.490146154028176,0.13748263629752921,0.3087090631338163,0.19097904666492954,False
region_50,2.118072676945997,0.03518449546933034,0.18443677001130887,0.27145491703395247,False
region_51,2.1171912757661695,0.035259970737456105,0.18443677001130887,0.2713419555257153,False
region_52,1.2851751734855772,0.19995464013577635,0.3776920980342442,0.16470970231089838,False
region_53,-0.9716005783391174,0.33221541745418515,0.5211806669172065,-0.12452157910061643,False
region_54,0.0793185775581314,0.9368445101938768,0.9953972920809941,0.010165570862912678,False
region_55,-2.2146750385988683,0.02771068838672084,0.17130243729972883,-0.2838355998845403,False
region_56,0.2975889797623811,0.7662711430728238,0.9304721023027147,0.03813938619334512,False
region_57,0.23956714096098966,0.8108677891295724,0.9382389270715852,0.03070323274619377,False
region_58,1.4778793460756288,0.14073501407571037,0.3087090631338163,0.18940691678889932,False
region_59,0.21768416900154006,0.8278578768278693,0.9382389270715852,0.027898682929577562,False
region_60,0.10687193827044818,0.9149787542772776,0.9875961157278551,0.013696844991311819,False
region_61,0.14585365707695924,0.8841578330958765,0.9697214943632194,0.018692792184077628,False
region_62,2.5887511401123597,0.010213192008318406,0.09743933273160695,0.33177767392476837,False
region_63,1.5722906785401627,0.11718425885786281,0.3044374202130728,0.2015067945221686,False
region_64,0.5355351748003739,0.5927696290336859,0.7748034590942173,0.06863487642634143,False
region_65,-1.646599296448961,0.10093305114955337,0.2839984663292614,-0.2110302825161808,False
region_66,2.547610460732816,0.011463450909600817,0.09743933273160695,0.3265050315696453,False
region_67,1.6358653399695848,0.10316232616679095,0.2839984663292614,0.209654604855414,False
