Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,0.5396951404316785,0.5899014921955779,0.7625393716348172,0.06916802296923444,False
region_1,-1.559701746992164,0.12013176830591371,0.4531365561674837,-0.19989338087205938,False
region_2,-0.15358840506129676,0.8780617496848592,0.9423855606402932,-0.01968408742867438,False
region_3,0.8983065990298389,0.36991132514662206,0.6456981807141203,0.1151281284938242,False
region_4,-2.8028963116916366,0.0054731925067732865,0.06202951507676391,-0.3592227943953708,False
region_5,-2.4724313771303223,0.014105348863853817,0.13702338896315136,-0.3168699835733561,False
region_6,0.7515330939948862,0.4530591315084893,0.6846226876128283,0.09631744741299678,False
region_7,0.5332727825990913,0.5943321573036076,0.7625393716348172,0.06834492533354752,False
region_8,1.166265432132993,0.24465048913950688,0.5749318860275889,0.1494700770021312,False
region_9,-1.446957357627327,0.1491976105216501,0.4611562507032821,-0.18544391499952653,False
region_10,1.1042979635937535,0.27055618166004186,0.5749318860275889,0.14152824657571839,False
region_11,1.1111204927360563,0.26761466284074886,0.5749318860275889,0.14240263068087378,False
region_12,1.6663957382363053,0.09692304622703747,0.3932271860311229,0.21356741994373096,False
region_13,0.9957611169794408,0.3203567433698623,0.6224073871185897,0.12761802479083756,False
region_14,0.19842200181463607,0.8428808076033322,0.9423855606402932,0.02543001882162332,False
region_15,0.30402629622533167,0.7613680331637898,0.9245183259846019,0.038964400946328547,False
region_16,-0.6205567448686633,0.5354728742973089,0.7625393716348172,-0.07953135014048317,False
region_17,0.6124160914624115,0.5408351469455129,0.7625393716348172,0.07848803353522743,False
region_18,-1.5282874454815372,0.127741803564502,0.4531365561674837,-0.19586728360775657,False
region_19,-1.6830155491260312,0.09365638168938778,0.3932271860311229,-0.2156974362719221,False
region_20,0.1449034982382434,0.8849071773411711,0.9423855606402932,0.01857101860589023,False
region_21,0.7932586097347071,0.4284010268751215,0.6846226876128283,0.10166504314785302,False
region_22,1.1268286642156098,0.2609264332707033,0.5749318860275889,0.1444158101303559,False
region_23,1.4480338282878837,0.14889658374954098,0.4611562507032821,0.18558187686317335,False
region_24,-1.7617554552958894,0.07936806816087891,0.3932271860311229,-0.2257888438658387,False
region_25,-1.1437633010707158,0.25384728212451435,0.5749318860275889,-0.1465861749589751,False
region_26,0.5360173839797931,0.5924368348824749,0.7625393716348172,0.06869667697464982,False
region_27,1.1905668614891491,0.23498540622782582,0.5749318860275889,0.15258457942760673,False
region_28,-1.5063527737475622,0.13327545769631874,0.4531365561674837,-0.19305610788157776,False
region_29,-2.0716662160490835,0.03935195291834546,0.2873278848171157,-0.2655074053504654,False
region_30,0.0021681838537554524,0.9982718198121502,0.9982718198121502,0.0002778772298711579,False
region_31,0.7611035486237784,0.4473331685799248,0.6846226876128283,0.09754400918093814,False
region_32,-0.5852642963865821,0.5589131052243191,0.7625393716348172,-0.0750082245750082,False
region_33,0.9063054388844601,0.36567199271540474,0.6456981807141203,0.11615327009200335,False
region_34,-0.48004351554496266,0.6316282712899657,0.7855447156887468,-0.0615229940423178,False
region_35,-0.14840613765284236,0.8821453334035975,0.9423855606402932,-0.01901992137586541,False
region_36,-1.0770571003537575,0.2825228459720758,0.5821682886697319,-0.13803702252508354,False
region_37,-2.041772992318168,0.04225410070839937,0.2873278848171157,-0.2616762513697373,False
region_38,2.902620904814112,0.004040631582793633,0.06202951507676391,0.37200362644469354,False
region_39,-3.0943782232499166,0.002203131548428486,0.06202951507676391,-0.3965794908771168,False
region_40,-0.20064879316652975,0.841141035959122,0.9423855606402932,-0.025715407263795096,False
region_41,0.11569689698908774,0.90798831696347,0.9423855606402932,0.0148278630450693,False
region_42,3.6074113590892627,0.00037536897686463665,0.025525090426795294,0.4623304770641166,True
region_43,0.1072636353291015,0.9146683382685199,0.9423855606402932,0.013747045389870613,False
region_44,1.021871989870854,0.30785772765432556,0.6157154553086511,0.1309644278258092,False
region_45,-0.14211695417531567,0.8871053845767207,0.9423855606402932,-0.018213891536717056,False
region_46,-0.47478442922761616,0.6353670494541335,0.7855447156887468,-0.06084898277939546,False
region_47,-0.010649201101769866,0.9915120650243022,0.9982718198121502,-0.0013648153026207597,False
region_48,1.6594913704791834,0.09830679650778072,0.3932271860311229,0.21268254729649783,False
region_49,-0.7706422144713485,0.44166764551781423,0.6846226876128283,-0.09876649685780116,False
region_50,1.733789904836808,0.08422369920467992,0.3932271860311229,0.22220474296962933,False
region_51,1.2759219516650036,0.2032013525642763,0.5749318860275889,0.16352379750747,False
region_52,-2.099456734019131,0.0368084024725901,0.2873278848171157,-0.269069073857878,False
