Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,0.34682888842848714,0.7290200323060406,0.8697081087159783,0.04445003618529439,False
region_1,-1.882771100687172,0.06092604155630479,0.16571883303314902,-0.24129836454331938,False
region_2,-2.313740814666789,0.021517118427959857,0.08140360285480025,-0.29653199709325,False
region_3,-0.3259357973365398,0.7447534359166379,0.8731592007298513,-0.04177235077313703,False
region_4,-3.2914897923714883,0.0011446401613306315,0.022559205444705452,-0.4218415629602516,True
region_5,-2.680744268326901,0.00784879702674873,0.04447651648490946,-0.3435676314927866,True
region_6,-1.8648632925720225,0.06340600569233334,0.16583109181071798,-0.2390032768350132,False
region_7,-0.6567366760216865,0.511971711560635,0.7407250294919826,-0.08416821662591417,False
region_8,0.5819765097905705,0.5611220316569471,0.7786999622994367,0.07458685761845386,False
region_9,-2.3355516602928437,0.020329095523009866,0.08140360285480025,-0.2993273031062608,False
region_10,0.06001765874658131,0.9521908999380491,0.9605705898450407,0.00769194029692905,False
region_11,0.049922208216286276,0.9602253890770149,0.9605705898450407,0.0063980943793881,False
region_12,0.60215831994533,0.547630203341584,0.7758094547339106,0.07717338435135827,False
region_13,-0.4646827660711247,0.642574736025028,0.820502399825843,-0.059554340643694914,False
region_14,-2.881900397832589,0.0043065146190677155,0.03253811045517829,-0.3693480596339829,True
region_15,-0.1108217400303135,0.9118491813851473,0.9605705898450407,-0.014203056662278075,False
region_16,-2.8050965826313696,0.00543715154991444,0.03639859322364362,-0.35950478394742835,True
region_17,-1.2510695076331393,0.21211227027348475,0.4242245405469695,-0.16033867633283308,False
region_18,-2.0393679629976567,0.04249531251604764,0.12040338546213498,-0.2613680197203847,False
region_19,-2.918913068382118,0.003842197226607772,0.03253811045517829,-0.37409165107094644,True
region_20,0.48425864033778254,0.6286384874154736,0.820502399825843,0.06206320985425702,False
region_21,-0.1345636105421833,0.8930683017293218,0.9605705898450407,-0.017245845306963836,False
region_22,-2.2922778983665566,0.02274512432707654,0.08140360285480025,-0.2937812821498955,False
region_23,-0.9339744799075245,0.35124418761619947,0.612425763023117,-0.11969936995773355,False
region_24,-2.519513801958465,0.012394125949499837,0.06020004032614207,-0.3229041276632128,False
region_25,-2.160368860361877,0.03172212098687487,0.0980501921412496,-0.2768756502717587,False
region_26,-3.1481396513604536,0.0018485969210122121,0.025140918125766083,-0.4034696246134223,True
region_27,-0.049488580339886436,0.9605705898450407,0.9605705898450407,-0.006342520073325358,False
region_28,-2.556686226782785,0.011176449391306454,0.0584614275852953,-0.32766819341339565,False
region_29,-3.247805880592805,0.0013270120849826737,0.022559205444705452,-0.4162429766715607,True
region_30,-1.1350153201607154,0.25748720824393106,0.5002608617310661,-0.14546502248012685,False
region_31,0.5032243769620491,0.6152623552328692,0.820502399825843,0.06449388304024581,False
