Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,1.6148984950623764,0.10764654013483488,0.3124277681115563,0.20848249923973344,False
region_1,1.5350608079911445,0.1260861054195587,0.3392706361264942,0.19817549815884683,False
region_2,1.6957896111366393,0.0912224920983782,0.31015647313448585,0.21892549742012515,False
region_3,-0.12512690286726075,0.9005278311038892,0.9568108205478824,-0.016153813698913798,False
region_4,-0.9968479911567757,0.31984228264755493,0.5437318805008433,-0.1286925222816837,False
region_5,0.05561603733256562,0.9556939595143543,0.9846543825299409,0.007179999545702553,False
region_6,0.8844787918266206,0.37732302222106306,0.5966968723495881,0.11418572102727194,False
region_7,0.2305938967044314,0.8178267512771332,0.8969712755942751,0.029769544055777877,False
region_8,2.2650523976176276,0.02440175502150901,0.3069075075198882,0.29241700714200836,False
region_9,1.4781355442193345,0.14068265626489326,0.3392706361264942,0.19082647820662396,False
region_10,1.4211522288020175,0.1565705218601311,0.3434450156931908,0.1834699638191922,False
region_11,1.7262699207830172,0.08558576082282915,0.31015647313448585,0.2228604884750474,False
region_12,-1.8706440311437,0.06261148156862995,0.3069075075198882,-0.2414991059767286,False
region_13,0.7769485986035434,0.4379541950719473,0.6498700363799577,0.10030363277502381,False
region_14,1.9027676624011096,0.05826769456356401,0.3069075075198882,0.2456462489393838,False
region_15,1.9523319048026486,0.05206156107856447,0.3069075075198882,0.25204496511900204,False
region_16,-0.5809854188063744,0.5617954631087269,0.7207941790828948,-0.07500489504754766,False
region_17,1.10741162534241,0.26922465005177143,0.5020814183771902,0.14296622607825468,False
region_18,1.0082126745696744,0.31436776634145874,0.5437318805008433,0.13015969660145293,False
region_19,1.4633174630531902,0.1446889477598284,0.3392706361264942,0.18891347215398308,False
region_20,2.039435281811009,0.04250210047242792,0.3069075075198882,0.2632899627373956,False
region_21,1.1110881039146578,0.26764228642249094,0.5020814183771902,0.1434408574210215,False
region_22,-0.023104046637266104,0.9815864753232328,0.9962370197310423,-0.00298271959520437,False
region_23,1.7872621572864327,0.07515698165468457,0.31015647313448585,0.23073455234923648,False
region_24,2.3481306701140667,0.019680533290874214,0.3069075075198882,0.3031423660023548,False
region_25,1.602915155006902,0.11026862403937282,0.3124277681115563,0.2069354566908404,False
region_26,-0.672782026033529,0.5017332319785636,0.6906883672431191,-0.08685578608185142,False
region_27,2.282452762652447,0.023338296729616907,0.3069075075198882,0.29466338460860125,False
region_28,0.8998805877338609,0.3690858275270139,0.5966968723495881,0.11617408432895285,False
region_29,1.5195127472264367,0.1299497426795146,0.3392706361264942,0.19616825214526235,False
region_30,1.1547007983688553,0.24936139114530742,0.49872278229061484,0.1490712320644995,False
region_31,2.0263516794682617,0.04383488861380476,0.3069075075198882,0.2616008769380002,False
region_32,1.0982604287344455,0.27319135999935346,0.5020814183771902,0.1417848116762375,False
region_33,1.8665295144727754,0.0631868397835064,0.3069075075198882,0.24096792415858917,False
region_34,0.6334282103764257,0.5270572031527444,0.7027429375369926,0.08177523032686218,False
region_35,1.922368970578078,0.055743098384793584,0.3069075075198882,0.2481767669438264,False
region_36,0.6631684948973605,0.507859093561117,0.6906883672431191,0.0856146845488972,False
region_37,-0.2796981769651929,0.7799499796751583,0.8946773880044696,-0.036108879378358896,False
region_38,3.043710591418541,0.002596969114968722,0.17659389981787307,0.39294134770797123,False
region_39,1.3756464741849064,0.17021360455248505,0.3617039096740307,0.17759519615956978,False
region_40,-0.0029586599014739296,0.997641792141637,0.997641792141637,-0.00038196135085000687,False
region_41,0.8050950288352283,0.4215617126478328,0.6498700363799577,0.1039373212931073,False
region_42,0.20963847488463563,0.8341276928908757,0.9003283034377706,0.02706421073175052,False
region_43,0.6921878411631481,0.4894885117118831,0.6906883672431191,0.08936106604240458,False
region_44,0.29029159361507045,0.7718438375836989,0.8946773880044696,0.03747648358717264,False
region_45,1.4663753446803889,0.14385507992684937,0.3392706361264942,0.18930824297454354,False
region_46,2.044058458589802,0.04203947067436562,0.3069075075198882,0.2638868122930902,False
region_47,0.5830367581610197,0.5604159845868765,0.7207941790828948,0.07526972181947968,False
region_48,0.4166450700683294,0.67731042557654,0.8369384841463429,0.053788647255135394,False
region_49,-0.2502886601136206,0.8025782451216565,0.8946773880044696,-0.0323121270788207,False
region_50,1.7927718074296513,0.07426867700038857,0.31015647313448585,0.23144584512417363,False
region_51,1.0317815020605519,0.30321310438545,0.5425918710055421,0.13320241914684636,False
region_52,-0.7208333856589799,0.4717135709375354,0.6824792090160087,-0.09305918993491791,False
region_53,1.2181614991474359,0.2243587834956172,0.4623150690212718,0.15726397330630265,False
region_54,1.4407333043575588,0.1509633656648574,0.3421836288403435,0.18599786980344019,False
region_55,-0.5037042399095818,0.6149312563832736,0.7743578784085668,-0.06502793775279585,False
region_56,2.2758636819076843,0.02373614253818905,0.3069075075198882,0.29381273794222523,False
region_57,0.965448242365457,0.33529216032390785,0.5560943146835545,0.12463883214355455,False
region_58,0.7741263776146863,0.43961796578644197,0.6498700363799577,0.0999392856120518,False
region_59,-0.40036552511848855,0.6892434575322823,0.8369384841463429,-0.05168696703931644,False
region_60,1.9248589144118124,0.05542906307852004,0.3069075075198882,0.24849821731052796,False
region_61,1.6387368960245414,0.10257829307447491,0.3124277681115563,0.21156002357062278,False
region_62,1.7671520844013529,0.07847363193094858,0.31015647313448585,0.22813835310340544,False
region_63,-0.07690171854202987,0.9387658001681871,0.9820934524836419,-0.009927969173600391,False
region_64,1.6471172404147445,0.10084261670540924,0.3124277681115563,0.21264192137924742,False
region_65,0.25289103550677916,0.8005688877527868,0.8946773880044696,0.03264809229743013,False
region_66,1.7056434448026538,0.08936825690402475,0.31015647313448585,0.22019762187628425,False
region_67,0.35012867744009,0.7265492067702815,0.866760457199634,0.04520141789183657,False
