Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,0.3729322657965359,0.7095212963288753,0.876683068643395,0.04757102954534228,False
region_1,0.17369743823610317,0.8622466801244143,0.9138195723057324,0.022156747281255714,False
region_2,1.2343282618226237,0.21826322789760705,0.5280673662011026,0.1574502170961267,False
region_3,-0.6920735097976591,0.48954653289492867,0.7741666101594221,-0.08828050668078981,False
region_4,-2.2569884793373003,0.024890305194893672,0.36724158846185534,-0.2879001778103834,False
region_5,0.15937593718658957,0.8735040029393031,0.9138195723057324,0.020329904682627468,False
region_6,-0.3219579465027479,0.7477590879605427,0.876683068643395,-0.041068774118343435,False
region_7,-0.6602008884861121,0.5097451252746317,0.7877879208789762,-0.08421485307782074,False
region_8,1.2282031519717391,0.22054928680242802,0.5280673662011026,0.15666890153722074,False
region_9,1.1309272139216244,0.25919155992016135,0.5685492282119669,0.14426043772905675,False
region_10,1.8549313947834438,0.06480733914032742,0.36724158846185534,0.2366140028065274,False
region_11,1.8695080476815398,0.06274502428225986,0.36724158846185534,0.2384733924310922,False
region_12,0.9178631782549683,0.3595931844458943,0.6434825405873897,0.1170821094766063,False
region_13,0.16230761194153603,0.8711974029095302,0.9138195723057324,0.02070386746132943,False
region_14,0.3236382029984247,0.746488050116942,0.876683068643395,0.04128310668951121,False
region_15,1.7625504896561672,0.07922318392389434,0.38479832191605823,0.22482994663791267,False
region_16,1.658353649072208,0.09852580222650234,0.39410320890600936,0.21153865640491593,False
region_17,1.2158685987569808,0.22520520029164667,0.5280673662011026,0.15509551288404372,False
region_18,0.740081148245542,0.4599593524700122,0.7446960944752578,0.09440433397186236,False
region_19,1.3530050391870234,0.17730120597878485,0.5280673662011026,0.17258855990025398,False
region_20,2.1059726451272858,0.036224443350956266,0.36724158846185534,0.26863668314956335,False
region_21,1.3429386145496036,0.18053462841705428,0.5280673662011026,0.17130449244950696,False
region_22,0.3494168459088468,0.7270765317986277,0.876683068643395,0.04457141584375202,False
region_23,1.0010642536610754,0.3177834213529033,0.6355668427058065,0.1276951917420801,False
region_24,-1.2489559687509497,0.21287319354241113,0.5280673662011026,-0.1593161191440006,False
region_25,-1.892485354798451,0.05960522346581987,0.36724158846185534,-0.24140436477105953,False
region_26,0.1237953957523136,0.9015787785271085,0.9288993475733845,0.0157912708795318,False
region_27,1.233257316749883,0.21866169322514548,0.5280673662011026,0.1573136079465055,False
region_28,-0.827746805540581,0.4086194477490025,0.6946530611733042,-0.1055869157857122,False
