Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,1.1786683574484311,0.2396831136083083,0.38805837441345153,0.15105965185436673,False
region_1,-1.2739185456325874,0.20390935380459582,0.3466459014678129,-0.1632670384150016,False
region_2,-1.0454187734570004,0.2968682651219549,0.4423452205898133,-0.13398221387931242,False
region_3,0.9735085724257304,0.3312686703637767,0.45971978744360853,0.12476611007545985,False
region_4,-2.916021202066636,0.0038767558498330147,0.0416972218340466,-0.3737210257664954,True
region_5,-2.371943011117027,0.018474763733775625,0.07851774586854642,-0.30399126540852517,False
region_6,2.5763247439025356,0.010577298657484342,0.05532740836222579,0.33018509101253685,False
region_7,2.8069778837635515,0.005406506503461809,0.0416972218340466,0.3597458939189184,True
region_8,1.9555788887014667,0.051660837192346015,0.1461500646299598,0.2506295042487535,False
region_9,-1.0263682981587257,0.30573860834884153,0.4423452205898133,-0.13154068047593226,False
region_10,-0.2836663945643705,0.7769075861670456,0.8385669184025254,-0.036355049777054886,False
region_11,0.5756962923070426,0.5653532248457968,0.6744564787634066,0.07378197687262206,False
region_12,2.531139228943107,0.01200117198861877,0.0582914068018626,0.32439405732990895,False
region_13,1.03418339157551,0.3020785494020508,0.4423452205898133,0.13254227289443446,False
region_14,0.6231679848425855,0.5337585704420877,0.6599196870920357,0.07986601001225813,False
region_15,2.00321170129806,0.046265161523567036,0.14300140834557082,0.2567341867425316,False
region_16,-0.6434413388598242,0.5205445240013078,0.6599196870920357,-0.08246426912425638,False
region_17,1.4819615231052938,0.13964613578060314,0.2792922715612063,0.1899300938446099,False
region_18,-1.6053560934398585,0.10971421696207444,0.244671585911,-0.2057445006009006,False
region_19,-1.835596112375825,0.06763941284475367,0.16426714548011606,-0.23525235739846595,False
region_20,1.5242358305216228,0.1287501744378989,0.265303389750822,0.19534802342619237,False
region_21,1.9378223882847792,0.05380346220514613,0.1461500646299598,0.24835380832958645,False
region_22,2.302323953211548,0.02216290868463371,0.08372654391972735,0.2950687974529103,False
region_23,1.4400259998618765,0.1511471162940581,0.2855001085554431,0.18455558327813068,False
region_24,-2.800133819854063,0.005518749948623815,0.0416972218340466,-0.35886874989031786,True
region_25,-1.21582611877823,0.22523097680530949,0.3735538151892938,-0.15582183831224206,False
region_26,1.0771691945704749,0.2824728755090016,0.4423452205898133,0.1380513886639938,False
region_27,2.3116776404899104,0.02163258609068228,0.08372654391972735,0.2962675780385561,False
region_28,-1.8578324017387058,0.06440235743869936,0.16219852984561323,-0.23810218882769113,False
region_29,-3.7816266847654663,0.00019618389262953027,0.004446834899602686,-0.484658137154452,True
