Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,-0.7315898875073837,0.46511809232917545,0.6082313515073833,-0.09332119353994137,False
region_1,-3.1553289184642392,0.0018037002680938447,0.02453032364607629,-0.4024919776918092,True
region_2,1.2149578549164983,0.22555175732551985,0.3651790356698893,0.1549793389132791,False
region_3,1.3015968451756312,0.19427678732610287,0.3302705384543749,0.1660309596589199,False
region_4,-2.1245060602341015,0.03462951829397162,0.11213367828524144,-0.27100079513043285,False
region_5,-1.7484261465504982,0.08164276867947466,0.19205914196587803,-0.2230282533954328,False
region_6,3.6078339616467807,0.0003742165674566652,0.00848224219568441,0.4602132658530147,True
region_7,4.294117747987245,2.5291532533429892e-05,0.0017198242122732326,0.5477552386741683,True
region_8,2.7485064910309998,0.0064322607991921,0.043739373434506276,0.35059793823722085,True
region_9,0.9415173589568073,0.34736720905197216,0.4724194043106821,0.12009942342940859,False
region_10,-0.4433947484634373,0.6578715248940097,0.7712976498757356,-0.056559184103720184,False
region_11,-0.36786007533130183,0.7132951727955843,0.7863424873734036,-0.046924023789576184,False
region_12,3.327159147744771,0.0010121585317421518,0.017206695039616582,0.4244105448515271,True
region_13,2.517071941344126,0.012472791147225338,0.0566414117600559,0.3210762775746546,False
region_14,0.09573137159951972,0.923812180095578,0.923812180095578,0.012211439782637319,False
region_15,2.6612608786727696,0.008299528479654558,0.047030661384709155,0.339468937118666,True
region_16,0.19823401307004432,0.8430263646716002,0.8735909835338308,0.02528661893200672,False
region_17,2.929072120405259,0.003720314768678455,0.03133066461921096,0.3736307881073969,True
region_18,-0.7054811734916561,0.48118105498413233,0.6173643724324717,-0.08999078070161998,False
region_19,-0.42681384537053735,0.6698897353286795,0.7720763051245797,-0.05444413345441236,False
region_20,1.726134341800935,0.08558392858814595,0.19205914196587803,0.22018472335092054,False
region_21,1.5016394518524327,0.13447795772941748,0.25401392015556634,0.19154828177162034,False
region_22,2.2155234382301146,0.02764407681335554,0.09398986116540883,0.282610920547015,False
region_23,2.4762258555057293,0.013954427043095683,0.059306314933156655,0.31586597389637205,False
region_24,-2.4170584603680525,0.016377755752755956,0.0653507020072223,-0.3083186143344323,False
region_25,-2.030068670855706,0.04343012419872731,0.13423856570515713,-0.258954414990304,False
region_26,1.1922761499757824,0.23430649560429298,0.370531202350975,0.15208607342023056,False
region_27,3.0028839253911106,0.0029513019231283536,0.029516137205114097,0.3830461803322486,True
region_28,-2.6669709203501832,0.008163811290944198,0.047030661384709155,-0.3401973068154022,True
region_29,-0.5136232632637584,0.6079782999433494,0.7394641432791096,-0.06551749385296102,False
region_30,1.2462402324689137,0.21386651220715444,0.3547054348801586,0.15896970135514513,False
region_31,0.8328278909882133,0.40575291442368944,0.5410038858982525,0.10623505618041752,False
region_32,0.3978432149885855,0.6910921904660847,0.7832378158615627,0.0507486561781208,False
region_33,1.82783945260058,0.06878979505585373,0.17991177168454053,0.23315816993760402,False
region_34,1.1524004657150166,0.25027973908958345,0.3867959604111744,0.1469995536200249,False
region_35,0.17226039576870966,0.8633750277873316,0.8762612222319185,0.021973438954398346,False
region_36,-1.7163102128455712,0.08736926924807391,0.19205914196587803,-0.21893156300075703,False
region_37,-2.550258290300577,0.011373973638924157,0.0566414117600559,-0.3253095095352559,False
region_38,1.1258942184197647,0.26131196116239896,0.3948714079787362,0.14361843166071844,False
region_39,-2.9936882036982735,0.003038425888761745,0.029516137205114097,-0.38187317925816244,True
region_40,0.9570041242762312,0.3395085492583645,0.4711547214197711,0.12207490648126668,False
region_41,-0.19200525688142472,0.8478971310769534,0.8735909835338308,-0.02449208230470074,False
region_42,4.119509287687382,5.196190059765239e-05,0.0017667046203201813,0.5254822819321435,True
region_43,2.396592373369678,0.017298715237205903,0.0653507020072223,0.30570797181682186,False
region_44,0.5122028356831527,0.6089704709357373,0.7394641432791096,0.06533630491169393,False
region_45,0.36294442667526133,0.7169593267228092,0.7863424873734036,0.04629698641872394,False
region_46,-0.47517580102263424,0.6350850102759777,0.7576452754169559,-0.06061315724827098,False
region_47,-1.5510597449374348,0.12217813896547107,0.2373746699900581,-0.1978523064916716,False
region_48,2.3180862718552837,0.021268860020154143,0.0761201305984464,0.2956937777736912,False
region_49,-1.0678260050624482,0.2866500361321293,0.4237435316735824,-0.13621128310690242,False
region_50,2.5164450264063816,0.012494429064718213,0.0566414117600559,0.32099630865868506,False
region_51,1.967527841513374,0.05025050200107657,0.14691412448588517,0.2509767420633455,False
region_52,-2.8939834947026695,0.004146705611366157,0.03133066461921096,-0.3691549027976661,True
region_53,-1.7115392175002742,0.08824714712240572,0.19205914196587803,-0.21832297752465976,False
region_54,-0.6468055695454884,0.5183632813248027,0.6527537616682701,-0.08250615374677021,False
region_55,-1.4321937693195776,0.15336295552035295,0.281856242577946,-0.18268982966501368,False
region_56,-1.3413109561437364,0.18106155890883388,0.31569707707181294,-0.17109686926101766,False
region_57,-1.5890437924948828,0.11334010226127313,0.22668020452254625,-0.20269753018061054,False
region_58,1.881412032390285,0.061101605992339804,0.16619636829916426,0.23999185800842032,False
region_59,1.404217021184619,0.16152063153032215,0.2890369195805765,0.17912113144774328,False
region_60,1.03235120355283,0.3029256083586091,0.4291446118413629,0.13168613742897411,False
region_61,0.19405412054481813,0.8462943047068484,0.8735909835338308,0.024753434198341508,False
region_62,-1.0406538539415497,0.29906207897639137,0.4291446118413629,-0.1327452188310696,False
region_63,-1.7491854919231014,0.08151117134123755,0.19205914196587803,-0.22312511506300148,False
region_64,-1.6227530883576269,0.10592821467336962,0.21827632114512527,-0.20699746895371246,False
region_65,-1.953890564016424,0.051852043936194775,0.14691412448588517,-0.2492371786352796,False
region_66,-0.2183788280446341,0.8273157506097237,0.8735909835338308,-0.027856280171413922,False
region_67,1.700102059975313,0.09038077268982496,0.19205914196587803,0.21686406015967233,False
