Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,-0.7834509111289696,0.4341348187781713,0.9007093224338564,-0.10114307771245087,False
region_1,-1.0362069457452732,0.30114851719984936,0.7876191988303753,-0.13377374146986318,False
region_2,-0.9137867642997367,0.3617459835628196,0.8608880197337235,-0.11796936400392143,False
region_3,0.14465477248642844,0.8851048504099277,0.9553512671091283,0.018674850826312005,False
region_4,-3.3415618115583463,0.0009660956376321333,0.06569450335898507,-0.4313937748829388,False
region_5,-1.4117077772719153,0.15933117819842468,0.7876191988303753,-0.1822506903695206,False
region_6,1.2543078694132233,0.2109503553789423,0.7876191988303753,0.1619304496418107,False
region_7,-0.33401874971322465,0.7386570864190866,0.9521318777490868,-0.04312163516534475,False
region_8,1.3035121463344055,0.19364899517288786,0.7876191988303753,0.16828269447774125,False
region_9,-1.3692944999441037,0.17218721459376496,0.7876191988303753,-0.1767751598112309,False
region_10,1.0753920666588632,0.28327912878863637,0.7876191988303753,0.13883251882711178,False
region_11,1.517607750962347,0.13042941955602833,0.7876191988303753,0.19592231818508207,False
region_12,-0.7549815680411399,0.4510002712929022,0.9007093224338564,-0.09746770132389657,False
region_13,-0.07040994282615,0.9439260111626739,0.9829937188208918,-0.009089884532436511,False
region_14,0.8587062293065388,0.3913594222511916,0.887081357102701,0.11085849751295974,False
region_15,-1.5751550710851905,0.11653790009498818,0.7876191988303753,-0.20335164526690339,False
region_16,-0.4927374433962266,0.622648603726599,0.9258633452228623,-0.06361213041088017,False
region_17,0.3854569304582033,0.7002403275685531,0.9521318777490868,0.04976227574482839,False
region_18,-1.468618192843192,0.14324582825751558,0.7876191988303753,-0.18959779342729718,False
region_19,0.5295825405398689,0.5968909311392194,0.9256057289736783,0.06836881199843754,False
region_20,0.5266524563081943,0.5989213540417919,0.9256057289736783,0.06799053975069552,False
region_21,0.1801803286572692,0.8571630451049201,0.9553512671091283,0.023261180406792755,False
region_22,1.3314757690394061,0.18429577459124666,0.7876191988303753,0.17189278264561106,False
region_23,0.005305897371279363,0.9957709339124974,0.9957709339124974,0.0006849884051883559,False
region_24,1.0606605780096436,0.2899103952696994,0.7876191988303753,0.13693069182033607,False
region_25,-0.597736126006686,0.550579598750536,0.9256057289736783,-0.07716740204834775,False
region_26,0.12510958975324551,0.9005415225544098,0.9568253677140603,0.016151578585505397,False
region_27,-0.14791008871308647,0.8825379153697746,0.9553512671091283,-0.019095110344061517,False
region_28,0.2357674001740456,0.8138142321894659,0.9553512671091283,0.030437440481756606,False
region_29,-0.487542011250325,0.6263193217684069,0.9258633452228623,-0.06294140300496591,False
region_30,-0.32945017381640235,0.7421027870691412,0.9521318777490868,-0.04253183455320217,False
region_31,0.3390886573195383,0.7348394485668357,0.9521318777490868,0.04377615742288019,False
region_32,-1.0753528563880126,0.28329664064032667,0.7876191988303753,-0.13882745680291161,False
region_33,1.1912880034694728,0.23471732364544323,0.7876191988303753,0.15379461993246502,False
region_34,0.16512690937857022,0.8689830939032722,0.9553512671091283,0.021317792334463456,False
region_35,-0.5431963636204675,0.5874987507985401,0.9256057289736783,-0.07012634900074997,False
region_36,-0.7016051861042972,0.48360519596227336,0.9134764812620719,-0.09057684004648996,False
region_37,-1.106023469913887,0.2698237919309636,0.7876191988303753,-0.14278701598303412,False
region_38,2.0763271252820696,0.03892833944433226,0.7740012089833029,0.2680526792498726,False
