Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,-2.4024904583469597,0.01702872879729773,0.0964961298513538,-0.30646032821086017,False
region_1,-2.7461301131539937,0.006477612002134284,0.06292537373501876,-0.35029480881516206,False
region_2,0.8093590314688995,0.41909398151332256,0.6476906987024076,0.10324138169316395,False
region_3,0.6066031236016891,0.5446760028840627,0.7558769019615564,0.07737795241052299,False
region_4,-3.883594464434459,0.00013245037812334779,0.008448736594758291,-0.4953891200997161,True
region_5,-1.5114860738310398,0.1319533897854892,0.3738679377255527,-0.19280431131914594,False
region_6,1.9102510535147672,0.057268443772626895,0.20974133585272225,0.24367054728203752,False
region_7,1.7325838168436853,0.08442807902384562,0.27338616064864296,0.221007414750806,False
region_8,1.0667950428113417,0.28711448937350215,0.5540757546923205,0.1360797741434643,False
region_9,0.5266081584685259,0.5989421556835408,0.7732030422201327,0.06717383976368513,False
region_10,-1.1401758240502284,0.255326450344752,0.5261272310134283,-0.1454401852221879,False
region_11,0.5395006907532681,0.590031384407776,0.7732030422201327,0.06881840391241009,False
region_12,1.4209659825316645,0.15659814385821813,0.4056394580179953,0.1812576195131894,False
region_13,2.2638477812429088,0.024458589746366683,0.11879886448235247,0.28877514649381225,False
region_14,-0.7231542815755236,0.47027491165352264,0.6951889998356421,-0.09224515240373055,False
region_15,0.4420171633165459,0.6588667018894885,0.7860164162892143,0.05638346011914076,False
region_16,-0.7325270653708515,0.4645471394743679,0.6951889998356421,-0.09344073941977304,False
region_17,2.6179118800645793,0.009397875867087676,0.07988194487024525,0.33393936329874796,False
region_18,-0.855288217067918,0.393227235139223,0.6218477206852828,-0.10910008271078103,False
region_19,0.6170918354924347,0.537747208804983,0.7558769019615564,0.07871588658519552,False
region_20,0.33575830171472565,0.7373404853750625,0.8200129987567778,0.042829139647786216,False
region_21,0.3129994373572796,0.754547366616818,0.8200129987567778,0.039926031743046264,False
region_22,1.2292554529291964,0.22015531491303583,0.5128250071036421,0.15680313245400898,False
region_23,2.5646804347183183,0.0109240184350723,0.08253702817610183,0.3271491901451871,False
region_24,-3.233675681238588,0.0013901162049715075,0.019371463481785964,-0.4124858465751036,True
region_25,-2.2235716503960843,0.02708978480523516,0.12280702445039939,-0.28363754595288265,False
region_26,0.26790064128825064,0.7890012083116671,0.8200129987567778,0.03417325474565546,False
region_27,1.9000232365520513,0.05860419678237828,0.20974133585272225,0.24236589271727763,False
region_28,-2.8160403963958305,0.0052577525270792735,0.059587861973565096,-0.3592125251262391,False
region_29,-1.6808039512555724,0.0940753960544198,0.29077849689547935,-0.2144024042927143,False
region_30,-0.30080175491090544,0.7638207793673898,0.8200129987567778,-0.038370102247909085,False
region_31,0.5874121099198466,0.5574679281005936,0.7581563822168073,0.07492995752621315,False
region_32,-0.8895855051322256,0.374561134019738,0.606432312222433,-0.11347502543757217,False
region_33,0.5212786288324553,0.6026435476127505,0.7732030422201327,0.06649400796838906,False
region_34,0.3365069348912708,0.7367766697688323,0.8200129987567778,0.04292463487366587,False
region_35,-0.1625374507448282,0.8710166153238071,0.8840168633137147,-0.02073318556948166,False
region_36,-2.0979707857516576,0.03693229222486483,0.1569622419556755,-0.26761597047949537,False
region_37,-1.174514284472314,0.24132941510759628,0.5128250071036421,-0.14982037987172198,False
region_38,1.208933230326891,0.22785390437056077,0.5128250071036421,0.15421084119764253,False
region_39,-2.450268410757567,0.014975359970165532,0.09257495254284147,-0.31255485688052737,False
region_40,0.9832487508288197,0.3264550023675943,0.5841826358156951,0.12542265624615512,False
region_41,0.275755620221466,0.7829682169134858,0.8200129987567778,0.03517523142930851,False
region_42,1.858679699522007,0.06427172454786573,0.21852386346274347,0.23709213444547875,False
region_43,2.4698230701668598,0.014200339456197695,0.09257495254284147,0.3150492382087874,False
region_44,-0.41949101608961875,0.6752249098283691,0.7916429977298122,-0.05351003748035112,False
region_45,-0.31079194789959047,0.7562230408965022,0.8200129987567778,-0.03964444563252706,False
region_46,-1.5840316632393459,0.11447643945078634,0.3384520818544987,-0.20205818579888762,False
region_47,-1.0503242658638896,0.29460396576182624,0.5540757546923205,-0.13397877112317466,False
region_48,0.442607697302225,0.6584400215112238,0.7860164162892143,0.05645878830137855,False
region_49,-0.643517350099507,0.5204903512126329,0.7530498698395539,-0.08208671032831928,False
region_50,1.2368601658392042,0.2173232736320407,0.5128250071036421,0.1577731853448554,False
region_51,1.1893801599152414,0.23544150166234795,0.5128250071036421,0.15171666256102592,False
region_52,-3.3196072936645042,0.0010387112826043484,0.019371463481785964,-0.42344723460319783,True
region_53,-1.050915763644831,0.2943327439737974,0.5540757546923205,-0.1340542222465927,False
region_54,-1.420255517268503,0.15680459677931272,0.4056394580179953,-0.18116699296481983,False
region_55,-0.2589451742885814,0.7958949693815784,0.8200129987567778,-0.033030900424761075,False
region_56,-1.035444290716216,0.3014823959355273,0.5540757546923205,-0.13208068988348348,False
region_57,-1.405758546114579,0.1610627259777334,0.4056394580179953,-0.17931776749861264,False
region_58,0.4816258295240642,0.6305016869913553,0.7795293584620393,0.06143591924703357,False
region_59,0.5009692417893683,0.6168425489452585,0.7767646912643996,0.06390335400871909,False
region_60,-0.04363347525755008,0.9652321081896089,0.9652321081896089,-0.005565861500906787,False
region_61,-0.9246158841351494,0.35607553011757975,0.6053284011998855,-0.11794348083113633,False
region_62,-2.2712234646520004,0.024001672261739514,0.11879886448235247,-0.28971598451066116,False
region_63,-2.0132474833978535,0.04518237021084205,0.1807294808433682,-0.25680871380288833,False
region_64,-3.718450675589226,0.00024849225278700856,0.008448736594758291,-0.47432347151174314,True
region_65,-3.2264160108396203,0.0014243723148372033,0.019371463481785964,-0.41155980711241164,True
region_66,-0.8961927243120971,0.3710295445560995,0.606432312222433,-0.11431783859064404,False
region_67,0.9365851902971931,0.3498942611368432,0.6053284011998855,0.11947027877621537,False
