Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,-0.13397783245667527,0.8935309975115248,0.9347708897043643,-0.017170771234514555,False
region_1,-1.520491166507047,0.12968767507496495,0.4008528138680735,-0.19486810247236452,False
region_2,0.5345533273121426,0.5934475123573474,0.8276197136648769,0.06850904159009677,False
region_3,1.85593513631419,0.06467343701319878,0.2748621073060948,0.23785903285197363,False
region_4,-1.250243814946764,0.21241312564437922,0.4894103663265129,-0.16023285449672936,False
region_5,-1.1049760049445976,0.2702628514554266,0.5405257029108532,-0.14161514522685642,False
region_6,0.4721909205436201,0.6372142782963961,0.8332802100799026,0.06051659537253078,False
region_7,1.189966010410223,0.23522104740402347,0.4998447257335499,0.15250757358094483,False
region_8,0.5843677182547738,0.559515057027032,0.8141693146103879,0.07489331796909544,False
region_9,0.1152554289993377,0.9083378474278482,0.9358632367438435,0.014771283940001226,False
region_10,1.964782628198774,0.05057881517125713,0.24566853083182036,0.25180906733402314,False
region_11,2.7334052921271534,0.006729237859250957,0.11439704360726627,0.3503167359981298,False
region_12,0.5795802183434848,0.5627346733336505,0.8141693146103879,0.07427974582619198,False
region_13,1.6717253944087063,0.09586564819936257,0.3259432038778327,0.21425047552999377,False
region_14,0.8410758877809486,0.4011323019118974,0.6652925982929031,0.10779336697078616,False
region_15,0.8751456672963375,0.3823588265701562,0.6500100051692655,0.11215979370976381,False
region_16,-0.6638792757838509,0.5073969655611313,0.8141693146103879,-0.08508362139315791,False
region_17,3.246012149386592,0.0013350480843124153,0.04539163486662212,0.41601308977435275,True
region_18,-1.04996733753585,0.29477621703230383,0.5706544919346895,-0.13456516369878133,False
region_19,-2.103511016417981,0.03644936970142402,0.24566853083182036,-0.26958867590184515,False
region_20,-0.40172368725518953,0.6882404727084313,0.8775945536332775,-0.05148542416951791,False
region_21,0.5216937835022427,0.6023587245943569,0.8276197136648769,0.0668609459246335,False
region_22,1.7167798020207452,0.08729364893921363,0.3259432038778327,0.2200247063264433,False
