Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,-0.4283712322757124,0.6687572202129466,0.7707710334657689,-0.054642792849896336,False
region_1,0.19476086634244924,0.8457415654034883,0.900971969516355,0.02484358629378529,False
region_2,2.441962963680639,0.015315722762031553,0.04005650568531329,0.31149541873446107,True
region_3,3.5121546261803145,0.0005290696416891313,0.005996122605810154,0.44800846377016873,True
region_4,0.7076433592343992,0.47983936657616955,0.5932559441305368,0.09026658789580538,False
region_5,1.782289342560383,0.07594040598277085,0.14344298907856717,0.22734782358452663,False
region_6,2.765847326831873,0.006109931454368631,0.021867123099845627,0.352809925474266,True
region_7,3.3449938840948,0.0009519393978612179,0.006591554744280115,0.4266855337641344,True
region_8,1.7304670657425052,0.08480602562264739,0.15293115270163396,0.22073740317387983,False
region_9,1.7182915869043267,0.08700678001358207,0.15293115270163396,0.21918430595848454,False
region_10,2.5444796038133184,0.01155885900455882,0.03513190602706857,0.3245723835452817,True
region_11,2.4747271249668983,0.01401164739325806,0.038111680909661924,0.31567479667390536,True
region_12,3.2752794276403607,0.0012081028104619115,0.007319495831474721,0.4177927970076399,True
region_13,2.534549205315064,0.011882850567979074,0.03513190602706857,0.3233056675121476,True
region_14,0.7256289316782273,0.4687588342396676,0.5902889023758777,0.09256081737548799,False
region_15,2.7848490155354026,0.005773595093000896,0.02181135924022561,0.35523377017109403,True
region_16,-0.9017890713968464,0.36805459182405154,0.5005542448807101,-0.11503170546924726,False
region_17,3.949045607725157,0.0001026097329323801,0.004060694509429318,0.5037380310329334,True
region_18,-0.740795977298992,0.4595265438446393,0.5902889023758777,-0.09449551716286064,False
region_19,1.0791025434296995,0.28160323206516574,0.40742595277513344,0.1376497119826982,False
region_20,1.7144510506034156,0.08771051404946653,0.15293115270163396,0.21869440931344528,False
region_21,2.0425286496125805,0.04216972130309632,0.09558470162035165,0.2605438028549116,False
region_22,3.554559061009182,0.000454205798148746,0.005996122605810154,0.45341754956699315,True
region_23,3.3805685058510875,0.0008416646225690606,0.006591554744280115,0.4312234124564437,True
region_24,-0.37407046441319547,0.7086754193595564,0.7895018140667737,-0.04771621751910458,False
region_25,-0.7883217106001501,0.43127064052578257,0.5750275207010435,-0.1005578729051415,False
region_26,0.9112638738037876,0.3630520725313725,0.5005542448807101,0.11624030592186348,False
region_27,3.2477771389848433,0.0013257500709543924,0.007319495831474721,0.4142846205740408,True
region_28,-2.704709784549351,0.007315974418834596,0.024874313024037625,-0.34501125505340674,True
region_29,2.251704223709441,0.025227402429434116,0.06126654875719714,0.2872261211420468,False
region_30,0.11426620469452477,0.9091203565956655,0.9457178901654115,0.014575732641280773,False
region_31,3.910224042397591,0.00011943219145380349,0.004060694509429318,0.4987859740494768,True
region_32,-0.10318234681155027,0.9179026581017229,0.9457178901654115,-0.013161881979415485,False
region_33,0.7379403501884294,0.46125691687457937,0.5902889023758777,0.09413125497879643,False
