Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,0.055104412448577354,0.9561011250924565,0.9804682207618456,0.007113949057196159,False
region_1,-1.6238105058510053,0.10572889971222671,0.4482483197068013,-0.2096330348852528,False
region_2,-2.1279200855268656,0.03436327215117822,0.26721850626044946,-0.27471330177686043,False
region_3,-2.305823468240149,0.02197377698086889,0.25659569703702423,-0.29768052972627745,False
region_4,-4.137178911876197,4.866950404101767e-05,0.0033095262747892015,-0.5341075008659011,True
region_5,-0.7109973963370616,0.4777762528223122,0.734044388962563,-0.09178936917367579,False
region_6,-0.34520831580040523,0.7302401236091722,0.9014614795397116,-0.044566201935576,False
region_7,0.30563346361921623,0.7601486649300743,0.9014614795397116,0.039457110488030495,False
region_8,0.7015327029099537,0.4836503305953598,0.734044388962563,0.09056748250633755,False
region_9,-1.7492887475519465,0.0815193787805672,0.40280950411031996,-0.22583220623255734,False
region_10,-1.0811010497712554,0.2807372906109453,0.6013448212944074,-0.13956954537771427,False
region_11,-0.2813102468356885,0.7787148362258818,0.9014614795397116,-0.036316996703737316,False
region_12,-0.27894090627710216,0.7805303821896077,0.9014614795397116,-0.03601111615290735,False
region_13,0.05900170299055682,0.9529998491126355,0.9804682207618456,0.007617087102676764,False
region_14,-1.2777862669264821,0.2025593500077982,0.5602814420389101,-0.16496149772729368,False
region_15,-1.2672299491145471,0.20630132258693054,0.5602814420389101,-0.16359868295786378,False
region_16,-1.0760491002058121,0.2829857982561917,0.6013448212944074,-0.13891734149328622,False
region_17,-0.9085981080673771,0.36447378349110415,0.7289475669822083,-0.11729951136468393,False
region_18,-0.7838610481393914,0.4338945605445398,0.734044388962563,-0.10119602617281842,False
region_19,-1.0937282684322678,0.27517070467792326,0.6013448212944074,-0.14119971229714828,False
region_20,0.34512403794632485,0.7303033981405409,0.9014614795397116,0.044555321711399094,False
region_21,-0.39432855092416313,0.6936886511687259,0.8900156279145918,-0.050907597022112915,False
region_22,-0.765420865024544,0.44477302519135753,0.734044388962563,-0.09881540876932447,False
region_23,-0.47942811743082087,0.6320706681546678,0.8596161086903482,-0.061893903817104766,False
region_24,-0.10056944561335217,0.9199762140525505,0.9804682207618456,-0.012983459599927515,False
region_25,-2.0688801402867707,0.03962829814114874,0.26721850626044946,-0.26709127762099755,False
region_26,-2.7796599880353217,0.005872686699401652,0.12538583061088734,-0.35885256139266364,False
region_27,-1.1586826272812396,0.2477371857240072,0.6013448212944074,-0.1495852839666699,False
region_28,-1.1271405308840121,0.2608087163865701,0.6013448212944074,-0.14551321683163881,False
region_29,-2.2753915974470096,0.02376487274859054,0.25659569703702423,-0.2937517921004187,False
region_30,-0.6279833104419094,0.5306119624375414,0.7517002801198502,-0.0810722967679239,False
region_31,-0.8554169856499279,0.39317350530883366,0.734044388962563,-0.11043385798283732,False
region_32,-0.45517399251436585,0.6493955599747718,0.8658607466330291,-0.05876270975449594,False
region_33,1.1750294901761464,0.24114736709510223,0.6013448212944074,0.1516956548918269,False
region_34,-0.5392684919076288,0.5902015214066627,0.8190551725643482,-0.06961926294308785,False
region_35,-0.6809502340309239,0.49655943959232207,0.734044388962563,-0.08791029719992705,False
region_36,-0.40739816129412565,0.6840787183931338,0.8900156279145918,-0.05259487646558904,False
region_37,-2.7419754990987144,0.006567136560089601,0.12538583061088734,-0.35398751479060303,False
region_38,-0.2768280605890078,0.782150401365338,0.9014614795397116,-0.035738348947470834,False
region_39,-2.7024015911208292,0.007375637094758079,0.12538583061088734,-0.3488785452391799,False
region_40,1.3049406744601315,0.19316283786909294,0.5602814420389101,0.16846711666575878,False
region_41,-1.741191842085703,0.08293136849330117,0.40280950411031996,-0.22478690023167144,False
region_42,0.08273587067422974,0.9341305240660859,0.9804682207618456,0.010681154975175413,False
region_43,-0.9812710299370424,0.3274472431723384,0.6747397738096671,-0.12668154523539882,False
region_44,-1.4209146631265257,0.15663951297100948,0.5237118307421156,-0.18343929422236516,False
region_45,-0.14318493613264532,0.8862642691581637,0.9804682207618456,-0.0184850957689836,False
