Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,-2.4688000558784946,0.014239984905290052,0.09982684597455257,-0.3149187430829951,False
region_1,-3.388698246845507,0.0008181961530062738,0.018545779468142204,-0.43226043763369804,True
region_2,-0.7757964835359472,0.4386173809237405,0.6936274861119617,-0.09896016200324172,False
region_3,0.38594734557371674,0.6998705912287,0.8731763841966144,0.04923122578310371,False
region_4,-4.359496229231468,1.920030138572755e-05,0.0013056204942294735,-0.5560948808777081,True
region_5,-1.2790412143830392,0.20209264815160088,0.45719813806167275,-0.16315377611311851,False
region_6,-1.1508409656468195,0.2509196204327295,0.5020901267956417,-0.14680062467065735,False
region_7,1.3787767084114169,0.1692211407116812,0.4305045691899042,0.1758759794950371,False
region_8,0.060308420405749665,0.9519591605859892,0.9674012177368176,0.007692908101762564,False
region_9,-0.2966989774182189,0.7669477100339984,0.8731763841966144,-0.037846754264312936,False
region_10,-1.416505886021493,0.1578976369456379,0.4305045691899042,-0.18068869211719896,False
region_11,-1.0862823875229268,0.2784216902779062,0.5259076371916006,-0.13856556884684046,False
region_12,1.2292657218690792,0.2201514728199137,0.46782187974231665,0.15680444235419022,False
region_13,1.5719459612273008,0.11725358688172281,0.41306164679976076,0.20051654046481276,False
region_14,-1.373232054126459,0.1709356377665796,0.4305045691899042,-0.17516870652082808,False
region_15,0.3652001158936175,0.7152771025978539,0.8731763841966144,0.04658472086353617,False
region_16,-0.4408146612048357,0.6597358948737364,0.8627315548348862,-0.056230069627807654,False
region_17,-0.05878065851160429,0.953174729240688,0.9674012177368176,-0.00749802765598132,False
region_18,-0.9965931484065913,0.3199452954461891,0.5473440003551456,-0.12712486007687246,False
region_19,-0.7108291153224431,0.4778662743112674,0.7289738341742874,-0.09067296114609227,False
region_20,-0.3402574350458263,0.7339542194183243,0.8731763841966144,-0.0434030465586433,False
region_21,0.10943601199167892,0.9129462535415649,0.9674012177368176,0.013959595983633302,False
region_22,-1.7528941309547048,0.08087093675956991,0.3055124277583752,-0.22359818696673878,False
region_23,0.5472395293597726,0.5847123102157918,0.8114374917280377,0.06980556580147419,False
region_24,-3.5059005293807397,0.0005410438736102014,0.018395491702746847,-0.44721069470881775,True
region_25,-1.502502288937614,0.13425524449351756,0.42692119997824435,-0.19165834478369118,False
region_26,-2.3019480567131407,0.02217750748643442,0.11600542377519543,-0.29363519614977024,False
region_27,0.5093670210484104,0.6109534570740363,0.8308967016206893,0.064974569995874,False
region_28,-3.06007420460056,0.00245898903813191,0.027868542432161643,-0.3903413401011899,True
region_29,-1.8428100166191974,0.06656484872691086,0.26625939490764344,-0.23506780664259389,False
region_30,-0.6112074852477495,0.5416288949263433,0.7836332947870498,-0.07796528218590285,False
region_31,1.4876786251314267,0.13812156469884376,0.42692119997824435,0.1897674465869685,False
region_32,-0.6863692353367279,0.493129358412018,0.7289738341742874,-0.0875528726469362,False
region_33,0.038099351786484985,0.9696394939608535,0.9696394939608535,0.004859931831380039,False
region_34,0.32971889479383415,0.7418941021907925,0.8731763841966144,0.04205875630630612,False
region_35,-1.0034210836930224,0.3166477300208588,0.5473440003551456,-0.12799582765204523,False
region_36,-3.246302466767599,0.0013323493208144634,0.02264993845384588,-0.4140965122175101,True
region_37,-2.3552495606866866,0.01929950652001605,0.10936387028009094,-0.3004343059423246,False
region_38,-1.150535567271711,0.25104506339782084,0.5020901267956417,-0.14676166822612888,False
region_39,-2.9075242968628316,0.003977135222524837,0.033805649391461114,-0.37088215988616957,True
region_40,-0.12870249451719054,0.8976986492604605,0.9674012177368176,-0.0164172176310881,False
region_41,-1.1042096642946555,0.2705854910491989,0.5257089540384436,-0.14085236216346037,False
region_42,0.7000928767988218,0.484533546424064,0.7289738341742874,0.08930345261369922,False
region_43,3.1489617319755965,0.0018418807301159603,0.025049577929577058,0.40167978297348694,True
region_44,-0.4182488343826984,0.6761315631892002,0.8674895527710493,-0.05335158548222653,False
region_45,-1.0048104603741816,0.31597948457316616,0.5473440003551456,-0.12817305575808716,False
region_46,-1.3822764903415787,0.16814565178753568,0.4305045691899042,-0.17632240970467955,False
region_47,-0.91636526256803,0.3603764529141663,0.5834666380515073,-0.11689103619618747,False
region_48,-1.2612217347879426,0.2084285629398802,0.45719813806167275,-0.16088073334356784,False
region_49,-0.12001029145972293,0.904573349099653,0.9674012177368176,-0.015308445110218316,False
region_50,-0.29210996605258543,0.7704497507617185,0.8731763841966144,-0.037261382562049014,False
region_51,0.9857425945739956,0.32523191351694314,0.5473440003551456,0.12574076954812388,False
region_52,-2.365350983012543,0.018792722250756594,0.10936387028009094,-0.301722837678475,False
region_53,-1.4268392272866028,0.1548993838474906,0.4305045691899042,-0.1820068073024719,False
region_54,-1.3001520502485056,0.19477064181251344,0.45719813806167275,-0.1658466624326704,False
region_55,-0.0945731532797812,0.9247311753775909,0.9674012177368176,-0.012063698106838482,False
region_56,-1.5539433513424288,0.12148871964698846,0.41306164679976076,-0.19822013769875726,False
region_57,-2.1849550261132715,0.029839983999042276,0.13527459412899165,-0.27871163113353764,False
region_58,-0.9760220772517544,0.33001623550824954,0.5473440003551456,-0.12450082583945954,False
region_59,0.45430773826789494,0.6500095740917107,0.8627315548348862,0.05795123892983466,False
region_60,0.1497819409327552,0.8810598861532012,0.9674012177368176,0.019106099930109602,False
region_61,-2.053960564776864,0.04104083752822985,0.17442355949497687,-0.26200205150732686,False
region_62,-0.3226427596915639,0.7472409743169769,0.8731763841966144,-0.04115612850257357,False
region_63,-2.189268666057097,0.029521242576972938,0.13527459412899165,-0.27926187661250523,False
region_64,-2.969305732784758,0.0032809846763757564,0.03187242257050735,-0.37876296501660867,True
region_65,-2.457601929192764,0.014680418525669496,0.09982684597455257,-0.31349031635708124,False
region_66,0.5922220109247709,0.5542480743219269,0.7851847719560631,0.07554350578631533,False
region_67,1.2909853832430964,0.19792556203547965,0.45719813806167275,0.16467736755812995,False
