Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,-0.44732989219326563,0.6550403421144568,0.9981708019853888,-0.05775004075750922,False
region_1,-1.0703357687946626,0.28554343105275226,0.7191464189476724,-0.13817975357972803,False
region_2,-1.7211800729053406,0.08650682265132194,0.6933571884390145,-0.2222033919395484,False
region_3,-1.4304801901790123,0.1538798934944091,0.7174318528810778,-0.18467419845476446,False
region_4,-3.7581309886439684,0.00021500695978053853,0.01462047326507662,-0.4851726243961369,True
region_5,-0.6638699636189809,0.5074107769553153,0.9325387252151742,-0.08570524377145455,False
region_6,-0.0022949510749241705,0.9981708019853888,0.9981708019853888,-0.0002962769097847374,False
region_7,0.008936059032789167,0.9928775747858964,0.9981708019853888,0.0011536402604906267,False
region_8,1.2442739725452796,0.2146125403059755,0.7174318528810778,0.16063507912624042,False
region_9,-1.5504251188717622,0.12235715090100258,0.6933571884390145,-0.20015902216439965,False
region_10,0.31520414248284745,0.7528805518468347,0.9981708019853888,0.0406926798163886,False
region_11,0.41329677573232243,0.679758225123054,0.9981708019853888,0.05335638431508354,False
region_12,0.02453612595215614,0.9804453561948265,0.9981708019853888,0.003167600239771611,False
region_13,0.17016347305929755,0.8650249317611017,0.9981708019853888,0.021968009909715792,False
region_14,-0.5567831972623682,0.5781943833968956,0.9981708019853888,-0.07188040168150904,False
region_15,-0.33707927687392414,0.7363517285328312,0.9981708019853888,-0.043516747522811566,False
region_16,-0.3171573559734993,0.7513999334341828,0.9981708019853888,-0.04094483859375134,False
region_17,-0.2876658136040344,0.7738508027017209,0.9981708019853888,-0.03713749684538774,False
region_18,-0.22352154997431362,0.8233197543927926,0.9981708019853888,-0.02885650801896618,False
region_19,-0.15255699711991716,0.8788758155882428,0.9981708019853888,-0.019695023639761736,False
region_20,0.3369213371497899,0.7364706392257072,0.9981708019853888,0.04349635759210235,False
region_21,-0.7843324229327484,0.4336185247611304,0.8672370495222608,-0.10125688039696823,False
region_22,0.11939391681671337,0.9050631592481498,0.9981708019853888,0.01541368838232015,False
region_23,0.03729222394556502,0.9702830055276899,0.9981708019853888,0.004814405409473693,False
region_24,0.03946450934710521,0.9685528573363796,0.9981708019853888,0.005094846248919514,False
region_25,-1.1512022774963284,0.2507946216118306,0.7174318528810778,-0.1486195749619776,False
region_26,-2.606875950304125,0.009709386905225825,0.11003971825922601,-0.33654623803855027,False
region_27,0.0034697679651443077,0.9972344136010254,0.9981708019853888,0.00044794511814026325,False
region_28,0.3790349488212029,0.7049970277714485,0.9981708019853888,0.048933201480503306,False
region_29,-2.8174369355276174,0.005244050926345042,0.08914886574786571,-0.3637295443429374,False
region_30,1.4087508632827166,0.16020307105929185,0.7174318528810778,0.1818689544149761,False
region_31,-0.7033908200567425,0.4824940243424902,0.9113776015358148,-0.09080736439849804,False
region_32,-0.36559122006383704,0.7149921381292286,0.9981708019853888,-0.047197623560896386,False
region_33,1.1201684025301528,0.2637617106180433,0.7174318528810778,0.14461311893156828,False
region_34,0.4782486292228531,0.6329086002142823,0.9981708019853888,0.061741632544221194,False
region_35,0.15524079294576287,0.8767619725345899,0.9981708019853888,0.020041500191032447,False
region_36,-0.7159838560954634,0.4746973652177756,0.9113776015358148,-0.09243311836036992,False
region_37,-3.1227825954096975,0.0020114767162386273,0.045593472234742215,-0.403149499528271,True
region_38,-0.1419637957167427,0.8872277010039444,0.9981708019853888,-0.018327447219177874,False
region_39,-3.510408902535938,0.0005342572891622866,0.018164747831517742,-0.4531918405966648,True
region_40,0.8827652209898136,0.3782464728795195,0.8297019405099137,0.11396449998348858,False
region_41,-1.1620499608049095,0.2463694624098212,0.7174318528810778,-0.1500200048552799,False
region_42,0.03477444385834528,0.9722885035307994,0.9981708019853888,0.004489361397899868,False
region_43,0.045893360082986875,0.9634334099126223,0.9981708019853888,0.005924807310096947,False
region_44,-1.0839546763959365,0.2794726160224806,0.7191464189476724,-0.13993794699083706,False
region_45,-0.08278088700665903,0.934094766794259,0.9981708019853888,-0.010686966558702278,False
region_46,-0.8834701063474422,0.3778664377046316,0.8297019405099137,-0.11405550029185797,False
region_47,-1.6057961887187107,0.10963363235712667,0.6933571884390145,-0.20730739654369695,False
region_48,-1.1600139055196215,0.24719581725913461,0.7174318528810778,-0.14975715124821723,False
region_49,-1.426075129160428,0.15514608287769371,0.7174318528810778,-0.18410550752263094,False
region_50,-0.03625245358161023,0.9711111960147526,0.9981708019853888,-0.004680171632691128,False
region_51,1.2947902852596955,0.19663684634913228,0.7174318528810778,0.1671567070547317,False
region_52,-2.361371794726866,0.019007377726960175,0.1846430979190417,-0.3048517878393691,False
region_53,-1.1339698243754142,0.25793860385762285,0.7174318528810778,-0.14639487483025762,False
region_54,-1.5934190037271911,0.11238233465022761,0.6933571884390145,-0.20570950883219413,False
region_55,-1.1774511485396078,0.24018179911702658,0.7174318528810778,-0.1520082896422232,False
region_56,-0.4524859576413241,0.6513276678635995,0.9981708019853888,-0.05841568594458543,False
region_57,-1.3059775331442613,0.1928105391558322,0.7174318528810778,-0.1686009745462923,False
region_58,-0.20169622300744464,0.8403250660840186,0.9981708019853888,-0.026038870423359013,False
region_59,-0.5932965869838223,0.5535413766532427,0.9905477266426447,-0.07659426002500146,False
