Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,-2.6826723918207986,0.007800859645948181,0.0408044966095751,-0.34220017766284316,True
region_1,-3.1148938225473195,0.0020591679016008745,0.017502927163607435,-0.39733409965617167,True
region_2,-0.95652287871929,0.33975101391374785,0.5797333166356317,-0.12201351906937588,False
region_3,0.5896975448134159,0.5559368656129484,0.7774522123333685,0.07522148631258332,False
region_4,-3.604480245903041,0.0003788332002870138,0.011455057829055504,-0.45978546776375195,True
region_5,-1.6245256874371339,0.10554942623085466,0.28709443934792467,-0.20722358069280583,False
region_6,-0.565645321475938,0.572152574942832,0.7774522123333685,-0.07215339826561723,False
region_7,1.9839205650953715,0.048380768012885766,0.14954055567619237,0.2530677886403486,False
region_8,0.41308503380995465,0.6799056129691041,0.8564569609998103,0.052692893992801304,False
region_9,-0.549607626258886,0.5830891592500264,0.7774522123333685,-0.07010763890666218,False
region_10,-1.5796008289912482,0.11548848222881056,0.3020467996753507,-0.20149299108054763,False
region_11,-0.818810299570127,0.4136903799283925,0.6697844246459689,-0.10444698012301325,False
region_12,2.1369928359682304,0.03358930019289398,0.11420362065583953,0.2725936012023494,False
region_13,2.218044855845506,0.02746937385406709,0.0990704446241941,0.2829325511563208,False
region_14,-1.4953963880038612,0.13609797314031513,0.3427652656867196,-0.1907519200672783,False
region_15,-0.09228982860140277,0.9265431879392549,0.9403721907443184,-0.011772438498328201,False
region_16,-0.6582421067011053,0.5110006213638674,0.7542157198081836,-0.08396499197779386,False
region_17,0.4127816660229909,0.6801275866763199,0.8564569609998103,0.0526541965689516,False
region_18,-0.2129509841367365,0.8315422778463568,0.8975376967230517,-0.027163907463038567,False
region_19,0.33011804309705817,0.7415928679492916,0.8680082438365617,0.042109671438803675,False
region_20,-0.35906862437894965,0.7198530064427542,0.8680082438365617,-0.04580259126319632,False
region_21,-0.00781788413421551,0.9937686564926369,0.9937686564926369,-0.0009972448920087063,False
region_22,-0.891598092719637,0.373483188356596,0.6194355319085008,-0.11373174997541512,False
region_23,1.0865220611497661,0.27831591197282607,0.5257078337264492,0.13859614147953891,False
region_24,-3.200222500827126,0.001554586435518159,0.017502927163607435,-0.40821857774455533,True
region_25,-2.0223340454413212,0.04422852630669193,0.14321618042166911,-0.2579677905336511,False
region_26,-2.573939074679604,0.010643613709514912,0.04851189286419364,-0.3283302170381198,True
region_27,1.720266675859337,0.08664665716065781,0.25617272551846654,0.21943624719192217,False
region_28,-2.4621024067387687,0.01450197852477512,0.061633408730294256,-0.31406439473523357,False
region_29,-2.5720215524360612,0.010701152837689774,0.04851189286419364,-0.3280856189819376,True
region_30,-0.2813826185183563,0.7786544540298569,0.8680082438365617,-0.03589300815924959,False
region_31,1.0937408533638833,0.2751428404490712,0.5257078337264492,0.13951696654402077,False
region_32,-0.21493785911396196,0.829994571974858,0.8975376967230517,-0.02741735211482438,False
region_33,-0.36486236533880023,0.7155288983381594,0.8680082438365617,-0.04654163759320596,False
region_34,0.4722475622157356,0.6371704533465252,0.8332229005300715,0.0602396327571646,False
region_35,0.14619736625026897,0.8838858030359008,0.9221927078799305,0.018648853604791446,False
region_36,-2.905257417169971,0.0040050742721498556,0.02723450505061902,-0.3705929979907393,True
region_37,-3.4440984083433652,0.000673826931120912,0.011455057829055504,-0.4393272509967155,True
region_38,-0.6422734794293308,0.5212961592791857,0.7542157198081836,-0.08192804288699411,False
region_39,-3.6995829331478705,0.0002666486953462892,0.011455057829055504,-0.47191671292459175,True
region_40,0.30608304470744724,0.7598013511488612,0.8680082438365617,0.039043780596475126,False
region_41,-0.28863364752611764,0.7731057977820963,0.8680082438365617,-0.036817945330951826,False
region_42,1.1722009422484638,0.24225495569357625,0.5147917808488496,0.14952529124203684,False
region_43,3.4853307823170727,0.0005822432171363235,0.011455057829055504,0.4445868293717279,True
region_44,-0.16596832747113338,0.8683187528647809,0.9221927078799305,-0.021170826270172693,False
region_45,-1.110061931245109,0.2680606563991861,0.5257078337264492,-0.14159887403583116,False
region_46,-1.0068286559121844,0.31501045807000444,0.5637029249673764,-0.12843049564294545,False
region_47,-1.4738246675349012,0.14181249232560117,0.34440176707646,-0.18800024356757686,False
region_48,-0.7069220237639867,0.4802867443083705,0.7422613321129362,-0.09017457474992806,False
region_49,-1.0405244168933854,0.2991220557849517,0.5497378322534248,-0.13272870791418945,False
region_50,0.6818563548076156,0.4959738583713702,0.7494716082056261,0.08697721215125219,False
region_51,1.183175246145826,0.2378865194082208,0.5147917808488496,0.15092516725926997,False
region_52,-3.20156240627373,0.0015476663787244735,0.017502927163607435,-0.40838949532781194,True
region_53,-2.3310433703589353,0.020563102066823994,0.08225240826729598,-0.29734657795289426,False
region_54,-1.342096789220337,0.18080701374724154,0.42396127361422153,-0.17119710968517307,False
region_55,0.28447160161425217,0.776289285822678,0.8680082438365617,0.036287037101224,False
region_56,-0.9540085880144394,0.3410195980209598,0.5797333166356317,-0.12169279756476013,False
region_57,-2.725191606128913,0.006889888753132077,0.0408044966095751,-0.34762390466532134,True
region_58,-0.13202940895604726,0.8950693929422855,0.9221927078799305,-0.01684159696101185,False
region_59,1.1979371490162078,0.232099093233917,0.5147917808488496,0.1528081872658455,False
region_60,-0.5654394273831407,0.572292356802784,0.7774522123333685,-0.07212713453123439,False
region_61,-2.699400432383311,0.007430239831652953,0.0408044966095751,-0.34433399708481066,True
region_62,-1.1218870259573512,0.2630087974518496,0.5257078337264492,-0.14310727644968785,False
region_63,-2.214985874306784,0.02768144776264247,0.0990704446241941,-0.28254234919606297,False
region_64,-3.061946232151298,0.0024442326862737585,0.018467535851846174,-0.39058013488001037,True
region_65,-3.129240491109031,0.00196492977504976,0.017502927163607435,-0.39916415260846505,True
region_66,0.7550561263251077,0.45094052444374144,0.7131152479575447,0.09631453373197785,False
region_67,1.687364451964086,0.09280595220097856,0.2629501979027726,0.21523925806392216,False
