Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,2.9280549327920777,0.0037347934179584315,0.10514245443191717,0.37526328416548194,False
region_1,1.1284583383098459,0.2602392689920064,0.47140731482293724,0.14462467125719936,False
region_2,1.9578289321827984,0.05139453061630959,0.16833765527836536,0.2509178727137244,False
region_3,0.33882687966065933,0.7350327512142107,0.8617625359063161,0.043424488455125046,False
region_4,-1.034996474366768,0.30169944854048114,0.5128890625188179,-0.13264647863017,False
region_5,-1.0797340116530596,0.28133115315947266,0.4905261132011319,-0.13838009891833888,False
region_6,0.9234932309022229,0.3566663016386502,0.5533475959919524,0.11835607961169652,False
region_7,-0.06097151121911053,0.9514320139819142,0.9751055248218824,-0.007814187255974096,False
region_8,2.249121191757573,0.025400974998381495,0.13786312803279704,0.288250263153469,False
region_9,0.7187865624174186,0.47296303413125473,0.6366075408202906,0.09212060983076219,False
region_10,0.21666564462242974,0.8286507099449768,0.9095451205431638,0.02776814753585014,False
region_11,0.277970613004448,0.7812712806810428,0.8854407847718485,0.03562507109047759,False
region_12,2.234558146762981,0.026356186241564137,0.13786312803279704,0.28638384458634564,False
region_13,1.3141261152087476,0.1900429072008312,0.365282294508487,0.16842009221822182,False
region_14,2.040620356813846,0.04236955817188375,0.16543693864724485,0.2615285281218045,False
region_15,2.7034321596227997,0.007347340500338317,0.10653340221564701,0.3464753408062761,False
region_16,2.8901098840012476,0.004199318250849216,0.10514245443191717,0.37040019793455237,False
region_17,2.17309509912216,0.03073963967389885,0.14930682127322298,0.27850666139070107,False
region_18,1.4503730519189253,0.14824404649569398,0.3150185988033497,0.18588167477077105,False
region_19,0.7115020115514697,0.47745565561521797,0.6366075408202906,0.09118701242758105,False
region_20,2.6180038096030516,0.009400006077851207,0.10653340221564701,0.3355267336506448,False
region_21,2.396176925450368,0.017324100101355412,0.129716327846895,0.3070971150218869,False
region_22,1.8543954563708218,0.0648941208642237,0.18899543798614382,0.2376617054911918,False
region_23,0.43597612945023934,0.6632411047074314,0.8351925022241729,0.05587526119233153,False
region_24,0.5895432936374349,0.5560446049578152,0.727135252637143,0.07555662636327622,False
region_25,-0.36714020371384115,0.7138339629029813,0.8559078185884583,-0.04705316046221304,False
region_26,0.9821764308177634,0.32698980415929546,0.5294120638769545,0.12587699394940885,False
region_27,1.0102980779586404,0.31335742434996006,0.5197147525804215,0.12948110039701752,False
region_28,-2.359806338534209,0.01907593056571985,0.129716327846895,-0.3024358138487669,False
region_29,0.7467198765645016,0.4559545222456748,0.6350047899330574,0.09570057927978647,False
region_30,1.524972832320482,0.1285662868997914,0.31001311247892055,0.195442478524141,False
region_31,1.4000859074180811,0.16276304497221417,0.3353905169124413,0.17943680968803288,False
region_32,0.7440303105964511,0.4575769809811737,0.6350047899330574,0.09535588104791694,False
region_33,2.3188046163042824,0.021236003614863167,0.13127711325551775,0.2971809804205663,False
region_34,2.668361392279762,0.008135313682853206,0.10653340221564701,0.3419806261805494,False
region_35,0.21524795772070585,0.8297545488077781,0.9095451205431638,0.027586454960106,False
region_36,1.6653111279187771,0.09713937676839396,0.2540568315481073,0.21342841489118325,False
region_37,-0.9208376742834875,0.358048444465381,0.5533475959919524,-0.11801574006175382,False
region_38,2.4981596659793723,0.013145894779742805,0.1277029778603587,0.32016735414565134,False
region_39,-0.8467493399054717,0.3979679744838145,0.6013738281088753,-0.10852048388821844,False
region_40,0.1986958600816349,0.8426668028561666,0.9095451205431638,0.025465116849163343,False
region_41,1.9615987121585445,0.05095094536778441,0.16833765527836536,0.2514010125614221,False
region_42,0.755563883063993,0.45064246712681366,0.6350047899330574,0.09683403852162363,False
region_43,1.5105143395575067,0.13221147443953965,0.31001311247892055,0.19358945950542228,False
region_44,1.305222342947172,0.19305167224301528,0.365282294508487,0.16727897331948785,False
region_45,1.612741489303466,0.10809859901997203,0.27224832345770733,0.20669102242861667,False
region_46,1.7962687219221374,0.07369384099408241,0.20044724750390414,0.2302121084830413,False
region_47,0.36228740586526004,0.7174521420520901,0.8559078185884583,0.046431219651726544,False
region_48,1.9528394950022556,0.051986628835965776,0.16833765527836536,0.2502784200308055,False
region_49,1.1209081127746239,0.2634334994598767,0.47140731482293724,0.1436570246468826,False
region_50,2.026633471598909,0.04379213081838834,0.16543693864724485,0.25973595093268814,False
region_51,2.4273934195205196,0.01593535956402333,0.129716327846895,0.31109786103033943,False
region_52,1.4723135510623542,0.1422302010467236,0.31198882810249046,0.18869359734523655,False
region_53,-0.8170853752646318,0.41467999677892686,0.613005212629718,-0.10471871204718422,False
region_54,-0.04924344728841947,0.9607657376921489,0.9751055248218824,-0.006311103506333808,False
region_55,-1.9086221987544902,0.057489079652382286,0.17769351892554525,-0.2446114745028977,False
region_56,0.14952429950711596,0.8812639605631829,0.9363429580983819,0.01916322643649252,False
region_57,0.37450461168715327,0.7083555331932243,0.8559078185884583,0.04799699245492922,False
region_58,1.4752055927712542,0.14145176252819475,0.31198882810249046,0.18906424512833345,False
region_59,0.2852724113106772,0.7756784450799239,0.8854407847718485,0.03656087894777646,False
region_60,0.007049398456207631,0.9943812241769069,0.9943812241769069,0.0009034599680631751,False
region_61,-0.12770676797338656,0.8984866535807201,0.9399552683613687,-0.01636706354895948,False
region_62,2.8575984132892143,0.004638637695525758,0.10514245443191717,0.3662334860549997,False
region_63,1.3042430163481151,0.19338474415155193,0.365282294508487,0.16715346156364033,False
region_64,0.4755605564011128,0.6348146950859525,0.8144792314310333,0.060948452235652775,False
