Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,0.5810722611660024,0.5617259096926509,0.841002308983317,0.0741212499939272,False
region_1,0.5508117522896507,0.5822646336844683,0.841002308983317,0.07026123654419424,False
region_2,1.3084462883383796,0.1919481139773585,0.466159705373585,0.16690467076666837,False
region_3,-0.23055913397822664,0.8178497230550157,0.9584406673130661,-0.029409993128378505,False
region_4,-2.298768763848375,0.02236046674469149,0.32104932550808135,-0.29322964734460033,False
region_5,0.5467728347466764,0.5850324431969198,0.841002308983317,0.06974603449977564,False
region_6,-0.5342562737312074,0.5936486886941061,0.841002308983317,-0.06814942903416596,False
region_7,-0.4117713702290708,0.6808670194575543,0.8936638483262919,-0.05252532380713933,False
region_8,1.4645169931283442,0.14433471568928583,0.4323111625410381,0.1868129618684537,False
region_9,0.894110738316803,0.3721401255140495,0.715205273127519,0.11405226163102224,False
region_10,1.5761318645526177,0.11628575460258665,0.4323111625410381,0.20105049193274832,False
region_11,1.689840962015405,0.0923303643080071,0.4323111625410381,0.21555516028967625,False
region_12,1.457630895072798,0.14622289321240994,0.4323111625410381,0.18593457508324795,False
region_13,0.2573201694971952,0.7971476067567257,0.9584406673130661,0.03282361572983869,False
region_14,0.21266383921288634,0.8317660081823748,0.9584406673130661,0.027127279418460302,False
region_15,1.8689871893892245,0.0628177636784679,0.4323111625410381,0.23840695204101292,False
region_16,1.5663667068134919,0.11855345763038982,0.4323111625410381,0.1998048539176769,False
region_17,1.3427816269691837,0.1805854008516214,0.45480767621889834,0.17128446720226684,False
region_18,0.6556455971324049,0.5126673759682514,0.7944413573166519,0.08363378268126492,False
region_19,1.727057908725251,0.08541762534464835,0.4323111625410381,0.2203025330270286,False
region_20,2.031167935750913,0.04331765356210899,0.36820005527792643,0.2590946366005108,False
region_21,1.1981039704430985,0.23203427034089355,0.5259443461060254,0.15282946691299656,False
region_22,0.00880273677468916,0.9929836864488423,0.9929836864488423,0.0011228721395135954,False
region_23,0.7361353450311922,0.46235255012998266,0.7944413573166519,0.09390100953870013,False
region_24,-1.497787314172091,0.1354757686165167,0.4323111625410381,-0.1910569052611624,False
region_25,-1.728274921951116,0.08519888379656058,0.4323111625410381,-0.22045777454790114,False
