Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,-0.41784271131592116,0.6764357098311723,0.9210562566902232,-0.0539432620753572,False
region_1,-2.051611046647454,0.04129292725499749,0.3467903743361656,-0.26486184721869194,False
region_2,-1.3713139864981359,0.17155788451891527,0.6139966393308546,-0.1770358744042861,False
region_3,-0.7121782589185552,0.47704613808593554,0.8582322658899364,-0.09194181787741859,False
region_4,-3.138667428471264,0.0019096708601535946,0.12985761849044444,-0.40520022265842887,False
region_5,-2.0247967778630938,0.043995617995518994,0.3467903743361656,-0.26140014000394,False
region_6,0.44015696445790664,0.660219566734009,0.9210562566902232,0.056824019768756076,False
region_7,0.22679318355374312,0.8207776172136124,0.945980982551282,0.0292788740979003,False
region_8,0.9792883009725203,0.32842365423284514,0.8372056492904764,0.12642557602674426,False
region_9,-2.0067434043578114,0.04589872601508074,0.3467903743361656,-0.2590694595063126,False
region_10,0.15959788934129324,0.8733320740252382,0.9735505087494458,0.020603998916956096,False
region_11,0.8928023302781309,0.3728573555125241,0.8372056492904764,0.11526028522074583,False
region_12,-1.2633196078487916,0.20770019380050422,0.6615342766395412,-0.1630938600711885,False
region_13,-0.5906260559482132,0.5553267602817236,0.8582322658899364,-0.07624949595078663,False
region_14,0.3256512497842397,0.7449719723229746,0.9210562566902232,0.04204139556953307,False
region_15,-1.2458731647353134,0.21402579538338098,0.6615342766395412,-0.16084153395021994,False
region_16,-0.8420776067788976,0.4005828381628367,0.8372056492904764,-0.10871175157562893,False
region_17,-0.398837482842647,0.6903675854699631,0.9210562566902232,-0.05148969762976194,False
region_18,-1.5902260264340375,0.11310022542714449,0.5708301528651416,-0.20529729723615409,False
region_19,-0.5361415882146058,0.5923572562104953,0.875658552658993,-0.06921558141214543,False
region_20,0.6530523122514329,0.51434764936572,0.8582322658899364,0.08430869098506817,False
region_21,-0.16736026807424412,0.8672275159314936,0.9735505087494458,-0.021606117702278542,False
region_22,1.0692465185634594,0.28603282448816375,0.8104263360497972,0.13803913197955126,False
region_23,-0.7459152109501734,0.45644859296988705,0.8582322658899364,-0.09629723965642713,False
region_24,0.3693907725573083,0.7121621779002528,0.9210562566902232,0.047688143678571555,False
region_25,-2.1277191839269607,0.03438011486242838,0.3467903743361656,-0.2746873654918385,False
region_26,-0.963666501952335,0.3361831138319131,0.8372056492904764,-0.1244088104453117,False
region_27,0.0461601093073355,0.963221022436453,0.9983155109382753,0.0059592444868808115,False
region_28,0.3383152806025836,0.7354213775901399,0.9210562566902232,0.043676314918043184,False
region_29,-1.4649452875182123,0.14424458607412827,0.5769783442965131,-0.1891236233887691,False
region_30,0.07969570497987431,0.9365456874049892,0.9983155109382753,0.010288671271710424,False
region_31,-0.6441161309499177,0.52011522124532,0.8582322658899364,-0.0831550349397529,False
region_32,-0.8040998784925711,0.42213504246688194,0.8442700849337639,-0.10380884793630452,False
region_33,0.8987824757128107,0.369669367954086,0.8372056492904764,0.11603231867662626,False
region_34,-0.08365008768501778,0.9334043715882723,0.9983155109382753,-0.010799179883762134,False
region_35,-0.2700597687052885,0.7873463449768954,0.9404209370028933,-0.03486456622254031,False
region_36,-0.6258463987843812,0.5320104061548079,0.8582322658899364,-0.08079642265919314,False
region_37,-2.2528302311721524,0.025173779463976087,0.3467903743361656,-0.2908391322387451,False
region_38,0.345427144053931,0.7300758393115522,0.9210562566902232,0.04459445254162884,False
region_39,-2.533979172661817,0.01191483445315991,0.3467903743361656,-0.3271353045118555,False
region_40,-0.03564124727294597,0.9715980443993479,0.9983155109382753,-0.004601265237539343,False
region_41,-1.0417785314418118,0.2985626519441021,0.8120904132879576,-0.1344930300903519,False
region_42,0.9149113932594934,0.3611564415525276,0.8372056492904764,0.11811455297831476,False
region_43,0.6470941931446026,0.5181894053120528,0.8582322658899364,0.0835395011158857,False
region_44,-0.8319024355952254,0.4062909768615547,0.8372056492904764,-0.10739814262432319,False
region_45,0.25087715247965964,0.8021237403848207,0.9404209370028933,0.032388101116588686,False
region_46,-0.6319163820728345,0.5280429881783166,0.8582322658899364,-0.08158005413212435,False
region_47,-1.533594299731498,0.12644663752761107,0.5708301528651416,-0.1979861727566239,False
region_48,0.5964827833491195,0.551414953533955,0.8582322658899364,0.07700559620701955,False
region_49,-0.6458133084766854,0.5190172568352365,0.8582322658899364,-0.08337413961631053,False
region_50,0.002113395834787602,0.9983155109382753,0.9983155109382753,0.00027283822906921674,False
region_51,1.3342663538096802,0.18338117621928976,0.6234959991455852,0.17225304559032614,False
region_52,-2.4368433855124025,0.015543900676570332,0.3467903743361656,-0.31459512831350783,False
region_53,-1.429999527681926,0.15401766959469765,0.5818445295799689,-0.18461214519321906,False
region_54,-1.5630656741808808,0.11935475056258407,0.5708301528651416,-0.20179091083770068,False
region_55,-2.0287676083884527,0.04358614523586302,0.3467903743361656,-0.2619127720204509,False
region_56,0.26109544692813297,0.7942428091626283,0.9404209370028933,0.033707277257441375,False
region_57,-1.5023824090851527,0.1343129771447392,0.5708301528651416,-0.19395673500072583,False
region_58,-0.37407787997308023,0.7086766458426519,0.9210562566902232,-0.04829324664401056,False
region_59,-0.8534386937016843,0.394267037198738,0.8372056492904764,-0.11017846159052122,False
region_60,-0.3466832412527284,0.7291330714642131,0.9210562566902232,-0.044756613992700846,False
region_61,-1.6046242608162458,0.10989157828901941,0.5708301528651416,-0.2071561013020569,False
region_62,-1.8407365626637202,0.06689461229323572,0.4135303305400026,-0.23763806839838908,False
region_63,-1.912229470678335,0.05703735002567409,0.3878539801745838,-0.2468677631354738,False
region_64,0.017583224001882274,0.9859859484617961,0.9983155109382753,0.002269984457730819,False
region_65,-1.179707182705986,0.2392847388742188,0.7074505323237773,-0.15229954240071844,False
region_66,-0.03530572688627776,0.9718653033108419,0.9983155109382753,-0.004557949741876707,False
region_67,0.5636609643729769,0.5735111705165439,0.8666391021138885,0.07276831759745837,False
