Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,-1.9225666713074607,0.055693925283166974,0.19932562732922918,-0.24524152054345283,False
region_1,-3.335084241513683,0.0009849741801493533,0.01147053819683532,-0.42542146534408704,True
region_2,-0.14814576906577417,0.8823495834299208,0.9374964323942908,-0.01889739076932093,False
region_3,0.9241189109719488,0.3563336693857547,0.5635044074007284,0.11788008721465915,False
region_4,-3.3537857824268436,0.0009234980680316066,0.01147053819683532,-0.42780702335801535,True
region_5,-1.864747065582083,0.06341252311985875,0.20442714619094138,-0.23786608423898833,False
region_6,1.6315107954980992,0.10406728582769981,0.2948573098451494,0.20811459713847555,False
region_7,2.582642680864098,0.010385909291704716,0.07062418318359207,0.3294404441354434,False
region_8,0.9943652328449609,0.32102614387503625,0.5457444445875617,0.12684066842405187,False
region_9,0.28308703152974957,0.7773491648707361,0.911818750679195,0.0361104221219414,False
region_10,-1.3669262183437123,0.17290137581315823,0.391909785176492,-0.17436433766395693,False
region_11,0.2825925896726825,0.7777277579322546,0.911818750679195,0.03604735139744736,False
region_12,1.4741133350541777,0.14173481639967425,0.36845752821749256,0.1880370658335692,False
region_13,2.2028033370183264,0.02854019778011225,0.12129584056547706,0.2809883516087299,False
region_14,-0.5445183942969334,0.5865800480298555,0.8135505742851381,-0.06945845934718359,False
region_15,0.9526338132615766,0.34171452876266883,0.5532520941871781,0.12151743207245835,False
region_16,-1.0709770818237796,0.28523362736777824,0.5328463120266054,-0.13661323268182796,False
region_17,2.3935680352686557,0.0174386146638775,0.09121736901105154,0.30532218895394314,False
region_18,-1.1295140656206017,0.2597857049040966,0.515270520086561,-0.14408017732858883,False
region_19,0.050899255546663705,0.9594472715328387,0.9737673800631795,0.006492680337740722,False
region_20,0.6919884319365653,0.4895998660924755,0.7106480461807517,0.08826965419680026,False
region_21,0.2905210358873528,0.7716634232857023,0.911818750679195,0.0370586995260979,False
region_22,0.47033444188600376,0.6385345103217617,0.8350066673438422,0.05999559620662618,False
region_23,2.1018528596216717,0.036587415222733836,0.14634966089093535,0.2681111656334282,False
region_24,-3.738602415916383,0.00023039188067781757,0.01147053819683532,-0.4768940161452189,True
region_25,-3.260121954782052,0.0012716847531526493,0.012353509030625737,-0.4158593183164485,True
region_26,-0.41035208577845605,0.6819063112745308,0.8586968364197796,-0.05234428068288933,False
region_27,1.8457279940378344,0.0661381943558928,0.20442714619094138,0.23544002219679955,False
region_28,-2.312288989063958,0.021591445163808638,0.10130929185194451,-0.29495427964965565,False
region_29,-1.6817914777969698,0.09388342083676773,0.277568374647835,-0.21452837262151336,False
region_30,0.10068813381238924,0.9198803782500662,0.9560221941313624,0.01284372157561658,False
region_31,0.8250181650313076,0.4101638252083346,0.6198031136481501,0.10523885194090644,False
region_32,0.009027980270049104,0.9928041585978659,0.9928041585978659,0.001151604072777074,False
region_33,1.1167089169428714,0.2652127676916123,0.515270520086561,0.14244675978350266,False
region_34,0.3886925559969042,0.6978411627343396,0.8627854375624562,0.04958140327678532,False
region_35,0.18652755752987454,0.8521854274633434,0.9374964323942908,0.0237933500640443,False
region_36,-2.493714636192608,0.01330190153222341,0.07537744201593266,-0.3180968328996567,False
region_37,-2.49878619103445,0.01311782210811424,0.07537744201593266,-0.31874375757566126,False
region_38,0.2315808386058908,0.8170568895839829,0.930784594507968,0.02954032119459024,False
region_39,-3.3678417110531917,0.0008796684121580375,0.01147053819683532,-0.429599989688089,True
region_40,0.6894649432931546,0.49118320838963725,0.7106480461807517,0.08794775940832805,False
region_41,0.16369267037562443,0.8701080406184051,0.9374964323942908,0.020880544734209847,False
region_42,2.298990947864479,0.02234763790851717,0.10130929185194451,0.29325798901241507,False
region_43,2.813365247386888,0.0053002932460930905,0.0438818793159142,0.3588712846270541,True
region_44,-0.412412565488513,0.680397694536958,0.8586968364197796,-0.052607114312892736,False
region_45,-0.2261407150820519,0.8212805245658541,0.930784594507968,-0.02884638210532935,False
region_46,-1.0605670791879913,0.2899310815438882,0.5328463120266054,-0.1352853386153372,False
region_47,-1.2142875924926053,0.22580705077282515,0.46529937735006394,-0.154893840616418,False
region_48,0.5757216799649014,0.5653317431448472,0.8008866361218668,0.07343873287286588,False
region_49,-0.5276800829330507,0.5981989516802486,0.8135505742851381,-0.06731057384397011,False
region_50,1.4573536423708688,0.14629931267459262,0.36845752821749256,0.18589920888492018,False
region_51,1.3038071960693578,0.1935230435683026,0.41123646758264304,0.16631291077260663,False
region_52,-3.327174180615792,0.0010121063114854694,0.01147053819683532,-0.42441246243607816,True
region_53,-1.3808642462465925,0.16857901378383533,0.391909785176492,-0.1761422646442238,False
region_54,-1.5763085207454786,0.11624504882172491,0.31618653279509173,-0.2010730260971012,False
region_55,-0.8778682366052645,0.38087528872875565,0.5886254462171678,-0.1119803772711116,False
region_56,-0.9720481479090154,0.33198529305351954,0.5506097543326666,-0.12399391365321905,False
region_57,-1.8589715491879397,0.06423017538259758,0.20442714619094138,-0.23712936262430426,False
region_58,0.4887122886170491,0.6254825687190002,0.8339767582920002,0.06233986397320045,False
region_59,1.0074154862694862,0.3147290635211814,0.5457444445875617,0.12850535139243574,False
region_60,0.09057551496785624,0.9279038943039694,0.9560221941313624,0.011553761617857051,False
region_61,-1.027636691324957,0.30513424350543195,0.5457444445875617,-0.13108475690748722,False
region_62,-1.4305597897351043,0.15383056717749907,0.37358852028821204,-0.18248140015054554,False
region_63,-1.9646933899059948,0.050579897559939864,0.19107961300421727,-0.2506151810145276,False
region_64,-3.4208267082073576,0.0007312980447880476,0.01147053819683532,-0.4363587260492272,True
region_65,-2.7828658393244963,0.005807895791812174,0.0438818793159142,-0.35498079733185434,True
region_66,-0.15307835440722317,0.8784624858918738,0.9374964323942908,-0.01952658857421403,False
region_67,1.345820489036709,0.17960447595214257,0.3939711085401837,0.17167210273412326,False
