Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,-0.5789603188796212,0.5631589142961226,0.8509956927141409,-0.07474345577119029,False
region_1,-1.8283307140120422,0.0687411638158317,0.6059522029089104,-0.23603648022427182,False
region_2,-0.8257871699815249,0.409744947089302,0.8352245885254058,-0.10660866522833996,False
region_3,-0.05928270858214654,0.9527762655169795,0.9938746432566816,-0.00765336476855737,False
region_4,-3.1164813654987045,0.0020532319806732626,0.13961977468578185,-0.4023360142447411,False
region_5,-1.7925900049660555,0.07429785011810337,0.6059522029089104,-0.23142237452704684,False
region_6,0.3571637442278631,0.7212830789115217,0.9816721120474579,0.046109641108786646,False
region_7,0.10875864210479373,0.9134848024191904,0.9938746432566816,0.014040680320933295,False
region_8,1.208831347861608,0.22791723085016044,0.8352245885254058,0.15605945595471574,False
region_9,-1.665944345752391,0.09702913285980475,0.6059522029089104,-0.21507249022691402,False
region_10,0.6351884738457526,0.5259106183518019,0.8509956927141409,0.08200247936358351,False
region_11,1.204621213635892,0.22953612466034537,0.8352245885254058,0.15551592996333255,False
region_12,-1.1216907663670352,0.2631149521117734,0.8352245885254058,-0.1448096552578054,False
region_13,-0.0795326354566064,0.936675249626991,0.9938746432566816,-0.010267619086780736,False
region_14,0.31809374288777326,0.7506904386245266,0.9816721120474579,0.04106572562457099,False
region_15,-0.9164648674664592,0.3603430923276181,0.8352245885254058,-0.11831510563605946,False
region_16,-0.8390234621946373,0.4022910600772378,0.8352245885254058,-0.10831746320523727,False
region_17,-0.8949747917533728,0.37169724983100194,0.8352245885254058,-0.11554074879120879,False
region_18,-1.8114468938274506,0.07132176345174174,0.6059522029089104,-0.23385678841109567,False
region_19,-0.12658813187821943,0.8993723786865409,0.9938746432566816,-0.016342457553061737,False
region_20,0.8467484161298593,0.3979788929172202,0.8352245885254058,0.10931475046994843,False
region_21,-0.5372223582141086,0.5916117459798149,0.8745564940571177,-0.06935510821911725,False
region_22,-0.25660448814565434,0.7977039417247326,0.9859860000551847,-0.033127496971673255,False
region_23,-0.7697963293030978,0.4421777233369796,0.8352245885254058,-0.09938027877874994,False
region_24,1.023453731095541,0.30712384607221815,0.8352245885254058,0.13212730853822913,False
region_25,-1.4775539712557144,0.14083825806429115,0.6840715391694142,-0.19075139745986713,False
region_26,-0.7049850203526569,0.48150315974073943,0.8509956927141409,-0.0910131747717179,False
region_27,0.808985074389505,0.4193249784945332,0.8352245885254058,0.10443952401469736,False
region_28,-0.15675429207890038,0.8755702813385847,0.9923129855170627,-0.020236892088937142,False
region_29,-0.6592978063469734,0.5103366511548235,0.8509956927141409,-0.0851149808057637,False
region_30,0.2248583477267396,0.8222808036585306,0.9859860000551847,0.029029087866712627,False
region_31,-0.9120475714888918,0.3626588805497115,0.8352245885254058,-0.11774483517751322,False
region_32,-0.7876952916193503,0.43165220480118993,0.8352245885254058,-0.10169102487759127,False
region_33,0.9255641659902403,0.3556022557615207,0.8352245885254058,0.1194898200242186,False
region_34,-0.16959670496736376,0.8654701783705216,0.9923129855170627,-0.021894840463675083,False
region_35,-0.630723784227639,0.5288212860577235,0.8509956927141409,-0.08142609041235219,False
region_36,-0.3269699647357551,0.7439755903831606,0.9816721120474579,-0.04221164093772021,False
region_37,-1.9727995737350692,0.04966613813145183,0.6059522029089104,-0.2546873298160338,False
region_38,0.9601249471769662,0.3379586042287256,0.8352245885254058,0.12395159768982217,False
region_39,-1.5198588729183395,0.12986273655359976,0.6792820065880603,-0.19621293677994345,False
region_40,-0.004760261249132968,0.996205829756414,0.996205829756414,-0.0006145470847162832,False
region_41,-0.5044506188797587,0.6144075707660959,0.8889301023849898,-0.065124294863511,False
region_42,0.5896272711315229,0.5559952244459834,0.8509956927141409,0.07612055338540377,False
region_43,0.6793826371260339,0.49755014042889056,0.8509956927141409,0.08770792130972019,False
region_44,-0.7916262982933695,0.4293602911372141,0.8352245885254058,-0.1021985156570015,False
region_45,-0.030302640424015502,0.9758508745689418,0.9938746432566816,-0.003912054056944123,False
region_46,-0.28900144539102457,0.772829746860488,0.9859860000551847,-0.03730992616764368,False
region_47,-1.6182008855321173,0.10693274168980772,0.6059522029089104,-0.20890883601613286,False
region_48,0.6312154694841743,0.5285003375749526,0.8509956927141409,0.08148956670602342,False
region_49,-0.6130875117538994,0.540399022817537,0.8509956927141409,-0.0791492574263532,False
region_50,0.2122835358882736,0.8320660196337499,0.9859860000551847,0.02740568663897694,False
region_51,1.877317228092099,0.06168760023927258,0.6059522029089104,0.24236061199829897,False
region_52,-2.383259664084877,0.017938996586176814,0.6059522029089104,-0.30767749962295377,False
region_53,-1.0581740503078307,0.2910399765762509,0.8352245885254058,-0.13660968247436928,False
region_54,-1.7555979661123449,0.08043279648060504,0.6059522029089104,-0.2266467228462908,False
region_55,-1.3994332196964576,0.16297426764444017,0.7388166799881288,-0.1806660518004602,False
region_56,0.20552133255634153,0.8373390482640275,0.9859860000551847,0.026532689942702227,False
region_57,-1.2653684795857967,0.20696637690856756,0.8352245885254058,-0.163358368275053,False
region_58,-0.38042956235265335,0.7039630561908656,0.9816721120474579,-0.04911324531322675,False
region_59,-1.0310218391513697,0.30356845717667447,0.8352245885254058,-0.13310434708697988,False
region_60,0.02602523161384972,0.9792588396793775,0.9938746432566816,0.0033598429540543586,False
region_61,-1.0497618932841348,0.29488351550022657,0.8352245885254058,-0.1355236776724207,False
region_62,-1.8304302724519994,0.06842572379826202,0.6059522029089104,-0.23630753205334998,False
region_63,-1.6316902206145252,0.1040561865095468,0.6059522029089104,-0.2106503016869854,False
region_64,0.3459341315837359,0.7296952686707099,0.9816721120474579,0.04465990435028448,False
region_65,-1.1283527369596813,0.2602976526518351,0.8352245885254058,-0.14566971196308012,False
region_66,-0.20084732843563993,0.8409880588705987,0.9859860000551847,-0.025929278605382827,False
region_67,0.034870135129084344,0.97221227885481,0.9938746432566816,0.00450171508783153,False
