Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,-2.143736956454151,0.033038743792175654,0.11233172889339722,-0.2734538774088284,False
region_1,-2.603688399932439,0.009785708416497204,0.047530583737272133,-0.3321250241930703,True
region_2,0.8812195626757027,0.3790626591192727,0.5568965934603879,0.11240787053499529,False
region_3,1.069551885814058,0.2858736620268051,0.4628430718529225,0.13643143548243156,False
region_4,-3.9782008905235897,9.148253763238253e-05,0.003813154085658095,-0.5074570624673542,True
region_5,-2.069611597083865,0.03953717380722544,0.12802513423292047,-0.2639984883634976,False
region_6,0.576010812666062,0.565136606740474,0.7390247934298506,0.07347561447719705,False
region_7,2.9204014134027947,0.0038217769574689395,0.02825725378356905,0.37252475761118264,True
region_8,1.5447981505247743,0.12368576705548648,0.2403037759935166,0.197053581039023,False
region_9,0.3347814295895513,0.7380764076919042,0.8781006238135962,0.04270453039031305,False
region_10,-1.817633358024328,0.07034161293728074,0.17154917320372104,-0.2318562862682132,False
region_11,0.13473647018687737,0.8929308599365678,0.9598919423494291,0.017186908165226954,False
region_12,2.7620887882619023,0.006178525697201903,0.035011645617477445,0.35233048841355075,True
region_13,2.820845402006218,0.0051821209579629105,0.032034929558316175,0.3598254489325744,True
region_14,-0.13478711132066654,0.8928908617021434,0.9598919423494291,-0.017193367919698856,False
region_15,1.8157059294420934,0.07063789484859101,0.17154917320372104,0.23161042456505332,False
region_16,0.01639902785680196,0.9869294018120625,0.9987686472306236,0.002091850746742395,False
region_17,2.893296789238398,0.004155478497583684,0.02825725378356905,0.3690673070358458,True
region_18,-0.38470510025135063,0.7007896456771892,0.8664308346554338,-0.049072765670228724,False
region_19,0.9521621443523368,0.3419531611691333,0.537745189909032,0.12145726625234851,False
region_20,0.9403724547366034,0.34795276994113833,0.537745189909032,0.11995338009263914,False
region_21,1.2307769680603533,0.21958657214245347,0.4035645109645091,0.1569972160662257,False
region_22,0.28850116614032495,0.7732070720114819,0.8911539135047587,0.03680104608008037,False
region_23,2.5328921948716197,0.011937694399852577,0.05411754794599835,0.32309430019429525,False
region_24,-3.636748261437146,0.00033655173284628917,0.007628505944515887,-0.46390155763080565,True
region_25,-1.9410190841432375,0.05340285473524584,0.157886700956379,-0.2475952999203022,False
region_26,-0.3265099274076489,0.7443173281251452,0.8781006238135962,-0.04164942223591613,False
region_27,2.457556422245427,0.01468223273698683,0.06071920502826245,0.3134845115165383,False
region_28,-2.9241497210079057,0.003777608837835968,0.02825725378356905,-0.37300288961578926,True
region_29,-1.7233703974213175,0.0860831953687325,0.18292679015855656,-0.21983215616431998,False
region_30,-0.26046051897815153,0.7947273402437222,0.9006909856095519,-0.03322419693892821,False
region_31,1.9161094123481393,0.056514883456036745,0.16012550312543744,0.24441783623155852,False
region_32,-0.0015448480173939586,0.9987686472306236,0.9987686472306236,-0.00019705994202873843,False
region_33,1.2080289726898934,0.22820089071870564,0.40835948865452587,0.15409549460333713,False
region_34,1.7862777603225852,0.07529084021555872,0.1765440391261377,0.22785658390538446,False
region_35,0.6394924770382032,0.5231000907223194,0.734534730551459,0.08157329979006353,False
region_36,-2.7147253025009843,0.007104734649385883,0.0371632273967877,-0.34628882887601875,True
region_37,-2.2604743700585286,0.02467008510255093,0.09319809927630351,-0.28834483606524697,False
region_38,0.8704367376205595,0.38491382195056223,0.5568965934603879,0.11103241945090933,False
region_39,-3.017135777298074,0.0028207970071357754,0.027402028069318962,-0.38486413852552503,True
region_40,0.8915206269529058,0.3735246433803818,0.5568965934603879,0.11372186848589035,False
region_41,0.07824686605448353,0.9376955498613557,0.9661105665238211,0.009981126114035616,False
region_42,2.1921908355269397,0.02930699681804972,0.1048881991382832,0.279634626902399,False
region_43,3.9263442026427304,0.00011215159075464985,0.003813154085658095,0.5008422526009163,True
region_44,0.5972364921549851,0.5509010479135943,0.734534730551459,0.07618315018460192,False
region_45,-0.12145815928500746,0.9034277104465215,0.9598919423494291,-0.015493134313624327,False
region_46,-1.1648304539003884,0.2452205431360487,0.42756402392952086,-0.1485851159042419,False
region_47,-1.1471650576980363,0.252432431746555,0.4291351339691435,-0.14633172792538904,False
region_48,1.1169047178327323,0.26512919633395404,0.43972647196850917,0.14247173603461,False
region_49,0.08888639510201711,0.9292448110780809,0.9661105665238211,0.011338298440189028,False
region_50,1.7525418035156282,0.08093158306957804,0.17807475858180746,0.2235532442772716,False
region_51,1.8262165868927585,0.0690346394607361,0.17154917320372104,0.23295115810297504,False
region_52,-3.448842311898209,0.0006626422839660466,0.011264918827422792,-0.43993238065929835,True
region_53,-2.4452598798529097,0.015179801257065613,0.06071920502826245,-0.31191597150241374,False
region_54,-1.6179622282317685,0.10695740756640451,0.21391481513280902,-0.2063863495374077,False
region_55,0.6120208764827135,0.5410914940645504,0.734534730551459,0.07806903791320027,False
region_56,-0.3203604271099015,0.7489681791351261,0.8781006238135962,-0.04086499544536099,False
region_57,-2.0044597553358505,0.04612138533645034,0.1425570092217556,-0.25568775616630235,False
region_58,0.6035198490985595,0.5467212538778493,0.734534730551459,0.07698465165342303,False
region_59,1.7510942573949928,0.08118113994170634,0.17807475858180746,0.2233685961103293,False
region_60,0.4449150859892386,0.6567739303702298,0.8270486530588079,0.05675311750126172,False
region_61,-0.46869323241362537,0.6397056763541796,0.8207544526808342,-0.0597862444517335,False
region_62,-1.8824784492873852,0.06095614753817493,0.1658007213038358,-0.2401278895465101,False
region_63,-1.3784460645484462,0.1693230159189378,0.3198323634024381,-0.17583380275031174,False
region_64,-3.151493211793086,0.0018266122559897028,0.020701605567883297,-0.40200269711161873,True
region_65,-3.2685571246762386,0.0012359276595499235,0.01680861616987896,-0.41693530383193966,True
region_66,0.16031185951172175,0.8727675140254825,0.9598919423494291,0.020449290406696997,False
region_67,1.6197898346293835,0.10656385684462454,0.21391481513280902,0.20661947797898272,False
