Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,-0.0005382909324476273,0.9995709476343999,0.9995709476343999,-6.898805786890624e-05,False
region_1,-2.581393106142266,0.010427410173188352,0.07090638917768079,-0.3308346588324984,False
region_2,-1.9390866186019937,0.05364848134302538,0.17484238416166967,-0.2485158337121933,False
region_3,0.41611891971810483,0.6776902580455767,0.8482973019046579,0.05333033566686062,False
region_4,-2.3989057836463714,0.017198576396373413,0.09745859957944934,-0.3074468489962007,False
region_5,-3.3417262918060544,0.0009638348780777754,0.013144208400201059,-0.42827993730619207,True
region_6,-1.9586804246167369,0.0512940532283036,0.17484238416166967,-0.2510270010786411,False
region_7,0.24219080909396948,0.8088365912432531,0.8791651679137349,0.0310394854268098,False
region_8,0.9034660977438547,0.3671733190543498,0.7227796574337699,0.11578937648148499,False
region_9,-2.19607908941943,0.0290317585007142,0.13161063853657104,-0.28145231913283797,False
region_10,-0.5777831681414568,0.563945516256712,0.8159211724565194,-0.074049433562214,False
region_11,0.2770052589510917,0.7820115563536543,0.8717505874106309,0.03550135007404861,False
region_12,0.8379803624482133,0.4028652006453871,0.7227796574337699,0.10739664046488283,False
region_13,-0.6109962446629219,0.5417731623723103,0.8008820661155891,-0.0783060641442091,False
region_14,-1.6665642203118618,0.09688947651034212,0.28645584359579407,-0.2135890128231159,False
region_15,-0.06931559178502743,0.944795420764766,0.9588968449552848,-0.008883575347515648,False
region_16,-1.9679709774266412,0.0502084654813821,0.17484238416166967,-0.2522176902696506,False
region_17,-1.3592519552459719,0.17532685652715274,0.41111124978780644,-0.1742034778861086,False
region_18,-0.8775847371650025,0.38103593973360983,0.7227796574337699,-0.11247238803952643,False
region_19,-1.9527218197446015,0.052000662413520596,0.17484238416166967,-0.25026333861851446,False
region_20,-0.705489940121103,0.4811811228041075,0.7609375895506817,-0.09041649762462085,False
region_21,-0.3825676624464074,0.7023747527148757,0.8482973019046579,-0.049030363405188494,False
region_22,-1.0230585234811251,0.30729756434465577,0.6332192234980786,-0.13111649549857607,False
region_23,-0.370849471585732,0.7110727383612574,0.8482973019046579,-0.047528545000893124,False
region_24,-2.7085493138246277,0.00723831505124896,0.06152567793561616,-0.34713116186682164,False
region_25,-2.1196328839082117,0.03505123353688889,0.14896774253177777,-0.27165487516385683,False
region_26,-1.9195316501747854,0.056088106666321046,0.17484238416166967,-0.24600964382088925,False
region_27,0.23485291823399668,0.8145206702730191,0.8791651679137349,0.030099051901426623,False
region_28,-1.5161406745202324,0.13078353596546843,0.3323562422178165,-0.19431053782683005,False
region_29,-3.7288610413302963,0.00023939257710193577,0.005426231747643877,-0.47789562446221046,True
region_30,-0.21121162510089728,0.8328991617627302,0.8849553593729008,-0.027069153382895065,False
region_31,0.532244090678162,0.5950432526143399,0.8429779412036481,0.06821308685459034,False
region_32,-0.4117661374322127,0.6808738113818362,0.8482973019046579,-0.05277247749365223,False
region_33,0.7589807181510906,0.44859966407891505,0.7263042180325291,0.09727194449868583,False
region_34,-0.6818696218686241,0.4959707802136677,0.76650029669385,-0.08738928727375259,False
region_35,-0.6215397301507674,0.5348272076112695,0.8008820661155891,-0.07965733079785317,False
region_36,-0.7651620642852197,0.44491753275319723,0.7263042180325291,-0.09806415376528077,False
region_37,-3.125801336075319,0.001988967486288454,0.019321398438230695,-0.400606717410848,True
region_38,0.873434812792121,0.3832884372338641,0.7227796574337699,0.11194052839722086,False
region_39,-3.829517400104438,0.0001634484563553409,0.005426231747643877,-0.4907958727952242,True
region_40,-0.48557975211679344,0.6277026809983324,0.8482973019046579,-0.06223252523812811,False
region_41,-2.3330261204044604,0.02046364711273711,0.10704061566662489,-0.29900362666761493,False
region_42,0.4508878471991908,0.6524724551884187,0.8482973019046579,0.057786366107868165,False
region_43,-1.4078744063087725,0.16044624548203018,0.38965516759921615,-0.1804349937178841,False
region_44,0.783571259712646,0.43405478063295344,0.7263042180325291,0.10042349991605555,False
region_45,-1.1832441124102526,0.23786871312729935,0.5217765320211728,-0.15164608649235084,False
region_46,-1.5653233719831365,0.11880840974804364,0.3323562422178165,-0.20061385555743266,False
region_47,-0.3052204941053456,0.7604595012200026,0.8717505874106309,-0.039117450881757915,False
region_48,0.40357515768221186,0.6868800572440259,0.8482973019046579,0.05172271099948771,False
region_49,-1.9157797760891413,0.056566653699363714,0.17484238416166967,-0.24552879881508485,False
region_50,1.1263186840060637,0.2611417293999103,0.5549261749748094,0.14435045041112718,False
