Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,-2.5438440029386378,0.011579357562616613,0.06561635952149414,-0.324491306656094,False
region_1,-3.3718840829418615,0.0008674273092495189,0.0084264367184239,-0.43011563236689676,True
region_2,-0.7287912671693443,0.46682541804034017,0.7054250761498474,-0.09296420310763669,False
region_3,1.290790105177242,0.197993178306016,0.4487845374936363,0.16465245799815803,False
region_4,-3.4168892238488366,0.0007414637968867985,0.008403256364717048,-0.43585646276462386,True
region_5,-2.2407758320611912,0.02593718872597193,0.1102330520853807,-0.28583210166542256,False
region_6,-0.16066157901754777,0.872492343834882,0.9465900232648449,-0.020493900429669122,False
region_7,2.034407619563743,0.042987626374221516,0.15385045228668753,0.25950788884096393,False
region_8,0.43734385280060034,0.6622472554973919,0.8487190751685773,0.05578733526479551,False
region_9,-0.03776709047888717,0.9699041385012924,0.9699041385012924,-0.004817548766330009,False
region_10,-2.1197694473247526,0.03503128531694417,0.13234041119734463,-0.27039659545847844,False
region_11,-0.061365533389862316,0.9511181308992118,0.9653139238977074,-0.007827752837957697,False
region_12,1.5806600519140441,0.11524590462034072,0.34072702235578994,0.20162810495933148,False
region_13,1.6438453042283812,0.10149074404226754,0.3136986634033724,0.20968798011723785,False
region_14,-1.2336811862900876,0.21850392174096106,0.45025050540561673,-0.15736767650605307,False
region_15,0.2520929984220607,0.801180530442327,0.9465900232648449,0.03215684073486024,False
region_16,-0.9663848663175099,0.3348045858603116,0.583761842012851,-0.12327150864667535,False
region_17,1.4803264598151342,0.14007092096796533,0.3527712083637646,0.1888296085247763,False
region_18,0.23855334642324733,0.8116513548772429,0.9465900232648449,0.030429730360289946,False
region_19,0.42119386010143156,0.6739827949868114,0.8487190751685773,0.053727251302341135,False
region_20,-0.07896165138223668,0.9371275798659063,0.9653139238977074,-0.01007230372740864,False
region_21,-0.15495062956038433,0.8769878156718416,0.9465900232648449,-0.01976541493705986,False
region_22,-1.338077968229654,0.18211159682240166,0.42702029599735564,-0.17068447114563315,False
region_23,1.0972941147367903,0.27359013847654085,0.5167813726779105,0.13997021856122516,False
region_24,-3.857342083317183,0.00014659301688056456,0.008276129207489637,-0.49204038116692855,True
region_25,-2.4435956196106643,0.015248279325819408,0.07406307101112285,-0.3117036794043141,False
region_26,-1.153609507693869,0.24978444448502607,0.49956888897005214,-0.14715377833312315,False
region_27,1.2501127151474714,0.21245111666843663,0.45025050540561673,0.15946367306210385,False
