Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,-0.20280186870644434,0.8394595996289196,0.9357910290945333,-0.025991348192742857,False
region_1,-2.1820137437172784,0.030066877343371278,0.1317647655124424,-0.27964968634682014,False
region_2,-2.237938447431306,0.02613172703672987,0.1317647655124424,-0.2868170682653334,False
region_3,0.8669869025654281,0.3868044761881241,0.641529375141279,0.11111415593385805,False
region_4,-2.3109352791530204,0.021674265677653615,0.12282083884003715,-0.2961724360553238,False
region_5,-3.1481106466986866,0.0018487730899302169,0.02095276168587579,-0.4034659073386851,True
region_6,-2.6981619630700875,0.007461174084463966,0.05073598377435497,-0.3457999056413072,False
region_7,-0.1795167398923547,0.8576815723923816,0.938081911917443,-0.023007096151180472,False
region_8,0.8715676421090479,0.384304571949478,0.641529375141279,0.11170122940225309,False
region_9,-1.783351009031012,0.07577724290507697,0.2336116616573477,-0.22855655779335257,False
region_10,0.16475141838073606,0.8692766093276267,0.938081911917443,0.02111475356561099,False
region_11,0.027877943165384195,0.9777823815903454,0.9777823815903454,0.0035728730328310416,False
region_12,0.14563934198880438,0.8843268439410735,0.938081911917443,0.018665325286880276,False
region_13,-0.9279069821253263,0.35437656244824567,0.6267483763758875,-0.11892175164227274,False
region_14,-2.145042512747412,0.0329411913781106,0.1317647655124424,-0.2749114058596563,False
region_15,-0.12122314776382469,0.903614469135692,0.938081911917443,-0.015536114448287452,False
region_16,-3.022656694023869,0.002773931392349123,0.023578416834967548,-0.3873875674943567,True
region_17,-1.1972034845195545,0.23239384428829504,0.49383691911262695,-0.15343513756648133,False
region_18,-1.0276147256973551,0.30515289148654956,0.5896914341681625,-0.13170042423155034,False
region_19,-1.8582182483203307,0.06434734365809391,0.2187809684375193,-0.23815163942159315,False
region_20,-0.8299070378391228,0.40740590007521005,0.6442697954677741,-0.1063619528048216,False
region_21,-0.6026691591603933,0.5472908055742187,0.789091680085059,-0.07723885416183834,False
region_22,-1.4240634415190638,0.15571094301388494,0.39937502415335485,-0.18250980128124203,False
region_23,-0.9181349230155799,0.35945862762734726,0.6267483763758875,-0.11766935198490501,False
region_24,-2.7416989011940887,0.006566722125758635,0.04961523383906524,-0.3513796555974813,True
region_25,-2.0731658265349755,0.03921096367644176,0.14813030722211332,-0.26569959735806825,False
region_26,-2.1576447210354397,0.031935913325469294,0.1317647655124424,-0.27652652107383463,False
region_27,0.3632116551995117,0.7167625396487222,0.8805484865527452,0.04654967263451547,False
region_28,-1.763838738062801,0.07901570908998526,0.2336116616573477,-0.22605584006328064,False
region_29,-3.046479976174393,0.0025707744175223405,0.023578416834967548,-0.39044078995930603,True
region_30,0.09513425898037989,0.924286589683363,0.938081911917443,0.012192528924853318,False
region_31,0.8456161066187496,0.39859881473354153,0.6442697954677741,0.10837524725343461,False
region_32,-0.31069769058803653,0.7562967890113744,0.8866927871167839,-0.039819415423848765,False
region_33,0.588108121204259,0.5570058918247476,0.789091680085059,0.07537269281934376,False
region_34,-1.61780304868826,0.10700232431529891,0.30317325222668023,-0.20733971838594467,False
region_35,-0.23245814527842354,0.816377854220509,0.9252282347832436,-0.02979213472098899,False
region_36,-0.33474419402975214,0.7381068196103894,0.8805484865527452,-0.04290124621642547,False
region_37,-3.438463158158179,0.000688227380689924,0.009794265019039357,-0.44067785845194035,True
region_38,0.5528143332824013,0.5808987259591802,0.8061451707188624,0.07084939558954523,False
region_39,-3.827073159176999,0.00016498563432413367,0.005609511567020545,-0.4904826157359217,True
region_40,-0.6367895822745003,0.5248613308379582,0.7758819673256773,-0.08161177144952944,False
region_41,-1.8585646090295207,0.06429799300043981,0.2187809684375193,-0.23819602945532545,False
region_42,-0.3493048268265003,0.7271629813882892,0.8805484865527452,-0.04476735563317232,False
region_43,-1.4142264494721748,0.15857537723736148,0.39937502415335485,-0.1812490797351796,False
