Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,-2.231193005387473,0.02657381442788779,0.15058494842469747,-0.2846097216982463,False
region_1,-3.211148375498979,0.0014989852315239432,0.016668066119179033,-0.40961227615708956,True
region_2,-1.098667951533955,0.27299141870167665,0.6302949780336382,-0.14014546440842696,False
region_3,0.451235465094932,0.6522189923853661,0.8870178296440978,0.0575593414962076,False
region_4,-2.749344891127919,0.006416329344485122,0.04363103954249883,-0.3507048840808478,True
region_5,-1.6473545984994924,0.10076710567853638,0.341603600615365,-0.21013562371572825,False
region_6,-0.7636458822890464,0.44581304775227837,0.6590279836338028,-0.0974102381593624,False
region_7,1.6185254874334352,0.10683599385955378,0.341603600615365,0.20645819856357583,False
region_8,0.7860482706009633,0.43259878163011434,0.6590279836338028,0.10026787418073539,False
region_9,0.2417207909294274,0.8091987129640186,0.9335951413640321,0.030833767795519357,False
region_10,-1.8150920761435436,0.07073247155172241,0.26721155919539574,-0.23153212178441446,False
region_11,-0.6169458510985681,0.5378433389764429,0.7619447302166273,-0.0786972648982279,False
region_12,1.0065430121146723,0.3151474890168191,0.6302949780336382,0.12839405908119644,False
region_13,1.4301034570142404,0.1539613549026913,0.4187748853353203,0.18242319060597756,False
region_14,-1.0140711485186582,0.31154920508088374,0.6302949780336382,-0.12935434391611272,False
region_15,0.24148844921250873,0.8093785579717558,0.9335951413640321,0.030804130417116216,False
region_16,-0.599020281595019,0.5497128351908335,0.7628667916934015,-0.07641068935977433,False
region_17,0.8722854203205213,0.38390673054071656,0.6395834396573342,0.11126823637372776,False
region_18,-0.056554145074487375,0.954946457301928,0.9838842287353197,-0.007214014857373069,False
region_19,-0.2580381373350553,0.7965940951443169,0.9335951413640321,-0.032915199302406474,False
region_20,0.2005393365073207,0.841225166708721,0.9396778135163978,0.025580684689797913,False
region_21,-0.33271463827142733,0.7396342113403646,0.9335951413640321,-0.04244089165514344,False
region_22,-1.5103913531649376,0.13223222550515845,0.3746579722646156,-0.19266466936824148,False
region_23,0.87493645210805,0.3824653850288767,0.6395834396573342,0.1116064004937478,False
region_24,-4.423286387426548,1.4628698242840772e-05,0.0009947514805131725,-0.564231917488683,True
region_25,-1.6927047844122909,0.0917828546257286,0.3284860060289234,-0.2159204678598429,False
region_26,-1.0767324207819169,0.2826589114667428,0.6302949780336382,-0.1373473804741522,False
region_27,1.0205561169738966,0.30847146996517,0.6302949780336382,0.13018156283568205,False
region_28,-1.8701021139094534,0.06266214673233494,0.2506485869293398,-0.23854917118415775,False
region_29,-1.6016624246433817,0.11051881196379455,0.341603600615365,-0.20430715578239625,False
region_30,-0.240645567836451,0.8100310785364396,0.9335951413640321,-0.030696612944049042,False
region_31,0.8520168087952816,0.39503683037658877,0.6395834396573342,0.10868278371612293,False
region_32,0.35277694766330214,0.7245589758609817,0.9335951413640321,0.0450000285289407,False
region_33,0.0024298602251473294,0.9980632312548321,0.9980632312548321,0.00030995160023133977,False
region_34,0.7729563499243678,0.440293286769598,0.6590279836338028,0.09859787616117172,False
region_35,0.26634924474196336,0.7901942730367755,0.9335951413640321,0.033975359476973506,False
region_36,-2.002477712732394,0.046335447387683235,0.2055105008328519,-0.25543492792938965,False
region_37,-2.987018888229609,0.003103083491225002,0.02344551971147779,-0.3810224451375053,True
region_38,-0.8537337899941874,0.39408644312353336,0.6395834396573342,-0.10890180086972719,False
region_39,-3.182203009230286,0.0016504776318819003,0.016668066119179033,-0.40592002155684,True
region_40,0.1455419721728109,0.8844026480154332,0.9396778135163978,0.01856525190581802,False
region_41,-0.1963384976454815,0.8445079905886592,0.9396778135163978,-0.025044828053245035,False
region_42,0.9216395598936347,0.3576232736033961,0.6395834396573342,0.11756382258910351,False
region_43,3.6399056922672126,0.0003326621586149279,0.007540342261938365,0.46430431772715636,True
region_44,0.14852907927357498,0.8820474144389441,0.9396778135163978,0.018946285603296687,False
region_45,-0.3359776730347035,0.7371752562376666,0.9335951413640321,-0.04285712252966901,False
region_46,-0.8326754787332369,0.40583872275922095,0.6417914685494657,-0.1062156145591111,False
region_47,-0.02778215562793011,0.977858514670011,0.992453417874041,-0.00354387610679579,False
region_48,-0.3149939416332429,0.7530343651370113,0.9335951413640321,-0.04018044958387724,False
region_49,0.15547959820285764,0.8765712588223098,0.9396778135163978,0.01983288987883223,False
region_50,0.6189516719487076,0.5365232737892132,0.7619447302166273,0.0789531262748799,False
region_51,1.4077155141576534,0.1604828363742186,0.4197243412864179,0.1795673972387413,False
