Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,-0.8759959623653668,0.38190813121336253,0.7213820256252403,-0.11309059245286683,False
region_1,-2.116878133773348,0.0352995673620141,0.32134764544915184,-0.27328779193516045,False
region_2,-1.5760051879631096,0.11634181578744869,0.39556217367732555,-0.2034613948839204,False
region_3,-1.271102251672887,0.2049228563029057,0.5359520857152918,-0.164098595068528,False
region_4,-2.428432596814679,0.015900031640492918,0.21624043031070367,-0.31350930016168277,False
region_5,-1.950679124340733,0.05225916664475487,0.32134764544915184,-0.25183159207887085,False
region_6,-0.22756731126683677,0.8201763775350098,0.9615860977996668,-0.029378813555921944,False
region_7,0.42425117094935477,0.6717626794259388,0.8780412810105468,0.05477059065652823,False
region_8,1.5997281379645556,0.11097445786723295,0.39556217367732555,0.20652401455987082,False
region_9,-1.7292246999772867,0.08505473172714668,0.32134764544915184,-0.2232419488287516,False
region_10,-0.5318152577903522,0.5953458728007175,0.8780412810105468,-0.06865705455603462,False
region_11,0.30428352289060007,0.7611755633897948,0.9480320354185438,0.039282833889353906,False
region_12,-0.6761807413476485,0.49957698303791553,0.7901796182583299,-0.08729455834218758,False
region_13,-0.4419204358617926,0.658944717552755,0.8780412810105468,-0.057051682948048174,False
region_14,-0.785135345471123,0.43314857084492164,0.7751079688803861,-0.10136053725094887,False
region_15,-1.4304689140337958,0.15388312458507677,0.4718369996560781,-0.18467274271067666,False
region_16,-0.6760301692443628,0.4996724056633557,0.7901796182583299,-0.08727511956723995,False
region_17,-0.7454286671092922,0.45674202474908854,0.7901796182583299,-0.09623442711666272,False
region_18,-0.9750514058663853,0.33051650910296937,0.70234758184381,-0.12587859522055464,False
region_19,-0.4481143616759587,0.6544749206117315,0.8780412810105468,-0.05785131533224516,False
region_20,0.005552417462641139,0.9955744470289714,0.9955744470289714,0.0007168140121333457,False
region_21,-1.1011031485595693,0.27195486160305704,0.6164310196335959,-0.14215180522759208,False
