Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,-1.0841298724287702,0.2793950995643986,0.6766683976195568,-0.13996056470141996,False
region_1,-1.5478545337668743,0.12297492554699165,0.6229207601150323,-0.19982716105435835,False
region_2,-1.3460709859847484,0.17954968791431805,0.6766683976195568,-0.17377701705106424,False
region_3,-0.8814582952154246,0.37895172135615796,0.8148882940714591,-0.11379577659152401,False
region_4,-2.4035832570467797,0.01699473386354472,0.2607784742749114,-0.3103012641921719,False
region_5,-1.0635994220809564,0.28857916957304625,0.6766683976195568,-0.13731009495851254,False
region_6,0.20016005194347072,0.8415249099363025,0.9963309820956615,0.025840551591769116,False
region_7,0.4945072155937141,0.6214003561247443,0.9820117288782952,0.06384060701912851,False
region_8,1.731106051025482,0.08471801698050621,0.48006876288953515,0.22348483020468599,False
region_9,-1.7479311265454975,0.0817547502268351,0.48006876288953515,-0.22565693811427603,False
region_10,-0.25321147731462773,0.8003215583442708,0.9963309820956615,-0.03268946115693768,False
region_11,0.621768084187327,0.5346845523826499,0.9062345849774293,0.08026991450869361,False
region_12,-0.2797550456251354,0.7799063982391129,0.9963309820956615,-0.03611622109078817,False
region_13,-0.09498287985815734,0.9244076803566472,0.9977733692738414,-0.012262237062182109,False
region_14,0.33389078260087246,0.7387535299868383,0.9963309820956615,0.04310511468217801,False
region_15,-1.08249003751312,0.2801212292576272,0.6766683976195568,-0.13974886292412517,False
region_16,0.11520329875977554,0.908380311109637,0.9963309820956615,0.014872681917492274,False
region_17,0.0004012473168646813,0.9996801842834144,0.9996801842834144,5.180080586424403e-05,False
region_18,-0.3902768497005752,0.6966780032981188,0.9820117288782952,-0.05038452464335409,False
region_19,0.14479318101111985,0.8849956853631691,0.9963309820956615,0.018692719290015435,False
region_20,0.04311538333492238,0.9656454055114017,0.9996801842834144,0.005566172054050105,False
region_21,-0.6375444589891516,0.5243780080794866,0.9062345849774293,-0.08230663573772672,False
region_22,0.556905690457066,0.5781108172009473,0.9359889421348669,0.07189621548494529,False
region_23,-0.44662537071068975,0.6555483092703185,0.9820117288782952,-0.057659087425207166,False
region_24,0.7165272404445309,0.47436251645350846,0.9062345849774293,0.09250326897818752,False
region_25,-1.0797476200149885,0.28133847076049495,0.6766683976195568,-0.1393948183475048,False
