Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,-1.406607383581503,0.16082142184049955,0.26672821183302364,-0.180272610456415,False
region_1,-2.647934696886638,0.008628585579378168,0.045134139953670424,-0.3393627146406992,True
region_2,-1.5069313735615146,0.1331271298298154,0.2382274954849328,-0.1931302619775169,False
region_3,-0.34195752518742545,0.7326784105085578,0.7784708111653427,-0.04382571601024198,False
region_4,-1.4441625589099891,0.1499813363748906,0.254968271837314,-0.1850857300032329,False
region_5,-2.3470993676917,0.019723720501666955,0.07889488200666782,-0.30080727213093506,False
region_6,-3.2527529665798514,0.0013050810339353233,0.012677930043943141,-0.4168770015710791,True
region_7,-1.5482377711013688,0.12286641380518747,0.2382274954849328,-0.1984241429850941,False
region_8,-0.35707751921094366,0.7213436717070119,0.7784708111653427,-0.04576351388086369,False
region_9,-2.9974857034481492,0.0030045291957058484,0.021609616491240793,-0.38416162098517165,True
region_10,-0.3482182324789991,0.7279777719754377,0.7784708111653427,-0.0446280963047928,False
region_11,-0.6685044394956097,0.5044461683954747,0.6125417759087908,-0.08567638832004837,False
region_12,-0.26265225767246464,0.7930411590973048,0.8296430587479495,-0.033661850979571944,False
region_13,-2.9797053338319097,0.003177884778123646,0.021609616491240793,-0.38188286595870635,True
region_14,-1.307308471083382,0.1923435879367521,0.2972582722658896,-0.16754633418311674,False
region_15,-1.7243438107941467,0.08591747331058261,0.20146166155584888,-0.22099411941428335,False
region_16,-2.2189045806220182,0.02741760497836241,0.09224495939925381,-0.2843776634272518,False
region_17,-2.1379588178605453,0.0335181359838634,0.1036015112228505,-0.27400355041695224,False
region_18,-3.3660395241873413,0.0008862330950919382,0.010043975077708631,-0.431395952422541,True
region_19,-2.4614978905066107,0.014531564386126454,0.07058188416118563,-0.31546873387279767,False
region_20,-1.761813442005949,0.0793582431295827,0.19272716188612943,-0.22579627551714115,False
region_21,-0.6358382406269482,0.5254802294240559,0.6268886947515053,-0.08148984628104108,False
region_22,-0.9166709210669839,0.3602239469074341,0.49838831629385316,-0.11748172361321632,False
region_23,-0.5811710206261135,0.5616638537360283,0.6585024492077574,-0.07448362509169057,False
region_24,-3.082733269060596,0.0022877582367516287,0.019445945012388843,-0.395087058578767,True
region_25,-0.8564964785277099,0.3925670412678798,0.5133569001195352,-0.10976968970387216,False
region_26,-1.7970029737087962,0.07357684857231377,0.18840970723629305,-0.23030621113589123,False
region_27,-0.14595761790251077,0.8840758505449338,0.8972710124933656,-0.018706115937120685,False
region_28,-1.7005979584022215,0.09029784530443369,0.20467511602338304,-0.21795082044673103,False
region_29,-2.2251689848246574,0.02698846222157596,0.09224495939925381,-0.2851805175226771,False
region_30,-2.350728324518713,0.01953677607820511,0.07889488200666782,-0.30127236390286466,False
region_31,-0.9376744016978394,0.34934277672063885,0.494902267020905,-0.12017355669058456,False
region_32,-1.8271624058999836,0.06890187231945272,0.18840970723629305,-0.23417148273509547,False
region_33,-1.5236630872852621,0.12889322016574278,0.2382274954849328,-0.19527461991676598,False
region_34,-1.5873265630019047,0.11373902565369053,0.2382274954849328,-0.20343381280323125,False
region_35,-1.819078977501691,0.07013011946757879,0.18840970723629305,-0.23313550016042175,False
region_36,-1.4443821809879809,0.1499196351364416,0.254968271837314,-0.18511387705106983,False
region_37,-2.8327865418221,0.005001652142320119,0.03091930415252437,-0.36305356471241673,True
region_38,0.4625632442854923,0.6440913837658875,0.7400871056580799,0.0592827000070289,False
region_39,-2.6907945509938727,0.0076229741358280045,0.04319685343635869,-0.3448556886389013,True
region_40,-0.9048104550313557,0.36646199727489204,0.49838831629385316,-0.11596167103960599,False
region_41,-1.7893130493932083,0.07480973669676341,0.18840970723629305,-0.22932066055030165,False
region_42,1.5773977246180704,0.11600493210949635,0.2382274954849328,0.2021613201125586,False
region_43,-2.064229658646942,0.040057532919293815,0.11843096689182518,-0.2645543265942032,False
region_44,-0.1894324176637829,0.8499120497307642,0.8756669603286661,-0.024277902160849362,False
region_45,-3.518156901067279,0.0005185355760438888,0.008815104792746109,-0.4508915109885036,True
region_46,-1.3721566438032473,0.1712800010736083,0.2748443073273179,-0.17585735936042857,False
region_47,-0.7067520361251972,0.4803977285935641,0.6049452878585623,-0.09057824947091456,False
region_48,-0.45012996921241444,0.6530180344041882,0.7400871056580799,-0.05768923549084002,False
region_49,-1.1687910900135656,0.24363311191632972,0.36015329587631345,-0.14979376856280774,False
region_50,-3.439747705628333,0.0006851215879641082,0.009317653596311872,-0.44084248770698536,True
region_51,-0.07194391165243094,0.9427057221654068,0.9427057221654068,-0.009220424200395167,False
region_52,-2.203650820789355,0.028487413932122504,0.09224495939925381,-0.2824227219585757,False
region_53,-3.9164616197492523,0.00011680353415496292,0.0026475467741791593,-0.501938755750636,True
region_54,-1.509816485417639,0.13238943059506278,0.2382274954849328,-0.19350002162177388,False
region_55,-1.2841650357582368,0.20030720634148066,0.30268644513823745,-0.1645802417612427,False
region_56,0.6902452676099241,0.4906986780821969,0.6066820019925343,0.08846272079874788,False
region_57,-2.2678718813653482,0.024215578143275535,0.09148107298570758,-0.29065337563738397,False
region_58,-0.7389154853824901,0.4606714368919709,0.5910501454463023,-0.09470035847345036,False
region_59,1.3640986856272974,0.17379860610403924,0.2748443073273179,0.17482464108219203,False
region_60,-1.5186502490270106,0.13015051165591485,0.2382274954849328,-0.19463216812164613,False
region_61,-4.494766570983401,1.0783804447065253e-05,0.0007332987024004371,-0.5760550617047552,True
region_62,-0.8634549315440994,0.38873882275048577,0.5133569001195352,-0.11066149398745898,False
region_63,-4.147398145171092,4.6506650303973165e-05,0.0015812261103350877,-0.5315358777147813,True
region_64,-1.6051358484369314,0.10976269070523116,0.2382274954849328,-0.20571627371820314,False
region_65,-2.360836534802562,0.019024241624355936,0.07889488200666782,-0.3025678451268237,False
region_66,-1.011368090157758,0.3128462623836115,0.45262863493799116,-0.12961823453594404,False
region_67,0.3977380447960645,0.6911724675092683,0.770487340830004,0.050974619108461745,False
