Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,3.3582805041853687,0.0009103411158026463,0.030951597937289976,0.43040154644496287,True
region_1,1.3636907835574612,0.17392683687341243,0.3583946941633953,0.17477236382856867,False
region_2,1.9428236032163109,0.053192559022919736,0.14468376054234167,0.2489947704642123,False
region_3,0.9309221112557035,0.35281777480716425,0.5331468597086038,0.11930817446753353,False
region_4,-1.4928369916490674,0.13677705758534014,0.30611591186625026,-0.19132390787346187,False
region_5,-0.13821067689760463,0.8901883781459834,0.9019350646694319,-0.017713258019333884,False
region_6,2.020675394151463,0.04441032641806944,0.13726828165585098,0.25897235606798763,False
region_7,0.7421149651392761,0.4587343827679986,0.6170579277702665,0.0951104079119722,False
region_8,2.1517058499397215,0.03240631192482689,0.12250466240471969,0.2757653877198612,False
region_9,0.28207374215414965,0.7781270542778719,0.8398831696967506,0.036150933396825756,False
region_10,1.034632075985682,0.3018693103153528,0.4887407881296188,0.13259977686522043,False
region_11,0.8497588054214008,0.39629562752164105,0.5793915206331411,0.1089061808573711,False
region_12,2.511548616553847,0.012669938321690536,0.07963382544745198,0.3218832992626084,False
region_13,0.8255218934367768,0.4098850626127112,0.5806705053680075,0.10579994706116738,False
region_14,1.7140162459108106,0.08780088550602531,0.22963308516960468,0.2196705254228765,False
region_15,2.795017618487392,0.005604033865829943,0.07324777935660533,0.3582130509463509,False
region_16,3.0094892114937415,0.002892451634193866,0.049171677781295726,0.38570000600665766,True
region_17,1.94899074856854,0.05244727414080801,0.14468376054234167,0.24978515974034396,False
region_18,1.2940647051986127,0.19687159139847682,0.3718685615304562,0.16584899612262544,False
region_19,0.5915184106418518,0.5547229932302751,0.6735922060653341,0.07580975989755108,False
region_20,3.1432310613876395,0.0018786327005342464,0.04258234121210958,0.402840533412574,True
region_21,2.4573788785553474,0.014695073494841003,0.07963382544745198,0.3149408360061843,False
region_22,2.1082812561342084,0.03603078306021167,0.12250466240471969,0.2702000359559617,False
region_23,0.697632299273902,0.48607413518731335,0.6236230279460442,0.08940945227274226,False
region_24,0.3631986455120213,0.7167722448471194,0.7861373008000665,0.0465480052962429,False
region_25,-0.5692630688584855,0.5697034362039741,0.6796462045942148,-0.07295748668562484,False
region_26,0.7730525077920398,0.4402426135494363,0.6109489330890137,0.09907540314818358,False
region_27,0.9713665436640726,0.3323316664978504,0.5255477516710193,0.12449158491581394,False
region_28,-2.4443245181528472,0.015224113688483467,0.07963382544745198,-0.31326777239577897,False
region_29,1.1711175905401403,0.24269860814587602,0.41973920177994944,0.15009193586098155,False
region_30,1.9570532986914257,0.051486200759305684,0.14468376054234167,0.25081846652840273,False
region_31,0.6477481320748365,0.5177593833911855,0.6401388740109203,0.08301623327902242,False
region_32,0.47608070781287815,0.6344446280345291,0.7190372451057996,0.061015115509232914,False
region_33,2.69454520265041,0.0075402125808270186,0.07324777935660533,0.34533637697662006,False
region_34,2.6229135945332045,0.00926936521123891,0.07878960429553074,0.3361559779987618,False
region_35,0.8422758153415802,0.4004617863199652,0.5793915206331411,0.10794715122944895,False
region_36,1.4655833675809675,0.14405454676058835,0.30611591186625026,0.18783104837869338,False
region_37,0.2253417511687582,0.8219028165152721,0.8468089624702804,0.028880088503856576,False
region_38,2.1690000374358447,0.031052875177686446,0.12250466240471969,0.2779818330208311,False
region_39,-0.24118085992722374,0.809618323575319,0.8468089624702804,-0.03091004904332235,False
region_40,1.1483267613319805,0.251962853149157,0.41973920177994944,0.14717103389233122,False
region_41,1.4682928890002254,0.1433179197901497,0.30611591186625026,0.18817830412684214,False
region_42,1.298485562074285,0.19535146226953412,0.3718685615304562,0.16641557882276908,False
region_43,1.6139347292357549,0.10783935468490997,0.2618955756633528,0.20684394959223415,False
region_44,2.123847458897948,0.03469341949516165,0.12250466240471969,0.2721950205123262,False
region_45,1.6714639752534082,0.09591729588941304,0.24156948594370695,0.21421697171499965,False
region_46,2.058359686083254,0.04062207475092121,0.13153814681250675,0.2638020233646629,False
region_47,1.14730154382483,0.25238534791040756,0.41973920177994944,0.14703964069871026,False
region_48,3.4284200499730244,0.0007129675244678083,0.030951597937289976,0.43939072079663805,True
region_49,0.7003505543060112,0.48437840019343315,0.6236230279460442,0.08975782733194101,False
region_50,2.289478229720652,0.022909742296008447,0.11077269844627884,0.2934224730172965,False
region_51,2.2643391188575284,0.024435154069032097,0.11077269844627884,0.29020061225305865,False
region_52,0.9494591443982066,0.34333045634166703,0.5306016143462127,0.12168390446420639,False
region_53,0.2257159351909713,0.8216120868243694,0.8468089624702804,0.028928044409152403,False
region_54,0.527554812511985,0.5982897112634151,0.6895542434900378,0.06761210293680327,False
region_55,-1.4972868508487085,0.1356164091410495,0.30611591186625026,-0.19189420754872755,False
region_56,1.1456232521733312,0.25307804813202833,0.41973920177994944,0.14682454868323072,False
region_57,0.7354191862650022,0.4627934458276999,0.6170579277702665,0.09425226828410331,False
region_58,1.1878813513230562,0.2360399117188805,0.41973920177994944,0.15224040099252975,False
region_59,0.42411230999132304,0.6718591148426007,0.7489577017917516,0.054354778839681823,False
region_60,0.5509299572960722,0.5821878514878267,0.6825650672615899,0.07060789154079498,False
region_61,-0.12334601338723096,0.9019350646694319,0.9019350646694319,-0.01580818363550103,False
region_62,2.7292971188645083,0.006811078356864261,0.07324777935660533,0.3497902272317827,False
region_63,1.2972053411305868,0.19579077787274718,0.3718685615304562,0.16625150406091632,False
