Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,1.8757525840245806,0.06190319449133467,0.19133714660957987,0.24215861731775765,False
region_1,2.016161613749347,0.044897368995195454,0.19133714660957987,0.26028534511046303,False
region_2,1.2025531407093668,0.23033435469033944,0.37292228854626386,0.15524894289656008,False
region_3,1.2592065666984844,0.2091790353717874,0.36729599194855295,0.16256286874194162,False
region_4,-1.4399684221158968,0.1511794649024938,0.28556121148248825,-0.185899123930648,False
region_5,0.6380584529189327,0.5240439521274225,0.595028425209805,0.08237299206872985,False
region_6,2.0303467914210187,0.04342420219643104,0.19133714660957987,0.262116643673309,False
region_7,0.7835418963196511,0.4340815129837158,0.5278035443425383,0.10115482385005958,False
region_8,2.521713217405919,0.012327003708452479,0.1397060420291281,0.32555177649747497,False
region_9,1.227682157600413,0.22076904931505678,0.36729599194855295,0.15849308502741297,False
region_10,1.9364709535830191,0.053984062273887475,0.19133714660957987,0.24999732512138095,False
region_11,2.2213199092164,0.027263026415727733,0.16853507238813506,0.2867711671664696,False
region_12,-1.0599798016705373,0.29021936309601143,0.4290199280549734,-0.13684280397287438,False
region_13,1.2258466499723528,0.2214578774983922,0.36729599194855295,0.15825612201156916,False
region_14,2.589864630140774,0.01018845490591048,0.13856298672038253,0.334350086048895,False
region_15,1.5838016715020413,0.11455565546853828,0.2596594857286868,0.20446791658076252,False
region_16,0.6281966900366124,0.530472425142489,0.595028425209805,0.08109984395514741,False
region_17,1.9108031121556484,0.05722141939333457,0.19133714660957987,0.2466836210420043,False
region_18,0.8553112312783028,0.39323191587468975,0.5045239675373377,0.11042020515216755,False
region_19,1.1843128539777152,0.2374607876614605,0.37551938513905386,0.15289413200516894,False
region_20,1.9506681986666934,0.05226047500958163,0.19133714660957987,0.2518301815804175,False
region_21,1.888652287513167,0.060144335385903226,0.19133714660957987,0.24382396187716793,False
region_22,-0.0905686455210673,0.9279108880967903,0.9417603043370409,-0.011692361859721888,False
region_23,1.8456544214386343,0.06617407612672867,0.1956450946355456,0.2382729612361972,False
region_24,3.038775353586352,0.002638263670428006,0.06769785319986263,0.3923042112435165,False
region_25,2.085297081822498,0.03809928906389734,0.19133714660957987,0.26921069565978195,False
region_26,1.0398276719030417,0.29946637572540746,0.4332705010495257,0.13424117520687032,False
region_27,2.825156171385121,0.005123381315837148,0.08709748236923151,0.36472609340698936,False
region_28,1.5544505563527184,0.12139464568466334,0.26628502924377767,0.20067870390856438,False
region_29,1.4487138300346976,0.14872276636806886,0.28556121148248825,0.18702815123815816,False
region_30,0.9460008348522726,0.34509961104696985,0.4641862009366114,0.12212818262937215,False
region_31,1.766438267926312,0.07859352640880245,0.19997431908505936,0.22804619979273602,False
region_32,0.6231533063205167,0.5337754990852663,0.595028425209805,0.08044874591711501,False
region_33,1.4446454377426268,0.14986178803140257,0.28556121148248825,0.18650292405172386,False
region_34,0.24259083481771684,0.8085295682779546,0.8330304642863775,0.03131834210638572,False
region_35,2.335025063490592,0.020367339745560608,0.16853507238813506,0.3014504394625326,False
region_36,0.7825518787985203,0.4346617423997374,0.5278035443425383,0.10102701313766646,False
region_37,0.9552566777575346,0.34040909048694834,0.4641862009366114,0.12332310681027853,False
region_38,2.999752477198967,0.002986669994111587,0.06769785319986263,0.3872663795645347,False
region_39,0.9400449646120417,0.34813965070245856,0.4641862009366114,0.12135928308761926,False
region_40,0.9153839186619074,0.3609089199015808,0.47195781833283645,0.11817555574545505,False
region_41,0.825431021796232,0.4099466435105187,0.5162291066428754,0.10656268669532593,False
region_42,0.9959684552595138,0.32026856695814176,0.4537138031907008,0.1285789746856008,False
region_43,0.6984793613474262,0.4855537065209855,0.5792570533934563,0.0901732978056058,False
region_44,1.1532829264084625,0.2499415515437522,0.3862733069312534,0.14888818558151098,False
region_45,1.9418084136823663,0.053330558991117855,0.19133714660957987,0.25068638825724154,False
region_46,2.289482921181395,0.022920253649859834,0.16853507238813506,0.2955709741720617,False
region_47,1.4657789241050623,0.14401742884745378,0.28556121148248825,0.1892312454093577,False
region_48,1.980365988740452,0.0488044752193965,0.19133714660957987,0.25566414979291185,False
region_49,-0.0058603462861666535,0.9953290151833003,0.9953290151833003,-0.0007565674523110643,False
region_50,2.2364771926695903,0.02623995798436674,0.16853507238813506,0.28872796404606804,False
region_51,2.4161994586811915,0.016430895124879268,0.15961440978454147,0.31193000881958766,False
region_52,0.5252026391751928,0.5999271791192866,0.6374226278142421,0.06780336916365684,False
region_53,1.6393012311240593,0.10246066594952692,0.24025259601958038,0.2116328789186932,False
region_54,1.4426734771004655,0.15041627862102538,0.28556121148248825,0.18624834502750834,False
region_55,0.6790214070849105,0.49777858315331525,0.5836024768004386,0.08766128671193951,False
region_56,3.005974813936719,0.002928423867645829,0.06769785319986263,0.38806967978319507,False
region_57,1.7672360364792532,0.07845954096991667,0.19997431908505936,0.22814919127005834,False
region_58,1.278329108861304,0.20236827907887017,0.36729599194855295,0.16503157831973328,False
region_59,-0.5533558623169615,0.5805348629824421,0.626609058457239,-0.0714379346426612,False
region_60,1.7511627726500012,0.08119538739978957,0.19997431908505936,0.22607414183239533,False
region_61,1.935424046761747,0.05411302837609612,0.19133714660957987,0.24986217003192038,False
region_62,1.7445556307655605,0.08234236668208327,0.19997431908505936,0.22522116348291307,False
region_63,0.5786633563351989,0.5633589869875609,0.6178775986315185,0.07470511807155712,False
region_64,1.7860967882005565,0.07534598477606308,0.19997431908505936,0.23058410384717706,False
region_65,-0.4664417658622748,0.6413224211683788,0.6709219175299962,-0.06021737303867231,False
region_66,1.1271623683387246,0.260799503584956,0.3940970276394891,0.1455160360349197,False
region_67,1.2483112809619132,0.21313349066309464,0.36729599194855295,0.16115629340161122,False
