Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,-3.1539221106221906,0.001812072574231233,0.006485312370932834,-0.402312526076713,True
region_1,-3.4317828869876004,0.0007036928080659432,0.003680854688344934,-0.43775629003674044,True
region_2,-0.7614849118166986,0.44709983904168316,0.5179143759147817,-0.09713458598438336,False
region_3,-0.7835481871774119,0.4340620743338486,0.5179143759147817,-0.0999489649489113,False
region_4,-3.0224739114547465,0.002773295842272557,0.008199309446718863,-0.38554506790861737,True
region_5,-3.7759939472026556,0.00020005696871213131,0.0024704436705871107,-0.48166365879269996,True
region_6,-2.1768792849935528,0.030444721775644504,0.05750669668732851,-0.27768149414985205,False
region_7,0.22861204164154056,0.8193611674504393,0.8705712404160918,0.02916162312778827,False
region_8,-0.06440420450439277,0.9487008994984425,0.9643439674432326,-0.008215364011957781,False
region_9,-2.477167278880234,0.013918590459066536,0.03053110165214595,-0.3159860613311978,True
region_10,-2.646520622828348,0.008659313815586213,0.02180864220221713,-0.33758867839451623,True
region_11,-2.2720122571266765,0.023953250855371495,0.049358213883795805,-0.28981660243396634,True
region_12,-0.7789672402199009,0.4367507459803168,0.5179143759147817,-0.09936462193800033,False
region_13,-0.9282789484758327,0.35417651157311303,0.4460000516105868,-0.1184107392529973,False
region_14,-2.578030949255211,0.010521753450549036,0.02467169774611498,-0.3288521742517609,True
region_15,-2.5812296541462674,0.010427363910789095,0.02467169774611498,-0.32926019924405886,True
region_16,-3.7347163992636356,0.0002337824415511826,0.0024704436705871107,-0.4763983180521438,True
region_17,-0.06256685267518057,0.950162438510244,0.9643439674432326,-0.007980992448623199,False
region_18,-3.055104346493484,0.002498563004657461,0.008090584967462254,-0.38970738780333,True
region_19,-0.9284810906902357,0.3540719040614724,0.4460000516105868,-0.11843652439988767,False
region_20,-3.337239270074859,0.0009777005875465227,0.003910802350186091,-0.42569635957222735,True
region_21,-1.902232727813454,0.058313453606231476,0.0991328711305935,-0.2426477341767498,False
region_22,-1.847126882452759,0.06593446012996257,0.10675103068660606,-0.23561846361423733,False
region_23,0.87678736091194,0.38146104156896155,0.4716245604852615,0.11184250137712812,False
region_24,-3.3750830595352843,0.0008578530108812856,0.0038678945639927854,-0.43052369201739527,True
region_25,-1.2584505349138135,0.20942677064668633,0.2966879250828056,-0.1605272406501784,False
region_26,-2.890230092683363,0.0041948636959927834,0.011410029253100371,-0.3686761209524572,True
region_27,0.7057285008132592,0.4810274784021381,0.5451644755224232,0.09002232963530696,False
region_28,-3.0370584943969865,0.002647238436140894,0.008182373348071854,-0.3874054690851418,True
region_29,-1.6024504137091398,0.11034450033917789,0.16674280051253548,-0.20440767122331288,False
region_30,-1.0891845255959134,0.27714270238057714,0.3695236031741029,-0.13893576394304602,False
region_31,-1.2353325278319627,0.2178900490059996,0.3023780271919994,-0.15757832070201774,False
region_32,-3.3580175295211285,0.0009100928385865377,0.0038678945639927854,-0.4283468226312713,True
region_33,-1.860288924782359,0.06404290481524116,0.10621750066918047,-0.23729740631231977,False
region_34,-2.4927911479509,0.013335667047068855,0.03022751197335607,-0.3179790332602576,True
region_35,-3.315975848683989,0.001051709266696174,0.003973123896407769,-0.4229840095290911,True
region_36,-2.357278964780031,0.01919673810505374,0.0407930684732392,-0.3006931755841823,True
region_37,-3.3639106376867707,0.0008917268534573192,0.0038678945639927854,-0.42909854418602306,True
region_38,-0.7576863908275944,0.4493668849848842,0.5179143759147817,-0.0966500487888277,False
region_39,-3.6394198042498935,0.00033325794623197927,0.0024704436705871107,-0.4642423381256374,True
region_40,-1.577479943018634,0.11597541026172178,0.17144191082167567,-0.20122245206175274,False
region_41,-2.2023835571942194,0.028570195151085984,0.05714039030217197,-0.28093480473106175,False
region_42,0.37297333275988315,0.7094907702524345,0.7781511673736378,0.047576268024031046,False
region_43,-0.09075536155416643,0.927761134202084,0.9643439674432326,-0.011576702746999411,False
region_44,-1.116467139818996,0.2653159877271634,0.36082974330894224,-0.1424159188299083,False
region_45,-5.558009675235134,7.10872633496944e-08,4.833933907779219e-06,-0.7089765802623259,True
region_46,-3.0957387711527007,0.0021914985329832336,0.007451095012142994,-0.39489069210094246,True
region_47,-2.0416802250732498,0.042254545581947585,0.07561339735716936,-0.2604355782990628,False
region_48,-1.604652483307703,0.10985853729668017,0.16674280051253548,-0.204688565979658,False
region_49,-4.024354898526073,7.617956428371587e-05,0.0015391174500734859,-0.5133444417039901,True
region_50,-3.468455957682381,0.000618217436914986,0.0035032321425182535,-0.44243428625627823,True
region_51,-1.362291150285304,0.1743570892112635,0.252261320560977,-0.17377309099593194,False
region_52,-3.6340668927374007,0.00033988843135778185,0.0024704436705871107,-0.4635595237513689,True
region_53,-3.567751651994668,0.00043302303184372795,0.002676869651397591,-0.4551003890343954,True
region_54,-2.0221425870228056,0.04424844652877036,0.07715113753734319,-0.25794336820573993,False
region_55,-1.0482167438669832,0.29557170573482655,0.38651684596092706,-0.13370993680558577,False
region_56,0.011816122497146551,0.9905819337200887,0.9905819337200887,0.0015072579231581293,False
region_57,-3.6159212527647546,0.00036330053979222215,0.0024704436705871107,-0.46124487614796517,True
region_58,-1.7250073951625413,0.08578721022202752,0.13566349523483423,-0.22004097067316133,False
region_59,0.42551479070124143,0.6708349720606871,0.7478160344283069,0.05427842677327523,False
region_60,-2.158565550403908,0.03185548120848482,0.05854520870748561,-0.27534540449188494,False
region_61,-2.1845511021797273,0.029869982418811163,0.05750669668732851,-0.2786601068243292,False
region_62,-3.6999007629161214,0.0002663327452342483,0.0024704436705871107,-0.47195725511062003,True
region_63,-5.365725062556236,1.866945926093992e-07,6.347616148719573e-06,-0.6844488634896155,True
region_64,-3.9808334869241477,9.0536320592558e-05,0.0015391174500734859,-0.5077928749798071,True
region_65,-2.859031041599448,0.00461535542788236,0.012070929580615406,-0.3646963875879291,True
region_66,-2.969315095019145,0.003280888227081487,0.009295849976730879,-0.3787641592579481,True
region_67,0.2333021411811554,0.8157216007222976,0.8705712404160918,0.0297598895805262,False
