Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,-0.4760892475050848,0.6344438967018016,0.9159262890365134,-0.06146285756318713,False
region_1,-1.5216286386010727,0.12941857891352984,0.7183389713017497,-0.1964414125471406,False
region_2,-0.6351479458078352,0.5259370027075272,0.8940929046027962,-0.08199724721638654,False
region_3,0.4146205167274196,0.6787900849974771,0.9159262890365134,0.053527278542706995,False
region_4,-2.8801720909416733,0.004333928513048837,0.2947071388873209,-0.37182861808094975,False
region_5,-1.9593331373591465,0.051231458188405056,0.6682164324144528,-0.2529488203554768,False
region_6,0.03882652147854901,0.9690609769396564,0.9690609769396564,0.005012482369252829,False
region_7,0.4336960383098335,0.6648987624927636,0.9159262890365134,0.05598991778967063,False
region_8,1.2556679674033888,0.21045746641822266,0.8280599960897193,0.16210603753731476,False
region_9,-1.6754498688461277,0.09514832014380263,0.7183389713017497,-0.21629964798154844,False
region_10,0.8615629987299254,0.3897880133950674,0.8806691312604595,0.11122730485965075,False
region_11,1.2991257133979048,0.19514743738970033,0.8280599960897193,0.16771640842066382,False
region_12,-0.7494141172471289,0.45434156642239076,0.8806691312604595,-0.09674894651702877,False
region_13,0.05248529403920405,0.9581856719777304,0.9690609769396564,0.006775822324487889,False
region_14,0.3290092013757497,0.742435652977788,0.9159262890365134,0.042474905255909357,False
region_15,-1.3932501122481467,0.16483319108449196,0.7881922382987202,-0.17986781606128954,False
region_16,-0.875883685131641,0.3819690486109769,0.8806691312604595,-0.1130760975243209,False
region_17,0.3540550157399307,0.7236085082396146,0.9159262890365134,0.04570830598673188,False
region_18,-1.3639346143775608,0.17386593491883534,0.7881922382987202,-0.17608320156000426,False
region_19,-0.3191179934783232,0.7499146129223048,0.9159262890365134,-0.04119795580722242,False
region_20,0.998387170857071,0.319097187997762,0.8806691312604595,0.1288912295265525,False
region_21,0.38118412242175004,0.7034038519343326,0.9159262890365134,0.0492106585992709,False
region_22,0.8565809060763274,0.3925309948689021,0.8806691312604595,0.11058411946376254,False
region_23,-0.3514723652991102,0.7255423696629435,0.9159262890365134,-0.045374887248519444,False
region_24,0.756047269357047,0.4503622922634499,0.8806691312604595,0.09760528277218121,False
region_25,-1.6230523919765616,0.10589095830131987,0.7183389713017497,-0.2095351628049112,False
region_26,-0.09200417116805414,0.9267714740998401,0.9690609769396564,-0.011877687423849675,False
region_27,0.531223408809885,0.5957552581660034,0.9159262890365134,0.0685806471812073,False
region_28,-0.17468023685722048,0.8614781655575682,0.9690609769396564,-0.022551121608652726,False
region_29,-0.849410021050965,0.3964996674343795,0.8806691312604595,-0.10965836218773595,False
region_30,-0.14240347111097923,0.8868807949838953,0.9690609769396564,-0.018384209068498386,False
region_31,-0.3169999654132178,0.7515192081083697,0.9159262890365134,-0.04092451955979066,False
region_32,-0.7571506711165417,0.4497022863523973,0.8806691312604595,-0.0977477313268045,False
region_33,1.0593572692503548,0.2905020922624812,0.8806691312604595,0.136762435383013,False
region_34,-0.054241333384403956,0.9567880139333645,0.9690609769396564,-0.007002526029129362,False
region_35,-0.4125594127619551,0.6802977385088097,0.9159262890365134,-0.05326119116493879,False
region_36,-0.5936734701048129,0.5532896394503294,0.908744912159768,-0.07664291542670357,False
region_37,-2.107216690960537,0.03613669153186312,0.6682164324144528,-0.2720405050313487,False
region_38,1.4938300990521705,0.13653356388595664,0.7183389713017497,0.19285263652308104,False
region_39,-2.17819038748233,0.03036578144558258,0.6682164324144528,-0.2812031698529381,False
region_40,0.16531968673129774,0.8688315315019097,0.9690609769396564,0.02134267978368478,False
region_41,-0.31334298701656493,0.7542922380300698,0.9159262890365134,-0.040452405678868084,False
region_42,1.4907909216827318,0.13732950921945214,0.7183389713017497,0.19246028041181415,False
region_43,1.2106870079167817,0.2272062919314121,0.8280599960897193,0.15629902063771275,False
region_44,-0.6815036179850293,0.49620996105405435,0.8844766787278867,-0.08798173876120399,False
region_45,0.05658688147906621,0.954921366307186,0.9690609769396564,0.007305334986074545,False
region_46,-0.10646432795585702,0.9153028926347645,0.9690609769396564,-0.013744485637939964,False
region_47,-1.1998783554063668,0.2313697047897745,0.8280599960897193,-0.15490362959878676,False
region_48,1.1319433867696573,0.2587879352933925,0.8453942485702588,0.14613326286028347,False
region_49,-0.07137510489306585,0.9431586637427527,0.9690609769396564,-0.009214486419488384,False
region_50,0.7087175177413959,0.4791876155387794,0.8806691312604595,0.09149503811259618,False
region_51,1.7802573829450095,0.07629892568083686,0.6682164324144528,0.22983023987029405,False
region_52,-1.8658612450579903,0.0632807018144088,0.6682164324144528,-0.24088165094811442,False
region_53,-0.7766438315876865,0.43813368722945467,0.8806691312604595,-0.10026428752246092,False
region_54,-1.1265033378636915,0.26107763558787406,0.8453942485702588,-0.14543095556643817,False
region_55,-1.007040643440846,0.31492946459684396,0.8806691312604595,-0.13000838803334658,False
region_56,0.5817462600581489,0.5612836222163273,0.908744912159768,0.07510311923078865,False
region_57,-0.7250047158128143,0.46915540101099906,0.8806691312604595,-0.09359770634216234,False
region_58,-0.25134997961298666,0.8017586150768761,0.9564839618460977,-0.03244914283702237,False
region_59,-0.4623391116613177,0.6442570196923092,0.9159262890365134,-0.05968772265882048,False
region_60,0.8138676455245102,0.4165275148501444,0.8806691312604595,0.1050698612377823,False
region_61,-0.9055424702171061,0.36608624096541664,0.8806691312604595,-0.11690503021447925,False
region_62,-1.9697877863087077,0.05001267496842831,0.6682164324144528,-0.2542985097312133,False
region_63,-1.7663182602551875,0.0786136979311121,0.6682164324144528,-0.2280307068690133,False
region_64,0.2054258169187341,0.8374135826946212,0.9690609769396564,0.026520358926910362,False
region_65,-0.9553765761239147,0.3403486013260971,0.8806691312604595,-0.12333858562281946,False
region_66,-0.33275612159017476,0.739608858251702,0.9159262890365134,-0.04295863057557724,False
region_67,0.6640849959137726,0.5072733892704056,0.8844766787278867,0.08573300432134207,False
