Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,-0.25414427955647473,0.7995972616779765,0.8769776418403613,-0.03241850099974129,False
region_1,-1.009450495840348,0.31375453209449256,0.5989376959506432,-0.12876493606584488,False
region_2,1.2247584237025233,0.22184251942249322,0.535710944353075,0.15622949394152627,False
region_3,-0.4327023469056564,0.6656116711226783,0.8082427435061094,-0.05519526738997204,False
region_4,-3.561602449789216,0.00044277838460194335,0.010036310050977382,-0.45431600026832547,True
region_5,0.021983979272334708,0.9824786289297565,0.9974493374698084,0.0028042640002058543,False
region_6,-1.7561882893174336,0.08030570593602113,0.46776505427487886,-0.2240183879500613,False
region_7,-0.63638681567249,0.525118420165664,0.7439177619013573,-0.08117714337739536,False
region_8,1.4371449971096548,0.1519526552015514,0.47851898865304054,0.18332140549014211,False
region_9,-0.3359786733699034,0.7371745028192951,0.8354644365285344,-0.04285725013186306,False
region_10,0.014621756684053544,0.9883458415151296,0.9974493374698084,0.0018651430380695639,False
region_11,1.2931835747918283,0.1971655964478267,0.535710944353075,0.16495776763262526,False
region_12,0.010501897927534257,0.9916293982019442,0.9974493374698084,0.0013396161780902724,False
region_13,-0.0032000505701282843,0.9974493374698084,0.9974493374698084,-0.00040819664636155504,False
region_14,-1.560677759089491,0.11989056434915007,0.4703830173267325,-0.19907917495374405,False
region_15,-0.7499711837950238,0.45399163452042957,0.7016234351679366,-0.09566590133000982,False
region_16,2.0287250604460074,0.04356793191695701,0.3703274212941346,0.2587830248040441,False
region_17,0.8723792339520628,0.38385566777119295,0.6868996160116084,0.11128020318766992,False
region_18,-1.362385758822738,0.17432728419305396,0.49392730521365286,-0.17378515920762153,False
region_19,0.1405336818175031,0.8883538134772708,0.9438759268196003,0.017926397212043723,False
region_20,-1.7309870727934955,0.08471305084968692,0.46776505427487886,-0.22080373498009573,False
region_21,-1.6148354998282017,0.10763339296186998,0.4703830173267325,-0.20598750582526965,False
region_22,-1.5655920071489922,0.11873484484497358,0.4703830173267325,-0.19970603366529144,False
region_23,-0.5993884684396209,0.5494677379477675,0.7625266567438406,-0.07645765506606783,False
region_24,-3.6050614559085767,0.00037802930461777734,0.010036310050977382,-0.45985960658434005,True
region_25,-2.5974824182019263,0.00995937884783435,0.13544755233054714,-0.33133339266279893,False
region_26,-1.4662208972113377,0.14387041737136513,0.47851898865304054,-0.18703031091252578,False
region_27,0.1755831453330109,0.860766475911365,0.9290812755868701,0.022397287015272185,False
region_28,-4.448374363365933,1.313396062187822e-05,0.000893109322287719,-0.5674321255535342,True
region_29,-1.0657424664641704,0.28758920685281003,0.5926080626057904,-0.1359455080981194,False
region_30,-0.4837943566545336,0.6289639500244106,0.8069726151256589,-0.06171253534506172,False
region_31,-0.43649494954223483,0.662862076945703,0.8082427435061094,-0.055679049643816626,False
region_32,-1.224544131572724,0.22192314996442658,0.535710944353075,-0.15620215895827874,False
region_33,0.4621480190405174,0.6443853044362406,0.8082427435061094,0.0589513407244101,False
region_34,1.3629999157689492,0.17413389621876874,0.49392730521365286,0.17386350072138487,False
region_35,1.4496684047776534,0.1484298634960583,0.47851898865304054,0.184918884310888,False
