Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,-2.4043127732126375,0.01694606748841194,0.1440415736515015,-0.30669278166760494,False
region_1,-2.1155489754695775,0.03539263908013519,0.21004294137561144,-0.2698582344483658,False
region_2,0.36562025236164675,0.7149639309995219,0.8326802465734439,0.046638313234502,False
region_3,-0.6615113247038229,0.5089060989703026,0.7717093043958881,-0.0843820115828561,False
region_4,-3.1547216479699776,0.0018073099069892255,0.0490687216224861,-0.40241451460997374,True
region_5,-2.0792800736437047,0.03863199164702929,0.21004294137561144,-0.26523179378185335,False
region_6,-0.563644153939932,0.5735118621669956,0.7717093043958881,-0.0718981304630923,False
region_7,0.6875649344689374,0.4923771770659874,0.7717093043958881,0.08770539535404011,False
region_8,0.6606560862475376,0.5094535955829531,0.7717093043958881,0.08427291784760271,False
region_9,-0.6209670305830638,0.5351985853240617,0.7717093043958881,-0.07921020428590865,False
region_10,-1.3133419928022967,0.1902963728914851,0.5391730565258744,-0.167529164067619,False
region_11,0.7599690192670794,0.4480037733489607,0.7717093043958881,0.0969412195854973,False
region_12,0.5478335247842693,0.5843049727866407,0.7717093043958881,0.06988133552289577,False
region_13,1.0832977138402258,0.27974126133003707,0.6504682064336835,0.13818484555479782,False
region_14,0.7473264648528934,0.4555831599065384,0.7717093043958881,0.09532854247298926,False
region_15,0.6405783776134222,0.5223953244532797,0.7717093043958881,0.08171181665514818,False
region_16,0.32656894312867535,0.7442727397960921,0.8326802465734439,0.04165695024801397,False
region_17,1.3274655456459399,0.18559033277350767,0.5391730565258744,0.16933075650472046,False
region_18,0.8660319169974839,0.38731994020276284,0.7717093043958881,0.11047054301590924,False
region_19,0.3270112743033061,0.7439385714315332,0.8326802465734439,0.041713373763239296,False
region_20,0.7347441675277703,0.4631979871277656,0.7717093043958881,0.09372355172078581,False
region_21,-0.17335544937089234,0.8625151799272451,0.895315331748155,-0.022113123374441494,False
region_22,-1.0550371976483872,0.29244760273233367,0.6504682064336835,-0.1345799500441958,False
region_23,1.4726557375896059,0.14212736954037763,0.47056726970824003,0.18785113552286173,False
region_24,-3.524381255136103,0.000506374549790535,0.03443346938575638,-0.44956808566572526,True
region_25,-2.9810685248258713,0.0031618339211591543,0.0490687216224861,-0.3802634201368658,True
region_26,-1.0327320243548916,0.3027476710122936,0.6504682064336835,-0.13173471471575743,False
region_27,1.2847902429990246,0.2000789621096609,0.5405275117823235,0.16388711896175598,False
region_28,-1.0847889622510984,0.27908142334589975,0.6504682064336835,-0.13837506836124105,False
region_29,-2.0325251529836144,0.04317913234669619,0.21004294137561144,-0.25926776246544064,False
region_30,0.875360022330933,0.38223540279735935,0.7717093043958881,0.11166043087254662,False
region_31,0.5252170599757937,0.5999072820151835,0.7717093043958881,0.06699639202432983,False
region_32,0.5249193076759999,0.6001139507185917,0.7717093043958881,0.06695841090885721,False
region_33,0.32301001828306897,0.746963162367354,0.8326802465734439,0.04120297580142542,False
region_34,1.952166013816026,0.05205760017589074,0.22124480074753566,0.2490171959841128,False
region_35,0.7496416895326731,0.4541897437057911,0.7717093043958881,0.0956238712276913,False
region_36,-1.460906917663394,0.14532224505695648,0.47056726970824003,-0.18635246267770317,False
region_37,-2.123507531770726,0.03471388409003876,0.21004294137561144,-0.27087342340266984,False
region_38,-0.35410366299404894,0.7235657573535661,0.8326802465734439,-0.04516926358845591,False
region_39,-2.8125264000779016,0.005313697028556038,0.060221899656968426,-0.3587642817373079,False
region_40,2.054954276457702,0.04094393846199011,0.21004294137561144,0.2621288088090254,False
region_41,-0.457174114243077,0.6479510137455138,0.8011030715399079,-0.05831687223300891,False
region_42,0.15552429425162273,0.8765360627614884,0.895315331748155,0.01983859128161062,False
region_43,2.0025003133042945,0.046333001774031934,0.21004294137561144,0.25543781084559786,False
region_44,-0.1993591923278546,0.8421471344859517,0.895315331748155,-0.02543014616369522,False
region_45,0.5072786121002105,0.6124156474953624,0.7717093043958881,0.06470817372800113,False
region_46,-0.14840030161260384,0.8821489298106822,0.895315331748155,-0.018929858797475118,False
region_47,-0.128163683965292,0.8981245776977907,0.8981245776977907,-0.016348487260898867,False
region_48,-0.657227592457332,0.5116515203691818,0.7717093043958881,-0.08383558111289689,False
region_49,0.1737743821080764,0.8621862727184796,0.895315331748155,0.022166562198179442,False
region_50,0.55142663444639,0.5818438043950636,0.7717093043958881,0.07033967056540362,False
region_51,0.8325839387305523,0.4058902651638192,0.7717093043958881,0.10620393776798392,False
region_52,-3.02537501509773,0.0027477898784439587,0.0490687216224861,-0.38591513105351505,True
region_53,-0.5066900937553934,0.612827977020264,0.7717093043958881,-0.06463310265977519,False
region_54,-1.2661210664661704,0.20667228391677075,0.5405275117823235,-0.16150568932993067,False
region_55,-1.484219869267219,0.13903598446717771,0.47056726970824003,-0.18932624963916642,False
region_56,-1.5433605117708173,0.12403396669009477,0.47056726970824003,-0.1968701966501878,False
