Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,-0.8165898884542552,0.414972631325894,0.7424725866971741,-0.10542130128882343,False
region_1,-1.7624523559247527,0.07926577063794078,0.3368795252112483,-0.22753162076601982,False
region_2,-1.669917778393353,0.09623932121022653,0.38495728484090613,-0.21558545817510474,False
region_3,-0.2968845219579877,0.7668114519109451,0.8990203229300736,-0.038327626976334545,False
region_4,-2.5803115977121287,0.010466672216480491,0.11862228512011223,-0.3331167948654975,False
region_5,-1.7776993090611588,0.07671948583514955,0.3368795252112483,-0.22949999395194332,False
region_6,-0.6212028340154633,0.5350557239896923,0.7425263108428383,-0.0801969410252913,False
region_7,-1.2832535530027722,0.20064099494047122,0.6201630752705474,-0.1656673213247078,False
region_8,0.8437217900354412,0.399665044277806,0.7345195408348868,0.10892401472131914,False
region_9,-3.0550036861030403,0.0025047041118772943,0.042579969901914004,-0.3943992799626449,True
region_10,-0.5835728417882049,0.5600557530307602,0.7616758241218338,-0.0753389299181551,False
region_11,-0.01900618032518169,0.984851966295258,0.9981775766231761,-0.002453687329148125,False
region_12,-1.8710504341575396,0.06255488905696376,0.3368795252112483,-0.2415515723802102,False
region_13,-1.0338326033917153,0.30225503677953,0.6861644167787939,-0.133467215190079,False
region_14,-0.09340559049880116,0.925659276910993,0.9981775766231761,-0.01205860988148422,False
region_15,-1.1042499206461664,0.2705906119139241,0.6790635321144617,-0.14255805175711547,False
region_16,0.02229736349390672,0.9822292788870786,0.9981775766231761,0.0028785772492077983,False
region_17,-1.155343254282109,0.2490988250897368,0.6514892348500809,-0.14915417276625628,False
region_18,-0.8804707614154758,0.37948515797553584,0.7345195408348868,-0.11366828652615672,False
region_19,-1.804033768446695,0.07247979752110423,0.3368795252112483,-0.23289975803966192,False
region_20,1.2864688986753992,0.19951904701884615,0.6201630752705474,0.1660824206661206,False
region_21,-0.8695823710544802,0.3853975116553544,0.7345195408348868,-0.11226260137498535,False
region_22,-0.3335742738326377,0.738992087436429,0.8972253278544314,-0.043064253575901275,False
region_23,-1.4191036861421766,0.1571661988525551,0.5624895537880918,-0.18320549809900688,False
region_24,0.7428445516303173,0.458302276375553,0.7424725866971741,0.09590081924283779,False
region_25,-2.197249269938905,0.02895890356790499,0.2357824731861483,-0.28366366099799273,False
region_26,-0.6693265285840705,0.503930577190938,0.7424725866971741,-0.08640968327936425,False
