Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,0.8743595737711571,0.38278578585921985,0.6046732565357545,0.11205904695306308,False
region_1,-1.6761976998905044,0.09498553465003076,0.3229508178101046,-0.2148236519496351,False
region_2,-2.2663169308970685,0.024312011855904335,0.11021445374676632,-0.29045409118649934,False
region_3,0.5943560100157171,0.5528269770757124,0.668558648125395,0.07617343028100497,False
region_4,-2.43340308481864,0.01567960727400143,0.09362414898763069,-0.3118680674602978,False
region_5,-2.0814483523705225,0.03844001447707191,0.16337006152755562,-0.26676109651623775,False
region_6,-0.8641811580286585,0.3883406087243234,0.6046732565357545,-0.11075456810727531,False
region_7,-0.9275148449897118,0.35457961406036276,0.6046732565357545,-0.1188714948428849,False
region_8,0.6706413371599131,0.5030859356803266,0.665595323128116,0.08595025587166134,False
region_9,-2.4139265750224244,0.016521908644876005,0.09362414898763069,-0.3093719329279994,False
region_10,0.6572387316542586,0.5116494451862583,0.665595323128116,0.08423256072117101,False
region_11,-1.1275589958788454,0.2606183274797134,0.5824656281076015,-0.14450941037514864,False
region_12,0.34916908821884474,0.7272647490158273,0.8107213595586271,0.044749959198724855,False
region_13,-0.8269578178447895,0.40907226378112005,0.6046732565357545,-0.10598397697916156,False
region_14,-1.2047414439414783,0.2294751457123005,0.53981807679006,-0.15440121213594984,False
region_15,-0.015483296453117265,0.9876593151026649,0.9876593151026649,-0.001984359177019967,False
region_16,-2.5186694430383834,0.012423108059620557,0.08447713480541978,-0.3227959135386021,False
region_17,-0.7571151916908584,0.44971433913168635,0.6240933685909117,-0.09703285622943099,False
region_18,-1.106554166123798,0.2695809666842542,0.5824656281076015,-0.14181740439228968,False
region_19,-2.6281547157700382,0.009131709104855038,0.07761952739126782,-0.3368276868338717,False
region_20,-0.054555269310842425,0.956537601553669,0.9876593151026649,-0.00699187344500986,False
region_21,-0.3514049580063389,0.7255890631445148,0.8107213595586271,-0.04503651114487342,False
region_22,-1.7923757700675822,0.0743166861755296,0.2807519255520007,-0.22971318276901942,False
region_23,-1.2028202385811226,0.23021653274870205,0.53981807679006,-0.15415498798728067,False
region_24,-2.81183927787815,0.005328043121683381,0.060046081640172624,-0.36036893643790807,False
region_25,-1.833073941731816,0.06801493922160305,0.2720597568864122,-0.23492911276651016,False
region_26,-1.0143663883540006,0.3114168720930242,0.6046732565357545,-0.1300025002870502,False
region_27,-1.6066374536676788,0.10943253982433158,0.3543529860978356,-0.20590872137487096,False
region_28,-1.3538732499897717,0.1770346323747032,0.4815342000591927,-0.1735141361062141,False
region_29,-3.7652637526818746,0.00020872423822040976,0.011722943754966067,-0.4825610427442696,True
region_30,-0.9346412739362349,0.3509010318119724,0.6046732565357545,-0.11978482713760863,False
region_31,0.0196445204218846,0.9843430688595259,0.9876593151026649,0.0025176669900597694,False
region_32,1.5141157201145177,0.13129606749526326,0.4058242086217228,0.19405101706713954,False
region_33,0.9223277402141176,0.3572724898681543,0.6046732565357545,0.11820670882688489,False
region_34,-0.6461796093283476,0.5187728253792668,0.665595323128116,-0.08281520938751559,False
region_35,-1.3062588752066835,0.19269960666074337,0.503983586651175,-0.16741181662631638,False
region_36,-0.511862294388938,0.6092122395416479,0.7084587720727265,-0.06560092964161321,False
region_37,-2.7621408250331143,0.006181214286488358,0.060046081640172624,-0.3539995188345343,False
region_38,0.07261201842904369,0.9421745930972145,0.9876593151026649,0.009306049623728958,False
region_39,-3.6305964647610343,0.0003447924633813549,0.011722943754966067,-0.465301910011181,True
region_40,-0.9663448711055896,0.33483238629362977,0.6046732565357545,-0.12384800090542004,False
region_41,-1.2808064403362545,0.20148273265895478,0.5074379933632935,-0.1641497998545281,False
region_42,-0.6648423826191328,0.5067817643800338,0.665595323128116,-0.08520705440322969,False
region_43,-0.5830364246458163,0.560409455046287,0.668558648125395,-0.07472269766880976,False
region_44,0.1151533533710621,0.9084186679308054,0.9805153876078534,0.014758201796264452,False
region_45,-1.057721395095458,0.29123281405380075,0.5824656281076015,-0.13555893368336697,False
region_46,-1.0639771208145237,0.28839519495266264,0.5824656281076015,-0.13636067553318143,False
region_47,-0.8632710051677674,0.3888397153570804,0.6046732565357545,-0.11063792174663317,False
region_48,0.019494236152667148,0.9844628320288038,0.9876593151026649,0.002498406364928269,False
