Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,-1.4981925734546484,0.13537052511687064,0.4602597853973602,-0.191108599906738,False
region_1,-1.8661964653107421,0.06320869228938755,0.3070136482627396,-0.238050968851125,False
region_2,-0.8984304769914567,0.3698381841923575,0.791132197356772,-0.11460328506065547,False
region_3,-0.089187875836355,0.9290054640658663,0.9974999242006335,-0.011376755152669796,False
region_4,-3.5037856948687773,0.0005451501313125341,0.018628559458116926,-0.4469409276109315,True
region_5,-1.7386349555034375,0.08335520418834733,0.36528129024402356,-0.22177929458628018,False
region_6,-0.010316682035762867,0.991777020352149,0.9974999242006335,-0.001315990143370791,False
region_7,0.7987442034308176,0.42521235992801665,0.791132197356772,0.1018873602138484,False
region_8,0.5940459480803678,0.5530294893285388,0.8546819380531963,0.07577616618144746,False
region_9,-0.6608178340634029,0.5093500259583053,0.8546819380531963,-0.0842935503077922,False
region_10,-1.324581784806216,0.1865441135992107,0.5539231202835058,-0.1689629055980278,False
region_11,-0.4223810269288877,0.67311736182945,0.8847794789881603,-0.05387868563346167,False
region_12,-0.007695309477595537,0.9938663542224392,0.9974999242006335,-0.0009816093379245762,False
region_13,0.3977878836336216,0.6911329260520107,0.8847794789881603,0.050741598141680465,False
region_14,0.04578384998914758,0.9635198267402452,0.9974999242006335,0.0058401620891701585,False
region_15,0.4798417891265567,0.6317679871216072,0.8847794789881603,0.06120834805986732,False
region_16,1.0953418493171825,0.2744424906870034,0.6761017892238049,0.1397211886850943,False
region_17,0.6604284164894522,0.5095993948416131,0.8546819380531963,0.08424387642163403,False
region_18,0.3936343942676976,0.6941933342948337,0.8847794789881603,0.05021178138012829,False
region_19,-2.0418984329051506,0.04223271561206099,0.22090958935539595,-0.2604634127670626,False
region_20,0.18741791472998695,0.8514880955876628,0.9650198416660178,0.023906923526458422,False
region_21,-0.7977097194007292,0.42581142968245755,0.791132197356772,-0.10175540201426912,False
region_22,-0.9966267437705076,0.3199290153763188,0.7251724348529893,-0.1271291454825507,False
