Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,1.5294976492015937,0.1274580544559628,0.3294437223680746,0.1974572974473722,False
region_1,1.395751428896893,0.16407925576389829,0.3326160084371051,0.18019073465209573,False
region_2,1.3018385719278973,0.19421969604578454,0.35694430624630674,0.16806663695090643,False
region_3,0.07538131924967455,0.9399741178804489,0.9684581820586443,0.009731686468971134,False
region_4,-1.465872884501107,0.14399184294101405,0.3326160084371051,-0.18924337564432722,False
region_5,0.261185945753929,0.7941731043460746,0.9000628515922179,0.03371896060561335,False
region_6,1.4429661855914149,0.15033387332969983,0.3326160084371051,0.1862861335311997,False
region_7,0.5449936670315497,0.5862639502223892,0.7666528579831244,0.07035837987339008,False
region_8,2.475510519393843,0.013995950578847451,0.19034492787232532,0.31958703383245424,False
region_9,1.3899166343946128,0.16584202856282967,0.3326160084371051,0.17943746592089996,False
region_10,2.0809356334959834,0.03850049066180507,0.24717542474192597,0.2686476351019842,False
region_11,1.694287810176141,0.09150780603957982,0.3111265405345714,0.2187316157498142,False
region_12,-1.829633302816927,0.0685453201389504,0.27612924520565346,-0.23620464371588099,False
region_13,1.271134648675747,0.20491135207920497,0.35728133183040867,0.1641027775036128,False
region_14,2.225726478441079,0.0269620847480488,0.24717542474192597,0.2873400528071727,False
region_15,1.6298247772879446,0.10445026074074723,0.32273863965848043,0.2104094739890807,False
region_16,-0.21883856879511174,0.826961784684809,0.9218590386650329,-0.02825193774837779,False
region_17,1.388382103306122,0.16630800421855255,0.3326160084371051,0.17923935880923456,False
region_18,1.0535827015198584,0.2931335551063001,0.4721985829591579,0.13601694189462102,False
region_19,1.797417252824632,0.07352643068507714,0.27612924520565346,0.2320455695458562,False
region_20,1.7947233330446841,0.07395611631258653,0.27612924520565346,0.23169778599773097,False
region_21,1.1828840760964732,0.23802555587437307,0.40464344498643423,0.1527096775738529,False
region_22,0.010015689067158834,0.9920170903291436,0.9970871044697691,0.0012930198985965952,False
region_23,2.001866115391668,0.046424683995631336,0.24717542474192597,0.25843980420829543,False
region_24,2.4830816664104307,0.013709410397728015,0.19034492787232532,0.3205644647093519,False
region_25,1.8113884612087898,0.07133083142311909,0.27612924520565346,0.23384924479246408,False
region_26,-0.1518643604764825,0.8794214999687531,0.9385744403267484,-0.019605604633595217,False
region_27,2.7473712859147064,0.006463344982462702,0.19034492787232532,0.35468410787320376,False
region_28,1.3176459557908131,0.1888786103551723,0.3567707084486588,0.17010736143251246,False
region_29,1.5866535072962424,0.11390775517358134,0.32273863965848043,0.20483608699866446,False
region_30,1.1038717275999859,0.2707543234707206,0.4490559511221708,0.14250922724479853,False
region_31,1.9942688513075155,0.04725412531830937,0.24717542474192597,0.25745900163247337,False
region_32,0.4239016373639944,0.672017231487519,0.8017047673886192,0.05472546606469352,False
