Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,0.39654066360601914,0.6920513824180633,0.9300116840363029,0.05058250345821054,False
region_1,0.6877078804848537,0.49228729511364855,0.743900801505069,0.08772362946722957,False
region_2,1.311379108029645,0.19095735308355635,0.48092962998821603,0.16727877959280166,False
region_3,-0.3053299937937659,0.7603740792245179,0.9300116840363029,-0.03894772184653734,False
region_4,-2.260963265730986,0.024639335456088825,0.23935354443057716,-0.2884071993215594,False
region_5,0.724581966100659,0.4693999181876457,0.7423068473665095,0.09242726703674997,False
region_6,-0.3337380951232986,0.7388626659057472,0.9300116840363029,-0.04257144323408704,False
region_7,-0.3791643748611363,0.7048942099680715,0.9300116840363029,-0.04836599386361783,False
region_8,1.2481175223969638,0.21317950877360958,0.5035374695362383,0.15920916739984822,False
region_9,1.1182374574070637,0.2645608439887279,0.5538058912565013,0.14264173954324008,False
region_10,1.9621260826509594,0.05087981698601647,0.27463650365703257,0.2502876967486639,False
region_11,1.9751289104608505,0.049376089680934696,0.27463650365703257,0.25194633013238615,False
region_12,1.6953677724291134,0.09127609876985542,0.36443723826887364,0.21626015710973,False
region_13,0.24087942054021738,0.8098500270330954,0.9365495185227025,0.030726443063082497,False
region_14,0.1752203603248137,0.86105120948866,0.9472076511415666,0.022351010364184635,False
region_15,1.7237488660714881,0.08601469088089955,0.36443723826887364,0.21988043341193433,False
region_16,1.9663008297332005,0.05039287203441637,0.27463650365703257,0.25082022513252317,False
region_17,1.5465374279562396,0.1232655364732955,0.36443723826887364,0.1972754422874807,False
region_18,0.7055831097793913,0.48111775493623543,0.743545621265091,0.0900037836370062,False
region_19,1.6272790033709064,0.104963212285493,0.36443723826887364,0.20757479212084734,False
region_20,2.1328771738499483,0.03392914703587235,0.27463650365703257,0.27206860966317736,False
region_21,1.2438489994944526,0.21474392083163107,0.5035374695362383,0.15866467702523115,False
region_22,0.2373360539781922,0.8125944351888155,0.9365495185227025,0.030274453222374955,False
region_23,0.9647036850665951,0.33564449015546416,0.6181826692227593,0.12305705811425087,False
region_24,-1.561064630076856,0.11979926081570172,0.36443723826887364,-0.19912852399875328,False
region_25,-1.9487222876908075,0.052470124469495866,0.27463650365703257,-0.24857791622134157,False
region_26,0.7364848505226124,0.46214028724961,0.7423068473665095,0.09394559226211534,False
region_27,1.5952662416066656,0.11194182499136425,0.36443723826887364,0.2034912622807515,False
region_28,-1.516596980537069,0.13065765503472482,0.3701966892650536,-0.19345625569675753,False
region_29,0.10021946276573848,0.9202520545782273,0.9481384804745373,0.012783938161168249,False
region_30,1.7895063115443197,0.07476837714605532,0.3631606889951258,0.22826841607879472,False
region_31,1.0127276992549554,0.3121893383761448,0.6181826692227593,0.12918297428554518,False
region_32,-1.2177169990467744,0.2245030221191015,0.5088735168032967,-0.15533129378278032,False
region_33,2.844193668257025,0.004828506168549571,0.1641692097306854,0.3628037406104944,False
region_34,3.1402430304539752,0.001895374569936487,0.1288854707556811,0.40056763032347104,False
region_35,1.6270733213035666,0.1050069144011454,0.36443723826887364,0.20754855543231227,False
region_36,-0.13949657942392457,0.8891723617794938,0.9472076511415666,-0.017794105015494055,False
region_37,1.3824973281102468,0.16807796153978258,0.4571720553882086,0.17635057964593046,False
region_38,2.3090961999768367,0.02177092890352511,0.23935354443057716,0.2945470092739721,False
region_39,-0.526397390092681,0.5990883385557826,0.848708479620692,-0.06714695426850513,False
region_40,2.365805271109143,0.018770208561772153,0.23935354443057716,0.3017807864119247,False
region_41,-0.13656150491555033,0.891489554015592,0.9472076511415666,-0.01741970856616181,False
region_42,0.4855207610577794,0.627740885444939,0.8711506165358337,0.06193275451729828,False
region_43,-1.1084400589436543,0.2687587413450668,0.5538058912565013,-0.14139198891955815,False
region_44,0.8437064455049068,0.39965647354225076,0.7004774900261262,0.10762271846064131,False
region_45,1.9484401985929225,0.05250403746384446,0.27463650365703257,0.2485419330950727,False
region_46,0.6456471752054449,0.5191121025724303,0.7673831081505491,0.08235838961792052,False
region_47,0.10601999868225441,0.9156532392301296,0.9481384804745373,0.013523851252018756,False
region_48,0.9714563924331651,0.3322791563368498,0.6181826692227593,0.12391842965838379,False
region_49,2.267879826799,0.024207876837462075,0.23935354443057716,0.2892894719514589,False
region_50,0.9632654568677539,0.33636409943003076,0.6181826692227593,0.1228735985361586,False
region_51,1.5695631579876161,0.11780735539525539,0.36443723826887364,0.20021259142711373,False
region_52,-0.8399694492309141,0.4017444428091018,0.7004774900261262,-0.10714602932305424,False
region_53,-1.345054352285737,0.179851403417816,0.470380593554288,-0.17157437476215923,False
region_54,0.7532134455288417,0.45204483392506767,0.7423068473665095,0.09607948240861065,False
region_55,-0.8139836709405602,0.41644472097780716,0.7079560256622721,-0.10383129809654362,False
region_56,-0.15216655229461992,0.8791808075094316,0.9472076511415666,-0.019410279610854404,False
region_57,-0.15163625277173623,0.879598625810889,0.9472076511415666,-0.01934263490272731,False
region_58,0.07115731271065638,0.943330605008176,0.9574101662769547,0.009076786686976007,False
region_59,0.33115145033256044,0.7408131484084738,0.9300116840363029,0.04224149228307267,False
region_60,-1.1406256433618578,0.25513949870359487,0.5538058912565013,-0.1454975639199465,False
region_61,0.5801803054286988,0.5623262337564837,0.8135783807540615,0.07400747262301033,False
region_62,0.32862401064888314,0.7427206072206034,0.9300116840363029,0.0419190935021319,False
region_63,0.24213951915134183,0.8088746203665538,0.9365495185227025,0.03088718053140483,False
region_64,-1.6501896464694634,0.10018552694778725,0.36443723826887364,-0.2104972608362222,False
region_65,-2.64834499429736,0.008614035973463174,0.19525148206516527,-0.3378213941904226,False
region_66,0.2980836202997546,0.76589197508872,0.9300116840363029,0.03802337852954404,False
region_67,0.0439742600674562,0.9649607401015632,0.9649607401015632,0.005609331819105246,False
