Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,-0.19943004497136452,0.8420931366128426,0.9268028611307645,-0.025559210928416804,False
region_1,-1.9474022285968702,0.05263839808901875,0.19885617055851526,-0.24958157297875178,False
region_2,-1.3012765501776975,0.19439623936954303,0.47557016282424236,-0.16677327544588358,False
region_3,0.2533313505932308,0.8002263647428925,0.9222947932629948,0.032467271546385144,False
region_4,-2.432011215688927,0.015738515319895594,0.09729264015935457,-0.31168968372340305,False
region_5,-2.657075554783291,0.008404615487704324,0.06992045414958488,-0.34053421873919554,False
region_6,0.6406052520795158,0.5223828126987407,0.7249394135411095,0.08210079259673714,False
region_7,0.6600012811478932,0.5098780896547628,0.7223272936775805,0.08458661261549882,False
region_8,0.9084059995700208,0.3645637877876725,0.6197584392390433,0.11642248064970989,False
region_9,-1.7530037796541251,0.08086236526111214,0.261840039893125,-0.22466721786541802,False
region_10,-0.8464806193617134,0.39811750914519506,0.6295811772528667,-0.1084860443178934,False
region_11,0.881715151309822,0.3788021704485751,0.6282572583049539,0.11300174722592343,False
region_12,1.4110859410012033,0.15949826435434689,0.4393439066643027,0.1808465881324546,False
region_13,-0.07210509143229885,0.9425775857016395,0.9788714970087952,-0.009241081208177675,False
region_14,-0.3513603480948635,0.7256224834182542,0.8617973567194824,-0.04503079388127323,False
region_15,0.038429436825198386,0.9693768435770064,0.9838451546751706,0.00492516602408904,False
region_16,-1.493942782801723,0.13648791856509015,0.4035294983663535,-0.19146562748906726,False
region_17,-0.09001051046618994,0.9283530083490535,0.9788714970087952,-0.011535862728758606,False
region_18,-2.3520236308424787,0.019470426977842997,0.11033241954111031,-0.3014383720264189,False
region_19,-1.967983559777711,0.050207008493489774,0.19885617055851526,-0.25221930283993815,False
region_20,0.4215386357298686,0.6737344522951716,0.8484063473346606,0.05402493343790699,False
region_21,0.5957065018374873,0.5519257352056874,0.7506189998797349,0.07634651104892379,False
region_22,1.0888795739819486,0.27728570284773474,0.5713765998074534,0.13955220594291792,False
region_23,1.1040442865604259,0.27066598233134215,0.5713765998074534,0.1414957350010284,False
region_24,-2.736967660249189,0.0066589916611787155,0.06992045414958488,-0.3507732936760306,False
region_25,-1.8086737833376156,0.07173770659710668,0.25674547624227656,-0.23180195710060392,False
region_26,-0.6626163855403441,0.5082042561629272,0.7223272936775805,-0.08492176775612008,False
region_27,0.9488896028367091,0.34361948569920564,0.6025916229426015,0.12161091128554617,False
region_28,-2.217368919014579,0.027523705053766577,0.12796597083492986,-0.28418085106156815,False
region_29,-3.336468831159061,0.000981427662244164,0.022133996630073944,-0.42760613439127193,True
region_30,-0.3387874077823954,0.7350624513195585,0.8617973567194824,-0.04341942968846614,False
region_31,0.9873387703550663,0.324458664984556,0.6025916229426015,0.12653860602063405,False
region_32,-0.22469097274045371,0.8224085103112457,0.9268028611307645,-0.028796683903917354,False
region_33,0.9653387848959578,0.3353348658161155,0.6025916229426015,0.1237190596034821,False
region_34,-0.35430105375708154,0.7234205315000831,0.8617973567194824,-0.0454076784991843,False
region_35,0.17827493863027785,0.858655591929973,0.9268028611307645,0.022847945305112347,False
region_36,-1.7198709653094286,0.08672910355697402,0.26807177463064696,-0.22042087378717362,False
region_37,-3.1867260208150343,0.0016274997522113194,0.022133996630073944,-0.4084149033250279,True
region_38,1.3917640904101565,0.1652664507491939,0.4393439066643027,0.1783702749227031,False
region_39,-3.228864052917751,0.001414185188340925,0.022133996630073944,-0.41381536768723765,True
region_40,-0.8583259791237016,0.39155831304383937,0.6295811772528667,-0.11000416085205508,False
region_41,-1.2513474102802036,0.2120110813620479,0.4971294321592848,-0.16037429269332126,False
region_42,2.6905751941060627,0.007627839711084488,0.06992045414958488,0.34482757557817895,False
region_43,-0.18847513470935268,0.850661511202213,0.9268028611307645,-0.02415521554683404,False
region_44,0.6876257887910664,0.4923442611901625,0.7223272936775805,0.08812700502601506,False
region_45,-0.5101595197607546,0.610402778153084,0.7864449715857332,-0.06538269985636923,False
region_46,-1.0183363861350754,0.30953091760804075,0.6025916229426015,-0.1305113003060564,False
region_47,-0.3704348570777962,0.7113811940026189,0.8617973567194824,-0.04747540747257419,False
region_48,1.2971115012883072,0.19582300822174684,0.47557016282424236,0.16623947742609982,False
region_49,-0.5338288561533383,0.5939479277874858,0.7864449715857332,-0.06841619243508558,False
region_50,2.086100691623431,0.03801268143365982,0.16155389609305426,0.2673573462954158,False
region_51,0.5065006718681831,0.6129644631477038,0.7864449715857332,0.06491377720705302,False
region_52,-2.6234883987865576,0.009254177755092116,0.06992045414958488,-0.33622964565077534,False
region_53,-2.2073064278037324,0.028227787684175703,0.12796597083492986,-0.2828912292527766,False
region_54,-0.9987993427702222,0.31888544939017444,0.6025916229426015,-0.12800740771378624,False
region_55,-2.304747797744154,0.022024403978066338,0.11520457465450085,-0.29537944048403175,False
region_56,0.712893134022754,0.4765958940666315,0.7201893510340209,0.09136530047177177,False
region_57,-1.7564427195768364,0.08027246768803846,0.261840039893125,-0.22510795682662801,False
region_58,1.115304518696409,0.2658217095879887,0.5713765998074534,0.14293886082646684,False
region_59,1.1458257525305329,0.2529943972585648,0.5713765998074534,0.14685050138932143,False
region_60,-0.011301673293812233,0.9909920343137228,0.9909920343137228,-0.0014484369774979424,False
region_61,-3.434332779409785,0.0006983033210298266,0.022133996630073944,-0.44014850380199483,True
region_62,-0.8179074099814976,0.4142113273293816,0.6401447785999533,-0.10482406507321332,False
region_63,-2.5707279304413704,0.010745052901033107,0.07306635972702513,-0.32946779620471844,False
region_64,-0.9449873006356527,0.34560401904060967,0.6025916229426015,-0.12111078721909697,False
region_65,-3.632203836345041,0.00034276199218737194,0.022133996630073944,-0.46550791281964377,True
region_66,-0.0626695549276837,0.9500811588614777,0.9788714970087952,-0.008031810720479279,False
region_67,1.3828363600296285,0.16798443490105688,0.4393439066643027,0.17722608552064634,False
