Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,-0.7604943378838237,0.44770562655534185,0.8628164419203185,-0.09817939685030284,False
region_1,-1.781118144954725,0.07615783824088782,0.4821506874515581,-0.2299413637679166,False
region_2,-1.3303833710686257,0.18465472580880304,0.5979295883332669,-0.17175175467400233,False
region_3,-0.7686910885402947,0.442832471300576,0.8628164419203185,-0.0992375928098204,False
region_4,-2.9504336618170535,0.003487334170302715,0.23713872358058463,-0.3808993478769071,False
region_5,-1.351444051092098,0.17782568761270556,0.5979295883332669,-0.17447067677369268,False
region_6,0.6978128477541056,0.485969736051333,0.8628164419203185,0.09008725127070742,False
region_7,0.3670384665179692,0.7139137411588773,0.9545759831908663,0.047384462274720096,False
region_8,1.0844723215893348,0.27924362351107507,0.7303294768751195,0.14000477469794625,False
region_9,-1.9065683771558148,0.0577708367210161,0.4821506874515581,-0.24613691910433907,False
region_10,-0.18053642868916175,0.8568838118633927,0.9778083388820427,-0.023307152723229543,False
region_11,0.5642379636790271,0.5731191039386923,0.9063278852983971,0.07284280788756191,False
region_12,-0.7090131569006776,0.479004470483009,0.8628164419203185,-0.09153320496394234,False
region_13,-0.36820038014761997,0.7130483721054581,0.9545759831908663,-0.047534464679299074,False
region_14,0.7263384069041722,0.46833911439785025,0.8628164419203185,0.0937698851216895,False
region_15,-1.4546576485124507,0.14707065737613734,0.5556002611987411,-0.1877954949040654,False
region_16,-0.7629758354061884,0.44622709161608665,0.8628164419203185,-0.09849975680289529,False
region_17,-0.021272072432785484,0.9830462963570001,0.9852824629800829,-0.0027462127423832023,False
region_18,-1.6605602529847785,0.09810765809976058,0.4821506874515581,-0.2143774068394674,False
region_19,-0.1653442983366009,0.8688121820987206,0.9778083388820427,-0.021345857128266865,False
region_20,0.6955075685298387,0.48741015771932494,0.8628164419203185,0.08978964100257596,False
region_21,-0.018465975213926466,0.9852824629800829,0.9852824629800829,-0.0023839471491672046,False
region_22,1.7603393999584556,0.07962403521815585,0.4821506874515581,0.2272588393237285,False
region_23,-0.6023954002689912,0.5474796921964113,0.8863956921275231,-0.07776891176912512,False
region_24,0.1203971737112904,0.9042692599528993,0.9778083388820427,0.015543208290475636,False
region_25,-1.8559799965768875,0.06468215997332477,0.4821506874515581,-0.23960598725454613,False
region_26,-0.4916082515486573,0.6234456111919306,0.9216152513272018,-0.0634663523702032,False
region_27,0.24387793514589026,0.8075337019898559,0.9778083388820427,0.031484506044249516,False
region_28,0.19380011537252567,0.8464963220360201,0.9778083388820427,0.025019487311028932,False
region_29,-1.6730892149126941,0.09561264666934113,0.4821506874515581,-0.2159948888692035,False
region_30,-0.4561357913316802,0.6487048126565483,0.9385516438435167,-0.05888687744789129,False
region_31,-0.18576752198932944,0.852783983348357,0.9778083388820427,-0.023982483964363106,False
region_32,-1.1577595345737663,0.24811305418873764,0.7029869868680899,-0.14946611321056824,False
region_33,1.2324259673909572,0.2189959590042909,0.6474663135779035,0.15910550823795805,False
region_34,0.07717581080541178,0.9385479838904816,0.9778083388820427,0.009963354332647141,False
region_35,0.21957308268072273,0.8263902914910887,0.9778083388820427,0.02834676308326211,False
region_36,-0.6836580893535023,0.49485060639547673,0.8628164419203185,-0.08825987981886986,False
region_37,-1.8419501260217364,0.0667162066786812,0.4821506874515581,-0.2377947387542279,False
region_38,0.23292817200574922,0.8160157085457825,0.9778083388820427,0.03007089770136011,False
region_39,-2.5474495624505797,0.01147639853139427,0.26013170004493674,-0.32887432435581554,False
region_40,0.10404348365081148,0.917221732876989,0.9778083388820427,0.013431955982033218,False
region_41,-0.9399084083964263,0.3482095530414768,0.8164913657524284,-0.12134165375598929,False
region_42,1.102710164901271,0.27125756577892446,0.7303294768751195,0.14235927014520852,False
region_43,0.9743901216464529,0.3308439386125376,0.8034781366304484,0.1257932237948577,False
region_44,-0.6112391187363299,0.5416197876569855,0.8863956921275231,-0.07891063091387676,False
region_45,0.31365835445318896,0.754052973582661,0.9674641925211499,0.04049311943986746,False
region_46,-0.36433053602340926,0.7159319873931498,0.9545759831908663,-0.04703486995111618,False
region_47,-1.6544996607068025,0.09933320402602236,0.4821506874515581,-0.2135949877407756,False
region_48,0.6590392136208103,0.5105023980312724,0.867854076653163,0.08508159662836769,False
region_49,-0.4345775113017359,0.6642595937886446,0.9410344245339132,-0.05610371546359627,False
region_50,0.063967601461205,0.9490492700913944,0.9778083388820427,0.008258181838536008,False
region_51,1.0431532974752573,0.2979269016816778,0.7503344190501515,0.13467051162210078,False
region_52,-2.6641139528395037,0.00824228934265706,0.26013170004493674,-0.3439356323915403,False
region_53,-1.6208784607286637,0.10635676929078487,0.4821506874515581,-0.20925450948761423,False
region_54,-1.54103965533066,0.12462457436138877,0.5086855697487911,-0.19894736403136212,False
region_55,-1.8782215056510696,0.06156328414658084,0.4821506874515581,-0.24247735372917376,False
region_56,0.5213434028023471,0.602608304049228,0.9203879917550333,0.06730514389028652,False
region_57,-1.354276392408051,0.17692190938648414,0.5979295883332669,-0.17483633046527472,False
region_58,-0.512059422844994,0.6090802886614191,0.9203879917550333,-0.06610658723157478,False
region_59,-0.8624580814647952,0.3892964551913596,0.8628164419203185,-0.11134285954383838,False
region_60,-0.11401400756157455,0.9093220094085248,0.9778083388820427,-0.014719145084011488,False
region_61,-1.5306561543568513,0.12717139243719777,0.5086855697487911,-0.19760685981979914,False
region_62,-1.763980203280888,0.0790075374123096,0.4821506874515581,-0.22772886501154843,False
region_63,-2.0915304365850873,0.03753210741160028,0.4821506874515581,-0.2700154182993323,False
region_64,0.08264425631150989,0.9342032953933603,0.9778083388820427,0.010669327611805833,False
region_65,-1.2772755113921817,0.20273924781993366,0.626648584170704,-0.16489555947134937,False
region_66,-0.3229535722533423,0.7470115940692632,0.9674641925211499,-0.041693126897846274,False
region_67,0.8052651010102992,0.4214637760190658,0.8628164419203185,0.10395927751649743,False
