Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,-2.4553147906698842,0.01477184565606247,0.060250743813342784,-0.3131985702567168,False
region_1,-3.476117572870633,0.0006016336913773392,0.010298172128027675,-0.4434115975696528,True
region_2,0.16605126465111866,0.8682535543555655,0.9371625666060072,0.02118140569008709,False
region_3,1.020066380528866,0.30870318788934537,0.5292632220272292,0.13011909233089422,False
region_4,-3.4529398580264496,0.0006531215832442452,0.010298172128027675,-0.4404550613329955,True
region_5,-1.8303925525436011,0.06840605819610168,0.16612899847624696,-0.23348384192675803,False
region_6,2.405346143983587,0.016899350756209918,0.06048188691696181,0.30682459786047617,False
region_7,2.8662077350813773,0.004515364131253965,0.025587063410439134,0.36561184256187057,True
region_8,0.9803286234570642,0.3278909762115094,0.5292632220272292,0.1250501664451419,False
region_9,0.4278232314894987,0.6691556342321108,0.8125461272818488,0.054572890178599814,False
region_10,-1.8911418962839666,0.059785124135968926,0.15636109389407257,-0.24123299396046743,False
region_11,0.057122504260506204,0.9544941689436415,0.9687403505696659,0.00728651443466955,False
region_12,2.195187293378187,0.029088703467983788,0.09419199218204273,0.28001685337633686,False
region_13,2.347203562664992,0.01971172947971133,0.06701988023101853,0.29940796297145217,False
region_14,-0.38586262110729674,0.6999332591768603,0.8350080986671317,-0.049220418377939466,False
region_15,0.9666321598530718,0.3346811551054537,0.5292632220272292,0.12330305327063398,False
region_16,-1.3017734928986247,0.19421646974306286,0.37733485550080786,-0.1660534927428613,False
region_17,2.5780151963487086,0.010522220184093689,0.05110792660845506,0.3288501648198898,False
region_18,-1.8061734979115325,0.07211838688505867,0.1669912940375203,-0.23039447297392263,False
region_19,0.06937840526709518,0.9447450095905494,0.9687403505696659,0.008849870256520915,False
region_20,0.5554626183368497,0.5790851077238113,0.7381167628607656,0.07085449839476161,False
region_21,0.5329002221864104,0.5945856760115732,0.7381167628607656,0.06797645186372787,False
region_22,1.532323954990807,0.12673273722038125,0.26114624639351286,0.19546237969034566,False
region_23,2.687036473894323,0.007702597378661238,0.04029050936530494,0.3427568575114331,True
region_24,-3.8790425429829942,0.00013480610756991227,0.009166815314754035,-0.4948084795659902,True
region_25,-2.8852893852330883,0.004259033711869647,0.025587063410439134,-0.3680458870959421,True
region_26,-0.3435492269498101,0.7314799469610818,0.8430616337856536,-0.043822945677822654,False
region_27,2.019570851149734,0.04451676116888355,0.1316147721514818,0.2576153190278567,False
