Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,-1.4198128064848599,0.15694380044796882,0.33350557595193375,-0.18196503443111903,False
region_1,-2.2667479377263113,0.02428524851469995,0.0798203918443403,-0.2905093295757891,False
region_2,-0.828008619076599,0.40847807424610105,0.5928835482806676,-0.10611864901582241,False
region_3,0.31938622109211046,0.7497080560562086,0.8568210445891239,0.04093294866225071,False
region_4,-3.136192673643883,0.001922488386751452,0.01634115128738734,-0.40193848459157266,True
region_5,-3.192564427246719,0.0015962632907008103,0.01634115128738734,-0.4091631609985128,True
region_6,-1.3618513996354076,0.17450596110580902,0.35958804106651554,-0.17453662602061276,False
region_7,-0.5336693165921563,0.59405815296163,0.7213563285962651,-0.06839574563983834,False
region_8,0.050428709257250716,0.9598221852332391,0.9598221852332391,0.006463008203899003,False
region_9,-1.6298308244791253,0.10443279460653379,0.25362250118729635,-0.20888121359286077,False
region_10,0.3762686660297602,0.7070454803329245,0.8289498734937736,0.04822307592714804,False
region_11,1.4371434086911783,0.15196359703294723,0.33333950316904554,0.18418614668815825,False
region_12,0.536047939768949,0.5924157498694403,0.7213563285962651,0.06870059304386712,False
region_13,-0.10910975371762249,0.9132054849631137,0.9408783784468444,-0.0139836462957061,False
region_14,-1.213587034116408,0.2260837130687231,0.44190700175480746,-0.15553487434366695,False
region_15,-0.6130368532851161,0.5404253001587199,0.6933758568074142,-0.078567591168407,False
region_16,-3.141421578696144,0.0018898182885050878,0.01634115128738734,-0.4026086277847641,True
region_17,0.27701752927339834,0.7820021456859905,0.859639226494938,0.03550292265432878,False
region_18,-2.4457451160549013,0.015165735636156585,0.06066294254462634,-0.3134498380490675,False
region_19,-3.142679743053255,0.0018820342588414187,0.01634115128738734,-0.4027698757461263,True
region_20,-1.1623034317434153,0.24625248780512363,0.45257213974995697,-0.1489623019390998,False
region_21,-1.0522615822840835,0.2937247917779639,0.48715331319272065,-0.13485919705493857,False
region_22,0.6519403028406713,0.5150558368600773,0.6867411158134363,0.08355350727335614,False
region_23,0.8290453811692375,0.4078923304342792,0.5928835482806676,0.10625152177835999,False
region_24,-2.8450938003317585,0.004818476084340192,0.029786943066830277,-0.3646308787838449,True
region_25,-2.2609025470422313,0.02465041512839921,0.0798203918443403,-0.28976017679153915,False
region_26,-1.0140002431000292,0.3115911932811303,0.5044809795980204,-0.12995557464062601,False
region_27,0.07027975098034005,0.9440288014336933,0.9581187835446439,0.009007143229401781,False
region_28,-2.019394284820563,0.044544214727107394,0.13169593919318706,-0.2588081674492891,False
region_29,-2.8737407338924936,0.004415528608565094,0.029786943066830277,-0.36830230661427193,True
region_30,-1.6567908463419538,0.09885232717738696,0.2489614165949005,-0.2123364446515797,False
region_31,0.16598459689633785,0.8683070891655378,0.918108932211275,0.021272799309406426,False
region_32,-1.0560378122721892,0.29199970811145487,0.48715331319272065,-0.13534316354451167,False
region_33,-0.6337488641978162,0.5268407975986318,0.6889456583982109,-0.08122206911201565,False
region_34,-2.1040954948867743,0.036397858824506926,0.11250247273029412,-0.26966358341374563,False
region_35,-1.2100065236182054,0.22745213325615088,0.44190700175480746,-0.1550759915155148,False
region_36,-2.2763891644612744,0.023693257022663346,0.0798203918443403,-0.29174496158782115,False
region_37,-3.277613694640523,0.0011998767717463436,0.01634115128738734,-0.4200631844374971,True
region_38,2.612789268874289,0.009540563423132437,0.0538335724138987,0.3348584314076182,False
region_39,-3.3408557465748494,0.0009667274927118294,0.01634115128738734,-0.42816836711028555,True
region_40,-0.8256947648513343,0.4097871583704614,0.5928835482806676,-0.10582210248388117,False
region_41,0.15416940697002982,0.8776041263784247,0.918108932211275,0.019758549380168463,False
region_42,1.8883350644996186,0.060172178775483975,0.1636683262693164,0.2420114492979301,False
region_43,-0.8362995895161247,0.4038079982039142,0.5928835482806676,-0.10718123044529329,False
region_44,0.1989171511668427,0.8424938849278217,0.9093584789697123,0.025493477799110563,False
region_45,-1.1767766905650692,0.24043606774213577,0.45257213974995697,-0.15081721339488036,False
region_46,-2.560513409205879,0.011057360158358249,0.0538335724138987,-0.3281586900325357,False
region_47,-0.563607797190948,0.5735408114691845,0.7213563285962651,-0.07223269979893057,False
region_48,1.1065798252851018,0.2695698898107728,0.4700192950546808,0.14182069290338692,False
region_49,-1.504828583468545,0.13366680996190702,0.3029781025803226,-0.19286076569609092,False
region_50,0.9739169643660939,0.3310662545071451,0.5235466350345551,0.12481845011151965,False
region_51,-0.3110640980252405,0.7560185687551093,0.8568210445891239,-0.03986637467201311,False
region_52,-2.5596739900988243,0.011083382555802674,0.0538335724138987,-0.32805110900071255,False
region_53,-1.996810831199786,0.04696124587572633,0.13305686331455793,-0.2559138430024966,False
region_54,-1.5068599858736487,0.13314542357701592,0.3029781025803226,-0.19312111283967204,False
region_55,-2.3794681105446664,0.01811045768095458,0.06841728457249509,-0.30495569182459475,False
region_56,0.7566057068653155,0.4500190370375585,0.6245162146643669,0.09696755999925287,False
region_57,-2.479694279448151,0.013828393694461844,0.058770673201462835,-0.3178008064707813,False
region_58,0.27468882759751206,0.7837887065100905,0.859639226494938,0.03520447325402963,False
region_59,0.3963747194247418,0.6921764564526887,0.8257543691014532,0.050799893576334916,False
region_60,-0.798392254565714,0.4254224763684098,0.6026818415219138,-0.1023229776686326,False
region_61,-3.9765153846454404,9.229377365029654e-05,0.006275976608220165,-0.5096353234581125,True
region_62,-2.532132080996809,0.011968133022270518,0.054255536367626346,-0.32452130252541056,False
region_63,-2.9912430030638504,0.0030643805165713757,0.02315309723631706,-0.3833615484790048,True
region_64,-1.677589843857586,0.09471290510148342,0.2477106748808028,-0.21500207091004037,False
region_65,-3.777649018467732,0.00019916507843765083,0.006771612666880128,-0.4841483543284929,True
region_66,-1.1259906499102441,0.2612802794306015,0.4675541842442343,-0.1443084091397231,False
region_67,0.7364707577173291,0.4621546394355055,0.6285303096322874,0.09438703903321577,False
