Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,-1.4977523876674643,0.1354954276310117,0.1960359378491233,-0.1919538713458612,False
region_1,-2.9338768580267796,0.003667832756368355,0.017719490865127703,-0.37600942958757505,True
region_2,-2.3872207165738892,0.01774177215930946,0.04825762027332173,-0.30594927577918035,True
region_3,-0.4752551004391725,0.6350320576685495,0.7079045888764158,-0.06090930460691061,False
region_4,-2.891193775078816,0.0041853486835373346,0.01778773190503367,-0.3705391108083823,True
region_5,-3.8854854948195703,0.00013174646285190526,0.004479379736964779,-0.49796881576021756,True
region_6,-0.8350610633016305,0.4045035756356232,0.5001135116949523,-0.10702249933353336,False
region_7,-2.2784339395552586,0.023569335264021548,0.06164287684436405,-0.29200702259239963,False
region_8,0.5445988477703296,0.5865288604686429,0.6647327085311286,0.06979648840541185,False
region_9,-2.803500126018385,0.00546328034529916,0.018575153174017145,-0.3593001800156828,True
region_10,-1.833705746223018,0.06792070817931922,0.1248272474646948,-0.23501008564227963,False
region_11,-0.26389762338657186,0.792082467160355,0.8160849661652143,-0.03382145865039434,False
region_12,0.6063180435818009,0.544869563551347,0.638812591749855,0.0777064998798823,False
region_13,-2.0084000691242547,0.045707367483441674,0.09423453281649317,-0.2573991346327203,False
region_14,-3.3609659559474134,0.0009019287970816833,0.00728957240140598,-0.4307457173949018,True
region_15,-3.3870112305571176,0.0008240188972086908,0.00728957240140598,-0.4340837132697639,True
region_16,-1.3589732150677312,0.17541505350545944,0.24343313547696413,-0.17416775418654823,False
region_17,-2.8507436426085504,0.004736449501804643,0.017893253673484207,-0.3653549698328419,True
region_18,-2.216796165601985,0.027563368182445723,0.06693960844308247,-0.2841074462479426,False
region_19,-2.127932285613076,0.034349621028530515,0.07785914099800251,-0.2727185371551318,False
region_20,-1.5262656283998608,0.12824422064617336,0.1937912667542175,-0.19560816493154778,False
region_21,-1.8593285284566072,0.06418925827855716,0.12124637674838575,-0.23829393435111,False
region_22,-1.8608774112342659,0.0639692622963568,0.12124637674838575,-0.2384924411589646,False
region_23,-1.6225567110551578,0.10598082502344733,0.16759758375800973,-0.20794895386566115,False
region_24,-3.3459097568452214,0.0009500463876835808,0.00728957240140598,-0.428816095563405,True
region_25,-1.6357508301334938,0.10318631872271372,0.1670635636462984,-0.20963992912761964,False
region_26,-2.4500920665228785,0.014988332227558115,0.04246694131141466,-0.3140069488089952,True
region_27,-0.7818844723747148,0.43504364367567605,0.5251812364609757,-0.10020731908248179,False
region_28,-1.6827480604271556,0.0937082447171767,0.15541855221385406,-0.2156631545764208,False
region_29,-3.522801547685604,0.0005099699701046921,0.00728957240140598,-0.4514867748697447,True
region_30,-1.7514665675758687,0.0811271934534446,0.141452542431647,-0.22447020678940136,False
region_31,-1.570152713221636,0.11768076467110296,0.18187027267352274,-0.20123279013861792,False
region_32,-2.470531458320754,0.014178606142241118,0.041919357290104174,-0.31662648753639944,True
region_33,-1.9994758667201942,0.04667035769010357,0.09423453281649317,-0.25625539738066266,False
region_34,-0.3077605849235669,0.7585281361596641,0.8052788347888349,-0.039442992186276865,False
region_35,-1.7120778634320597,0.08815809093826991,0.14986875459505886,-0.21942209983263278,False
region_36,-1.9953871680086919,0.04711726640824659,0.09423453281649317,-0.25573138449782434,False
region_37,-2.968576188243555,0.0032910107802754923,0.017719490865127703,-0.3804565403537221,True
region_38,-0.29302668924466413,0.7697518273716805,0.8052788347888349,-0.037554677175825786,False
region_39,-3.4302906130271897,0.0007082974812386241,0.00728957240140598,-0.4396304545622459,True
region_40,-0.14442353640463115,0.8852857394103482,0.8984989594015473,-0.01850950608030941,False
region_41,-2.2251037950853156,0.026992897826817356,0.06693960844308247,-0.28517216272188245,False
region_42,-0.0595795528225638,0.9525394720993378,0.9525394720993378,-0.007635792078527151,False
region_43,-3.2552605555802194,0.001294093561850861,0.008799836220585855,-0.41719837740084137,True
region_44,-0.3221159771104458,0.7476417749867745,0.8052788347888349,-0.04128279770262859,False
region_45,-2.8592944055823306,0.004614723022312258,0.017893253673484207,-0.3664508466074629,True
region_46,-2.068359688891855,0.03966435430280113,0.08700568040614441,-0.26508363657949474,False
region_47,-2.70971978581732,0.00721358332445515,0.023358269812521436,-0.34728117106203255,True
region_48,-1.1221699043957125,0.262897794493229,0.3362299621343172,-0.14381873748305907,False
region_49,-2.913368066972951,0.003908711220248758,0.017719490865127703,-0.37338099656231594,True
region_50,-1.1125383424001716,0.2670061464007813,0.3362299621343172,-0.1425843441164552,False
region_51,-2.9448329623607,0.0035447915669765072,0.017719490865127703,-0.3774135780029486,True
region_52,-2.8087729188438675,0.005377413034871605,0.018575153174017145,-0.3599759479223074,True
region_53,-3.3414366635799664,0.0009647963472449091,0.00728957240140598,-0.42824281818042303,True
region_54,-1.2260527125435907,0.22136565082321402,0.2951542010976187,-0.15713249171537202,False
region_55,-1.1847576234335098,0.23727072186145454,0.3102770978188252,-0.15184006001069142,False
region_56,-1.5083239800746044,0.13277065313170183,0.1960359378491233,-0.19330874021841316,False
region_57,-2.673952908072249,0.008004789855215863,0.024742077734303577,-0.3426972420323397,True
region_58,-1.2635529714261275,0.20760139830335214,0.2823379016925589,-0.1619385730998827,False
region_59,-1.3996881735248357,0.16288203443410906,0.2307495487816545,-0.17938583560099247,False
region_60,-2.1968702846818537,0.028974459767746204,0.06794011255885317,-0.2815537197347421,False
region_61,-3.9916113774580415,8.695010332463917e-05,0.004479379736964779,-0.5115700453026898,True
region_62,-0.773081568587172,0.4402254482099355,0.5251812364609757,-0.099079127617045,False
region_63,-3.771658724993772,0.00020373561533470748,0.004618007280920036,-0.48338063061642117,True
region_64,-1.7605537911031757,0.07957189733517737,0.141452542431647,-0.22563483703817588,False
region_65,-3.162328004775069,0.0017642561480767502,0.010906310733565364,-0.40528802222599436,True
region_66,0.5690531361753052,0.5698456651501366,0.656771275088293,0.07293058144308254,False
region_67,-0.45450448562759127,0.6498714989257173,0.712762289144335,-0.05824987913799649,False
