Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,-1.5224435888366747,0.12921445065529594,0.46245171813474334,-0.19654662217015645,False
region_1,-0.413890700718003,0.6793237823082212,0.9577496172240132,-0.05343305970103145,False
region_2,-0.8535174627919973,0.3942234609793117,0.7149916107418316,-0.11018863063635378,False
region_3,-0.6359526047620194,0.5254132852263722,0.8719840189597293,-0.0821011282406843,False
region_4,-2.4933998581228463,0.01332730247719822,0.11439590434906108,-0.321896537531524,False
region_5,-0.5655752013866524,0.57221095339796,0.9048917402572392,-0.07301544453328035,False
region_6,0.0061235737740738,0.9951192124790476,0.9951192124790476,0.0007905499748753442,False
region_7,-0.9361656556103017,0.35012894088271473,0.7102425442160121,-0.12085846644900154,False
region_8,2.274208779541383,0.023836990265482222,0.13911953026941062,0.29359909096541564,False
region_9,-1.7443610735448063,0.08237634054794965,0.31119950873669866,-0.2251960462537175,False
region_10,0.09893297107255264,0.921274072233312,0.982459879985299,0.012772191645160549,False
region_11,0.09465464575405624,0.924668122339105,0.982459879985299,0.012219862221554079,False
region_12,-1.1865321484360674,0.2365854336794542,0.574564624650103,-0.1531806416877532,False
region_13,-0.1404156372752182,0.8884493781506713,0.982459879985299,-0.018127580823800716,False
region_14,-0.8439206325407266,0.399554135414553,0.7149916107418316,-0.10894968517836874,False
region_15,-0.12998319952431198,0.8966885950945596,0.982459879985299,-0.016780758901480536,False
region_16,0.3095318287067301,0.7571855756923493,0.9625040952726214,0.039960387256743085,False
region_17,-0.10156800144855943,0.9191843827260966,0.982459879985299,-0.013112372603928049,False
region_18,0.35753688537893286,0.7210041309810593,0.9577496172240132,0.04615781342424923,False
region_19,0.8854684361218516,0.3767903363017623,0.7149916107418316,0.11431348355640855,False
region_20,0.21647308827331388,0.8288028871610655,0.9716999366715942,0.027946555526154424,False
region_21,0.3839821363764462,0.7013316555365424,0.9577496172240132,0.049571880647570704,False
region_22,0.2566097988201688,0.7976998464673104,0.9625040952726214,0.033128182576804985,False
region_23,1.4183853437394283,0.15737548789958428,0.47115391242847027,0.1831127604935829,False
region_24,0.35502336909614984,0.7228838721102719,0.9577496172240132,0.04583331986746123,False
region_25,-0.9718132039921313,0.3321218924376219,0.7057590214299466,-0.12546054515619987,False
