Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,-2.9518929630993496,0.003464934858224666,0.010709798652694422,-0.3765418019338125,True
region_1,-3.6281504451233615,0.0003473613419406997,0.0018169670193821216,-0.46280482502973963,True
region_2,-0.909567195758806,0.3639447258495898,0.4949648271554421,-0.11602387862712574,False
region_3,-0.3351245487450315,0.7378178928286143,0.850366384955013,-0.042748298476316705,False
region_4,-4.025293930480524,7.589507436432052e-05,0.0006937492738475263,-0.5134642240906221,True
region_5,-4.046639467070463,6.969437821986424e-05,0.0006937492738475263,-0.5161870487022506,True
region_6,-0.5761914785555369,0.56501469140735,0.7114999817722185,-0.07349866011618914,False
region_7,-0.4432351687847829,0.6579867751598463,0.7989839412655276,-0.0565388282098908,False
region_8,-0.3629072981627561,0.7169870276204673,0.840605480658479,-0.04629225032660386,False
region_9,-2.1619634317828265,0.03158955035010121,0.06929320721957685,-0.27577883632466793,False
region_10,-2.7622954538861135,0.006174735948378004,0.01679528177958817,-0.35235685056404564,True
region_11,-1.2465723889370737,0.2137448410547264,0.33033293617548626,-0.15901207104693557,False
region_12,0.22183299273426726,0.8246286879343738,0.9192582095006134,0.028296891471576043,False
region_13,0.401821750523536,0.6881655112928955,0.8209693818932788,0.051256155927642565,False
region_14,-3.419009187941105,0.0007359742033512277,0.002943896813404911,-0.43612688418888157,True
region_15,-3.37486300822013,0.0008585084371383701,0.003243254095856065,-0.43049562239571115,True
region_16,-1.9087879411512247,0.05745795044845406,0.10559839541878044,-0.2434839134939271,False
region_17,-1.026722262614294,0.305563872905862,0.4240478236244616,-0.13096811289676008,False
region_18,-0.8190249265379608,0.41356815438823225,0.5408198941999961,-0.10447435781801166,False
region_19,0.002273594841532377,0.9981877854848217,0.9981877854848217,0.0002900184760084096,False
region_20,-2.116938410705532,0.03527332487824445,0.07268442702183706,-0.27003547002362444,False
region_21,-1.5829937402777616,0.11471287840329876,0.1950118932856079,-0.20192578893114582,False
region_22,-2.8135957340664546,0.0052966157278902465,0.01500707789568903,-0.3589006853779386,True
region_23,-0.17336595153540643,0.86250693430645,0.9459753473038484,-0.022114463024625216,False
region_24,-4.575022993167658,7.568241144857782e-06,0.00017154679928344305,-0.5835873533595991,True
region_25,-2.2076198198587886,0.028197961552727004,0.06391537951951454,-0.28160273944406217,False
region_26,-2.6211321031775285,0.009312008370198695,0.022614877470482544,-0.33435013314329737,True
region_27,-0.04449858735916539,0.964543224504378,0.9937718070651167,-0.005676214712791188,False
region_28,-2.0115440087989627,0.045363117762264364,0.08813405736668506,-0.25659141954356623,False
region_29,-3.4552309129779744,0.0006478542291617289,0.0029369391721998377,-0.44074730701078957,True
region_30,-1.4958766421523224,0.1359728160017791,0.22551588995417024,-0.19081318101566236,False
region_31,-1.3265244272197942,0.1859012005234394,0.29398329385102046,-0.1692107079689355,False
region_32,-2.6438168517634604,0.00872681056120713,0.021978634006003143,-0.3372437868820135,True
region_33,-1.1981325799414573,0.23202315466007603,0.33569307482734406,-0.1528331163244756,False
region_34,-0.8447605695825633,0.399068693104637,0.5320915908061826,-0.10775718193361421,False
region_35,-1.2070835698066211,0.2285640702976949,0.33569307482734406,-0.15397489954461696,False
region_36,-3.0132238879485254,0.0028560801418576445,0.009710672482315991,-0.38436514012583434,True
region_37,-4.746070097298323,3.528182619786499e-06,0.00017154679928344305,-0.6054060255167687,True
region_38,-1.6552081614417207,0.09916263835476712,0.17744893179274115,-0.21113741977636935,False
region_39,-3.774190158331902,0.00020142921354047525,0.0013009194284860158,-0.48143356850142166,True
region_40,-0.044625193548750976,0.9644424109604298,0.9937718070651167,-0.0056923645269472125,False
region_41,-2.0293483872933953,0.04350395411000292,0.08700790822000584,-0.258862536025231,False
region_42,0.14021040546732785,0.8886089512789785,0.9591334712217546,0.017885160263096306,False
region_43,0.02032597767912184,0.9837998765605191,0.9981877854848217,0.0025927702518478476,False
region_44,-1.328520529475698,0.1852423132748067,0.29398329385102046,-0.1694653296471867,False
region_45,-3.425477940237743,0.0007194573938747863,0.002943896813404911,-0.4369520345844034,True
region_46,-2.9800042677673626,0.0031724486981323714,0.010272691022523869,-0.38012766410656895,True
region_47,-4.149138447126606,4.606086061631178e-05,0.0006937492738475263,-0.5292617608036658,True
region_48,-1.9519951879331328,0.0520779988946364,0.09836955346764653,-0.24899540553081198,False
region_49,-4.007018789162942,8.161756162912073e-05,0.0006937492738475263,-0.5111330573686781,True
region_50,-1.064712933559856,0.288054046788396,0.408076566283561,-0.13581418146135218,False
region_51,-1.1995896635104368,0.23145753520685788,0.33569307482734406,-0.15301898108295103,False
region_52,-4.06363275173711,6.51058808521101e-05,0.0006937492738475263,-0.5183547025125821,True
region_53,-3.8212392789271625,0.00016839268634320643,0.0012723002968153374,-0.48743512779567866,True
region_54,-2.377783707830281,0.018185081881622715,0.04264088165346016,-0.30330874904597355,True
region_55,-0.23826877021308226,0.811871801749606,0.9192582095006134,-0.03039342997938097,False
region_56,-2.7374777345471593,0.006645190939580925,0.01737973014967319,-0.34919111627875987,True
region_57,-3.5832396817040992,0.00040933929035324974,0.001988219410287213,-0.45707603337113,True
region_58,-3.2775179496688365,0.0011989671322592235,0.004291040262822485,-0.4180783416153909,True
region_59,-0.691566869693016,0.4898641794105446,0.628504984904095,-0.088215879954713,False
region_60,-2.1273964467019595,0.03438630173390741,0.07268442702183706,-0.27136949119851445,False
region_61,-3.721399844482105,0.0002457619512840009,0.001392651057276005,-0.47469966583281564,True
region_62,-1.6025077456650967,0.11033182642822119,0.19237344095177028,-0.20441498445528786,False
region_63,-3.7626228230156156,0.000210442848725679,0.0013009194284860158,-0.47995804573077416,True
region_64,-2.918114334089989,0.0038489581139892594,0.011379528337011722,-0.37223301906362194,True
region_65,-4.5750542118931214,7.5672017946073655e-06,0.00017154679928344305,-0.5835913356026163,True
region_66,-0.4582406012344091,0.6471857787803043,0.7989839412655276,-0.05845291271227937,False
region_67,0.11254768677582852,0.9104813212035785,0.9673864037788021,0.014356519464566533,False
