Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,1.5077255238510952,0.13293997731154122,0.4580607367828833,0.1946465281509048,False
region_1,-2.4120004219476385,0.01661669349808315,0.14124189473370677,-0.31138791550828226,False
region_2,-1.4913219489376501,0.13719017681709506,0.4580607367828833,-0.1925288357356369,False
region_3,-0.3827923565117094,0.7022125290054673,0.8681900358613049,-0.04941828072751143,False
region_4,-2.498385757545329,0.013146079979814627,0.13960591817750928,-0.32254021437916197,False
region_5,-2.669775146127369,0.008108623376712643,0.13960591817750928,-0.34466648930232574,False
region_6,1.408870034078432,0.16016786161846883,0.47353976478503823,0.1818843392985481,False
region_7,1.463797549334425,0.14455778474533437,0.4580607367828833,0.1889754510263819,False
region_8,0.9239811871610294,0.35642414853293136,0.682371369869022,0.11928545833612082,False
region_9,-2.187954789206962,0.02963778484289524,0.20153693693168762,-0.28246374869511076,False
region_10,0.03804773690874149,0.9696812498981415,0.9841541043742331,0.004911941713614569,False
region_11,0.5107529275541707,0.6099935562298245,0.8681900358613049,0.06593791941479954,False
region_12,-0.8494534110177422,0.3964755805283203,0.7012606645490547,-0.10966396380835997,False
region_13,0.20773644590573873,0.8356109257422029,0.9208326572449101,0.02681865984644147,False
region_14,0.19575093016771314,0.844970752698738,0.9208326572449101,0.0252713364181388,False
region_15,0.9108476505320231,0.3632895608480987,0.682371369869022,0.11758992604808928,False
region_16,-1.5593967987967983,0.12022014158830617,0.45416497933360106,-0.20131726106230527,False
region_17,-1.0840223275848397,0.2794426816345377,0.5938156984733927,-0.13994668072176952,False
region_18,-0.2816240468379142,0.7784744727010502,0.9208326572449101,-0.03635750810982597,False
region_19,-0.6352829562105197,0.5258491115704673,0.8315753392277158,-0.08201467698442527,False
region_20,0.8391974716672624,0.40219361643254603,0.7012606645490547,0.10833992773155592,False
region_21,0.8032439971923573,0.4226285037302564,0.7184684563414359,0.10369835413556922,False
region_22,1.350108212334687,0.1782531418119879,0.48960696812089305,0.1742982207316703,False
region_23,0.18533301553861484,0.8531243736239609,0.9208326572449101,0.023926389422781854,False
region_24,0.39608268424710696,0.6923959316513377,0.8681900358613049,0.05113405466033919,False
