Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,-1.8683554393319506,0.062906083561577,0.22410392171161753,-0.23832636635992238,False
region_1,-3.1308696855428706,0.001954483845382295,0.02658098029719921,-0.3993719717318164,True
region_2,0.4602672588061272,0.6457326281391113,0.7983603402447194,0.05871143200938705,False
region_3,1.2663552403071625,0.20658861037683846,0.42569774259469745,0.16153556041304762,False
region_4,-2.5678225321383725,0.010828125841747837,0.07363125572388529,-0.3275499943204025,False
region_5,-2.4417021572973,0.015326520861490662,0.08224988417635277,-0.3114621504192593,False
region_6,1.6783439947589678,0.09455498892674565,0.2646247715833187,0.2140886136290658,False
region_7,3.166643158664018,0.0017376554273433435,0.02658098029719921,0.4039352157921039,True
region_8,1.297990394006997,0.19551126049060893,0.415461428542544,0.1655709227813639,False
region_9,0.19536269179161428,0.845270943526675,0.9270713574163533,0.02492035480873859,False
region_10,-1.7425973904271954,0.08265869835772989,0.2646247715833187,-0.22228474055091663,False
region_11,0.00445833939275636,0.9964463996276265,0.9964463996276265,0.0005687032590837469,False
region_12,2.4322075538816486,0.015724242563126264,0.08224988417635277,0.3102510241611368,False
region_13,1.8472750043100667,0.06591291815047574,0.22410392171161753,0.23563735795483623,False
region_14,-0.5301034598862759,0.59652029134795,0.7800649963780886,-0.0676196984416907,False
region_15,1.389268680935304,0.1660124140783008,0.368966020132283,0.17721432959423467,False
region_16,-0.8411715229477706,0.40107209159079793,0.5802745154930694,-0.10729936516858136,False
region_17,1.4335053505959785,0.15298839518831595,0.3587314094070857,0.1828571342330899,False
region_18,0.29075317991784083,0.7714860695585077,0.9022844972024737,0.037088311687731426,False
region_19,0.5022149615167744,0.6159673852368829,0.7902977772850572,0.06406225731474191,False
region_20,1.1356330870616682,0.25721985035881234,0.4858597173444233,0.1448607162533714,False
region_21,0.9447843629585017,0.3456997713085954,0.5802745154930694,0.12051616061774868,False
region_22,0.9624626126124176,0.33676623198997246,0.5802745154930694,0.12277118817563552,False
region_23,1.6645118900995794,0.09728851896445542,0.2646247715833187,0.2123241981580134,False
region_24,-3.013813468359315,0.002850736627040148,0.027692870091247154,-0.38444034667059696,True
region_25,-1.9072166517632314,0.057662052495567294,0.21783442053880978,-0.24328348070557373,False
region_26,0.008221536442087974,0.9934469274111968,0.9964463996276265,0.0010487345527996094,False
region_27,2.2029464268194023,0.02852997885486078,0.1336384635438714,0.2810066040630733,False
region_28,-0.8536261517901845,0.39414598232421205,0.5802745154930694,-0.10888807060111691,False
region_29,-1.142630587282713,0.2543073786850867,0.4858597173444233,-0.1457533134359935,False
region_30,0.07206983384092007,0.9426051313539677,0.9964463996276265,0.009193187367822984,False
region_31,0.9078857197220865,0.3648307422415308,0.5802745154930694,0.11580939049199024,False
region_32,0.7624670813240609,0.4465147240736612,0.6201252417304579,0.09725987097294148,False
region_33,0.915459162052822,0.3608507805301443,0.5802745154930694,0.1167754545253767,False
region_34,1.238611812852326,0.21667470159833266,0.4333494031966653,0.15799662445017457,False
region_35,0.26841083689039996,0.7886089630882078,0.9022844972024737,0.034238335008989366,False
region_36,-2.699944302137399,0.007418461323666622,0.056050596667703366,-0.3444033728039784,False
region_37,-2.8690516106498034,0.0044762902825618,0.0380484674017753,-0.36597460572584606,True
region_38,0.03204516323587915,0.9744621244556169,0.9964463996276265,0.004087662953548288,False
region_39,-3.2030735537183905,0.0015398961796200118,0.02658098029719921,-0.408582256443785,True
region_40,0.6753921058686607,0.5000636167313268,0.6800865187546045,0.08615263620149716,False
region_41,0.023746206746491784,0.9810743776575395,0.9964463996276265,0.0030290527431688363,False
region_42,2.4639379628124756,0.014429754539450326,0.08224988417635277,0.31429853723300843,False
region_43,1.6136942926809403,0.10788096335302695,0.2821502118463782,0.20584193408504015,False
region_44,0.25754497152114597,0.7969742863665247,0.9022844972024737,0.03285229134925813,False
region_45,-0.057422269593718975,0.9542556278876703,0.9964463996276265,-0.007324752331550039,False
region_46,-0.9688415634887265,0.3335796928513661,0.5802745154930694,-0.12358488355261518,False
region_47,-1.6729416560438986,0.09561514797479828,0.2646247715833187,-0.21339949434870642,False
region_48,1.6885181640343663,0.09258414824179349,0.2646247715833187,0.21538642492508098,False
region_49,-0.852141343744893,0.3949678506550134,0.5802745154930694,-0.10869866932407574,False
region_50,0.6327249132460854,0.5275033848557751,0.7033378464743668,0.08071003316866461,False
region_51,1.5753806051466959,0.11645898847325743,0.29330411911783355,0.20095466170653017,False
region_52,-3.2947019765347036,0.0011309463242767034,0.02658098029719921,-0.420270326393104,True
region_53,-2.130511479004468,0.03412582751452294,0.14406332763556437,-0.2717668429625964,False
region_54,-0.47043372912097164,0.638463688070387,0.7983603402447194,-0.06000826123033509,False
region_55,-0.26005481724627943,0.7950399032018117,0.9022844972024737,-0.03317244585476749,False
region_56,-0.8574468854649523,0.39203592896757333,0.5802745154930694,-0.10937544123433111,False
region_57,-2.1083564628243825,0.03601583190889109,0.14406332763556437,-0.2689407615908778,False
region_58,0.27457181139599235,0.7838766074041693,0.9022844972024737,0.03502422544302742,False
region_59,0.8411761386792599,0.4010695112026226,0.5802745154930694,0.10729995394868755,False
region_60,0.2414578172085778,0.809402269549278,0.9022844972024737,0.030800223015966792,False
region_61,-1.514300997443084,0.13123850678972895,0.3187220879179132,-0.19316338138789,False
region_62,-1.0065861644188654,0.3151267851791815,0.5791519295184958,-0.12839956356478766,False
region_63,-2.189842379057933,0.029479072840559867,0.1336384635438714,-0.2793350591194011,False
region_64,-3.1428781259163223,0.001879057378783201,0.02658098029719921,-0.40090376161483665,True
region_65,-3.0482875116518846,0.002553797900064506,0.027692870091247154,-0.38883783619464085,True
region_66,0.761895885058169,0.4468549535998888,0.6201252417304579,0.09718700949933606,False
region_67,1.3820826058258926,0.16820509741324666,0.368966020132283,0.1762976779051814,False
