Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,3.232412916912064,0.0013974587899278983,0.04770847161925832,0.41427019465877013,True
region_1,0.45367230608612275,0.650469593876784,0.7251136456331363,0.05814322593820524,False
region_2,2.3111514172892647,0.02166212343517513,0.0901560243379246,0.29620013659670774,False
region_3,0.8110679946778954,0.4181203021193268,0.612417426019164,0.10394751681591884,False
region_4,-1.06312744195011,0.288779507754371,0.4675477744594578,-0.13625177959766635,False
region_5,-0.8239313519880733,0.41078650855614285,0.612417426019164,-0.10559610122447993,False
region_6,1.5987434865949381,0.11117702110202751,0.2520012478312624,0.20489702040723023,False
region_7,0.7259279294088962,0.46858153794259216,0.6131094964570645,0.09303585660453,False
region_8,2.3507793014787404,0.019534161148347093,0.08855486387250683,0.3012788971755921,False
region_9,0.9797392531048084,0.3281892449580457,0.518996945515049,0.12556464212075436,False
region_10,0.7412419012498616,0.45926250374141286,0.6131094964570645,0.09499851492159186,False
region_11,0.29138639853689563,0.7710043914797254,0.794368160918505,0.0373444554101445,False
region_12,2.561605989732937,0.011023571445952788,0.06906322228806586,0.3282987165573824,False
region_13,1.9344711928504517,0.054216102894489464,0.16757704531024015,0.2479243148148022,False
region_14,2.0392390410060894,0.04250827573835661,0.15213488158990787,0.2613514969122179,False
region_15,2.9561890095077117,0.0034212566930236963,0.05219917497103477,0.3788689836033695,False
region_16,2.818899753668611,0.005215928288229191,0.05911385393326416,0.361273816091369,False
region_17,1.6353711103167143,0.10326591107402948,0.2507886411797859,0.20959126374777598,False
region_18,1.5591693411183645,0.1202576989572364,0.2637910815836153,0.19982514705087198,False
region_19,0.6076966000037678,0.5439562082431459,0.6605182528666772,0.07788317744303905,False
region_20,2.766573289071249,0.006100377972194821,0.05926081458703541,0.3545675891235399,False
region_21,2.5567706346959485,0.01117381058434365,0.06906322228806586,0.32767901124005205,False
region_22,1.9082466715610666,0.057537820800430954,0.17011181801866543,0.24456334645505293,False
region_23,0.7254918514029368,0.46884843846716695,0.6131094964570645,0.09297996828671332,False
