Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,0.37015999056921256,0.7115830787420756,0.9252427436401902,0.04721739968050572,False
region_1,-0.23514416719350104,0.8142932576989125,0.9498290697526746,-0.02999485738002573,False
region_2,1.4069660525752528,0.16070472928893592,0.4371168636659057,0.17947179634187782,False
region_3,-0.11612533444896428,0.907648337975731,0.9723357752853983,-0.014812882184477766,False
region_4,-2.2906701273786267,0.022832497541532826,0.23716188248315234,-0.29219658984297464,False
region_5,0.3573397682134902,0.721145079601913,0.9252427436401902,0.04558205934555423,False
region_6,-0.034714360927247626,0.9723357752853983,0.9723357752853983,-0.004428144306019208,False
region_7,-0.544511501334211,0.5865847827654127,0.8282611486877846,-0.06945758008474535,False
region_8,1.2109743574879828,0.22707206353502565,0.5073493156077284,0.15447120622741195,False
region_9,0.8997906782199881,0.36911519480270305,0.6783738715292922,0.11477679156241091,False
region_10,1.5726650502238049,0.11708687354699394,0.3791384476759804,0.20060826705174498,False
region_11,1.6419569859723913,0.10188184659570802,0.3791384476759804,0.20944710730524116,False
region_12,1.5428927016486966,0.12414743725679019,0.38372844243007875,0.19681052305478708,False
region_13,-0.07235292784620914,0.9423800753225702,0.9723357752853983,-0.009229298679513734,False
region_14,0.5408464093491614,0.5891048329758499,0.8282611486877846,0.06899006301771228,False
region_15,1.7123269944573547,0.08810170250804134,0.3791384476759804,0.21842346590911307,False
region_16,2.0013702554096544,0.046455419655490035,0.3158968536573322,0.25529366129774617,False
region_17,1.469930759417528,0.1428635001944069,0.42204704170834845,0.1875035388437236,False
region_18,0.7586458299795922,0.44879365092895374,0.7298989851882166,0.09677243430607212,False
region_19,1.447777249399045,0.14895777942647592,0.42204704170834845,0.18467764959712982,False
region_20,2.0820079255105424,0.03837983194998998,0.30905164347176184,0.26557975702787473,False
region_21,1.5901823255966268,0.11308322717953705,0.3791384476759804,0.20284276082110161,False
region_22,0.06949037101921593,0.9446559807027541,0.9723357752853983,0.008864152544729007,False
region_23,1.1561741005323158,0.2487361184736228,0.5125471532183743,0.14748091634953733,False
region_24,-1.5752577092065672,0.11648734660959328,0.3791384476759804,-0.20093898516970282,False
region_25,-1.7033397585513503,0.08977257796473805,0.3791384476759804,-0.21727705916443965,False
region_26,0.7145754885518886,0.4755516873210599,0.752035226461211,0.09115084640282964,False
region_27,1.7130999221183816,0.08795918854031844,0.3791384476759804,0.21852206012573466,False
region_28,-1.208446235092552,0.22804072963566616,0.5073493156077284,-0.15414872036014485,False
region_29,0.22249344697608195,0.8241151419439202,0.9498290697526746,0.02838113864226161,False
region_30,1.7664666225611907,0.07856281482682494,0.3791384476759804,0.22532948634314695,False
region_31,0.8007489668027319,0.4240528122136037,0.723175289919106,0.10214308669917424,False
region_32,-1.3327781484090007,0.18384273870924256,0.4630113419343887,-0.17000842911763972,False
region_33,2.6858260425539915,0.007729739157002063,0.13531759603570553,0.34260245557216806,False
region_34,3.4564556615868964,0.0006450547459140048,0.043863722722152325,0.4409035352527632,True
region_35,1.6181523955308466,0.10691640363554727,0.3791384476759804,0.2064106071708513,False
region_36,-0.32589104794551094,0.7447849639369175,0.9378773619946369,-0.041570478320683994,False
region_37,1.018170780891507,0.3096011787570131,0.6015108615850541,0.12987729070999576,False
region_38,2.6756714031089763,0.00796085700881596,0.13531759603570553,0.34130713549030456,False
region_39,-0.5149466317277324,0.6070545779393053,0.8282611486877846,-0.06568630198803782,False
region_40,2.6194972114770776,0.009355514468532054,0.13531759603570553,0.3341415872798295,False
region_41,0.2897390856512681,0.7722609070230878,0.9498290697526746,0.03695895439488937,False
region_42,0.16164415510336172,0.8717193055680513,0.97175266850209,0.02061923728114527,False
region_43,-0.6812871635264807,0.49633324814933344,0.7670604744126062,-0.08690460643237186,False
region_44,0.6590141237605363,0.5105055971580131,0.7714306801498866,0.08406347003858931,False
region_45,2.2645666835940275,0.024413723196795092,0.23716188248315234,0.28886684927236433,False
region_46,0.9182119610030892,0.3594109585532723,0.6783738715292922,0.11712660000729379,False
region_47,-0.12297216701425527,0.9022299543574315,0.9723357752853983,-0.01568626028588659,False
region_48,1.180988152045926,0.23875261910951928,0.5073493156077284,0.15064618276909034,False
