Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,-1.192378325237567,0.2342760060983544,0.4827505580208515,-0.15281673895021847,False
region_1,-2.7520278064836807,0.006369293528889098,0.050614485769499784,-0.3527034213770771,False
region_2,-0.9214118867979637,0.35774929596397176,0.5657430726872111,-0.11808933187575223,False
region_3,0.2935338398995764,0.76936467747613,0.8719466344729474,0.03761967425569531,False
region_4,-2.3683438599264313,0.01865127643110356,0.09756052287038786,-0.30352999356527344,False
region_5,-3.086698279498465,0.002258612824277392,0.02194081029298038,-0.3955952194134568,True
region_6,0.0452086297858733,0.9639781447001576,0.9718078044432905,0.0057939961084988775,False
region_7,-0.318301334001875,0.7505297613540419,0.8650173520690653,-0.04079390813815703,False
region_8,0.8685752790797487,0.3859365031501484,0.5821800540693087,0.11131772430977198,False
region_9,-1.6142381740048546,0.10777350706521031,0.31863471654062175,-0.20688283946391653,False
region_10,-0.5241618171911896,0.6006437655463177,0.7426141101299928,-0.0671772522948361,False
region_11,0.7416369288564583,0.45902350701034933,0.6380039983470898,0.09504914216745648,False
region_12,1.341670079454534,0.1809554124914708,0.42430924308344875,0.17195016208339142,False
region_13,0.3791724599915818,0.7048909155868538,0.8409224957878255,0.04859522989408676,False
region_14,-1.9286530273150497,0.054938818129790366,0.19662313856977603,-0.24717865124060445,False
region_15,-0.642815184713774,0.520950094577278,0.6771659207399655,-0.08238402040398507,False
region_16,-1.8604541730084179,0.06402931475489787,0.21769967016665276,-0.23843819840387231,False
region_17,-0.3243884492311106,0.7459230234015553,0.8650173520690653,-0.041574040650848125,False
region_18,-2.5018861830265102,0.01301185050086975,0.08043689400537664,-0.32064494936080473,False
region_19,-1.0605442012781687,0.289950048902152,0.49058182429994573,-0.13592070815242605,False
region_20,-0.19159559369136586,0.8482189922318583,0.9155379598693073,-0.02455513758128075,False
region_21,-0.04771935028282481,0.96197910792027,0.9718078044432905,-0.006115773274888713,False
region_22,-1.1361013238736852,0.25703336501524077,0.49058182429994573,-0.1456042061120256,False
region_23,0.19409983305292794,0.8462598741439699,0.9155379598693073,0.024876084117027658,False
region_24,-2.5996601281323555,0.009902844645993624,0.06733934359275665,-0.33317578385278196,False
region_25,-1.5817448109166388,0.11500850815968713,0.3258574397857802,-0.20271844828070945,False
region_26,-0.8542141150629622,0.39382768363512066,0.5821800540693087,-0.10947717906827974,False
region_27,1.2847056593489132,0.20011845689314514,0.43896951834625386,0.16464952877558883,False
region_28,-2.2449873034544177,0.02566901028453152,0.11636617995654289,-0.28772045871447366,False
region_29,-3.1596578971034925,0.0017798511774761462,0.02017164667806299,-0.4049458177944143,True
region_30,-1.3069306927092101,0.1924716727659523,0.4362691249361586,-0.16749791762105337,False
region_31,1.1718969389522256,0.24238612891970204,0.4847722578394041,0.15019181815531724,False
region_32,-1.7346453816400402,0.08407165629858793,0.26757354031565417,-0.22231438197643658,False
region_33,-0.6322911848406119,0.5277910852826202,0.6771659207399655,-0.08103525105176734,False
region_34,-0.740456028456853,0.45973817527952054,0.6380039983470898,-0.09489779645421002,False
region_35,-0.8261583741092363,0.4095246663261257,0.5925037725569479,-0.10588151924233791,False
region_36,-1.0477561382658689,0.2957919822984967,0.49058182429994573,-0.1342817735578709,False
region_37,-3.2610377984905567,0.001269105621640948,0.019533177254431332,-0.4179387962788054,True
region_38,1.9699457283434747,0.04998023286379694,0.18881421304101068,0.2524707768856701,False
region_39,-3.2242389151248347,0.0014362630334140685,0.019533177254431332,-0.4132226040821394,True
region_40,-0.6410318184098626,0.52210610752871,0.6771659207399655,-0.08215546188598019,False
region_41,-1.0626771022686166,0.28898333875419724,0.49058182429994573,-0.13619406348518,False
region_42,2.3963002834658202,0.01731840840433631,0.09756052287038786,0.30711292474372254,False
region_43,-0.2686885943431555,0.788397302080015,0.8788691236301807,-0.03443547564692474,False
region_44,0.08833547061905138,0.929682802922156,0.9718078044432905,0.011321187468706063,False
region_45,-1.0827331580973127,0.2800000920087406,0.49058182429994573,-0.13876447338200049,False
region_46,-2.065325533484466,0.03995288282791891,0.15981153131167564,-0.264694775322114,False
region_47,-0.893696511665891,0.37236854249202167,0.5754786565785789,-0.11453729377104964,False
region_48,0.667986368681245,0.5047762377282399,0.6771659207399655,0.08560999169850568,False
region_49,-1.054939510959273,0.292500733924597,0.49058182429994573,-0.1352024038363954,False
region_50,2.091099305748827,0.03755807854412544,0.15962183381253311,0.26799797510738393,False
region_51,-0.035377455863704436,0.9718078044432905,0.9718078044432905,-0.004534020220779729,False
region_52,-2.262193937990335,0.02456933147819903,0.11636617995654289,-0.28992568311551536,False
region_53,-2.7349358034344764,0.0066989760577279124,0.050614485769499784,-0.3505128882947299,False
region_54,-1.202199956953897,0.23045626301112213,0.4827505580208515,-0.154075491896571,False
