Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,-0.23583888268654746,0.813758825205191,0.9222600018992165,-0.030446668834438764,False
region_1,-0.49733276550068184,0.6194097239304526,0.8728130493730075,-0.06420538394358065,False
region_2,-0.7924379949248029,0.42888793171496176,0.7693989694268517,-0.10230330524152532,False
region_3,-0.2552414597429938,0.7987552082510818,0.9205992230690434,-0.032951530761542856,False
region_4,-2.2320780170633014,0.026533392638617183,0.6198391969655976,-0.28816003291739467,False
region_5,-0.7905995257611952,0.42995824762088775,0.7693989694268517,-0.10206595989308635,False
region_6,1.0343627257383285,0.3020077470647616,0.6793090450350502,0.13353565369074186,False
region_7,-0.7974092288562368,0.4260016086485422,0.7693989694268517,-0.10294508878241013,False
region_8,1.5776185579318722,0.11597040012678712,0.6198391969655976,0.20366968005126337,False
region_9,-1.602311084974939,0.11040213360658138,0.6198391969655976,-0.2068574715850492,False
region_10,0.4476517240026891,0.6548083515305809,0.8753838647775837,0.05779158906544846,False
region_11,1.0054470788385192,0.31569424768285237,0.6793090450350502,0.12980265972781604,False
region_12,-0.2685851246175968,0.7884796868318269,0.9205992230690434,-0.0346741904894332,False
region_13,0.5831440816484039,0.5603438574924431,0.8461068796998611,0.07528357722212288,False
region_14,1.2221835912031742,0.22283717759658708,0.6516243861101925,0.15778322315792892,False
region_15,-1.5482541217368535,0.12287873416294585,0.6198391969655976,-0.19987874763946084,False
region_16,0.008197067276561013,0.9934665693063951,0.9934665693063951,0.0010582368349954193,False
region_17,1.3519805264095182,0.1776542375000422,0.6198391969655976,0.17453993543936,False
region_18,-0.9520536716757712,0.3420275841916709,0.6840551683833418,-0.12290960050319619,False
region_19,1.113524774254834,0.2665970899847702,0.6516243861101925,0.14375543020927814,False
region_20,0.6060735497487053,0.5450386980119033,0.8423325332911232,0.07824375882511826,False
region_21,0.7509429057500472,0.4534226710714844,0.7755493388739272,0.09694631226408461,False
region_22,1.1367848613650717,0.25676198138220324,0.6516243861101925,0.146758294542921,False
region_23,-0.3057877648531397,0.7600313151935508,0.9067040251431834,-0.039477030691673326,False
region_24,0.40335435336200326,0.6870466763033252,0.8753838647775837,0.052072823106376676,False
region_25,-1.30199363094955,0.19416676765384944,0.6198391969655976,-0.1680866549845244,False
region_26,0.4316294209889341,0.6663982570482658,0.8753838647775837,0.05572311864077639,False
region_27,-0.17616283953523904,0.860314568025452,0.9377072456805716,-0.02274252479135301,False
region_28,0.037965421860577685,0.969746811858974,0.9934665693063951,0.004901314886591878,False
region_29,-1.5775428520901733,0.11598780745713151,0.6198391969655976,-0.2036599064691264,False
region_30,-0.5123156989179481,0.6089012181571658,0.8728130493730075,-0.06613967233032755,False
region_31,1.4435345801853476,0.15017395394855812,0.6198391969655976,0.18635951295774553,False
region_32,-0.6501432943612674,0.5162215014703719,0.8163502813950068,-0.08393313839032049,False
region_33,2.0417379746138433,0.04227113695741856,0.6198391969655976,0.26358723909995585,False
region_34,0.3338025863121525,0.7388200023226008,0.8971385742488724,0.04309372859026435,False
region_35,0.6543343462587244,0.5135229547482565,0.8163502813950068,0.08447420086371858,False
region_36,0.20566526694779702,0.8372267336406545,0.9333019325830246,0.026551271792737353,False
region_37,-1.3831994452964493,0.16788909406723784,0.6198391969655976,-0.17857028053721619,False
region_38,0.7175329502594359,0.4737431143092615,0.785720287147068,0.09263310555699565,False
region_39,-2.4108060902997535,0.01666987812163266,0.6198391969655976,-0.31123372795554527,False
region_40,0.48384251710006976,0.6289388149893731,0.8728130493730075,0.06246380036385492,False
region_41,-0.828124544784821,0.4084227023053696,0.7693989694268517,-0.10691041901790699,False
region_42,1.0238076846816504,0.30695694771099796,0.6793090450350502,0.1321730037497069,False
region_43,1.5436545376054125,0.12398955917157473,0.6198391969655976,0.1992849438814424,False
region_44,0.40752733606095726,0.6839839909982902,0.8753838647775837,0.052611552856278686,False
region_45,0.06790236114869892,0.9459198947912203,0.9895777360892766,0.008766157129902415,False
region_46,-0.116739348702495,0.9071642360223132,0.9638620007737078,-0.015070985112395451,False
region_47,-1.3037063028403115,0.19358286670945749,0.6198391969655976,-0.16830775997487232,False
region_48,0.7463184320997731,0.4562054934552513,0.7755493388739272,0.09634929528300172,False
region_49,0.02283040695471548,0.9818045231328594,0.9934665693063951,0.0029473928640917015,False
region_50,0.9778350107319727,0.32914054434156703,0.6793090450350502,0.12623795706344934,False
region_51,1.675345178663623,0.09516887349219683,0.6198391969655976,0.2162861325371034,False
region_52,-1.9471680022531332,0.05268104971285661,0.6198391969655976,-0.2513783081664784,False
region_53,-1.1095211371878726,0.2683159236924322,0.6516243861101925,-0.14323856288645814,False
region_54,-1.3776203223986,0.16960380116904555,0.6198391969655976,-0.17785001886822235,False
region_55,-1.164573829971052,0.24534782971049682,0.6516243861101925,-0.1503458349635624,False
region_56,1.596170480294064,0.11176661266538482,0.6198391969655976,0.20606472292956007,False
region_57,-1.2835532896859776,0.20053621078298747,0.6198391969655976,-0.16570601716411784,False
region_58,0.3923365256306271,0.6951577749704341,0.8753838647775837,0.05065042766254327,False
region_59,0.1654129827566577,0.8687581834981767,0.9377072456805716,0.02135472424876766,False
region_60,0.5653462093403326,0.5723664186204943,0.8461068796998611,0.07298588178722001,False
region_61,-1.1408844641502078,0.25505515409174734,0.6516243861101925,-0.14728755098668425,False
region_62,-1.298471036507867,0.1953718123251442,0.6198391969655976,-0.1676318899975884,False
region_63,-1.3617725929355688,0.17454655318699983,0.6198391969655976,-0.17580408579203832,False
region_64,1.535351432230991,0.1260147529689896,0.6198391969655976,0.1982130175868778,False
region_65,-0.9767737736802713,0.3296646836199508,0.6793090450350502,-0.12610095194919546,False
region_66,-0.3673569868807646,0.7136764769308708,0.8823636442054402,-0.047425583076737936,False
region_67,1.6330447608743914,0.10377078592783946,0.6198391969655976,0.21082517208259302,False
