Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,-3.2079640952491957,0.001514996514529069,0.009365432998906973,-0.40920609116389906,True
region_1,-3.6489630683358043,0.00032173806853312895,0.003393343399237583,-0.46545967151142054,True
region_2,0.5804628149382056,0.5621360591370244,0.7212311702135407,0.07404350937674864,False
region_3,0.29068936620790886,0.7715348208504693,0.8744061302971986,0.03708017164687417,False
region_4,-4.333227905807275,2.1456394952507496e-05,0.0012213972629270197,-0.5527441083532395,True
region_5,-2.6201722280979554,0.009337529537137087,0.03735011814854835,-0.3342276920193773,True
region_6,2.526561943613495,0.012149298253586219,0.04252405754670162,0.32228681691315164,True
region_7,1.4061887766609036,0.16093510350217752,0.3039885288374464,0.17937264746451426,False
region_8,0.8200287810045217,0.41299676604370816,0.6240840020216034,0.10460240892773796,False
region_9,0.14303668490431476,0.8863787765425822,0.9567262984904061,0.01824567887446701,False
region_10,-2.3324818843635815,0.020486029470471318,0.05835748712485418,-0.2975300739882138,False
region_11,-0.7787710281229573,0.4368661228934143,0.6320616246117484,-0.09933959323354936,False
region_12,1.138853329657338,0.25587665367659346,0.44614390897457323,0.14527148858312566,False
region_13,2.261237758795942,0.024622085552428417,0.06201117842833824,0.28844221350215093,False
region_14,-2.704084645440632,0.007329345484257789,0.033226366195301976,-0.3449315126611862,True
region_15,0.33935260259429445,0.7346348245382621,0.8565165065955287,0.04328762664132005,False
region_16,-2.126008973088599,0.03450286921648241,0.08090327954209668,-0.27119250584672794,False
region_17,2.5411858950072057,0.011665435442011166,0.04252405754670162,0.32415223990714764,True
region_18,-2.1398326809674746,0.033356514360880586,0.08090327954209668,-0.27295585022919266,False
region_19,0.8624117775505732,0.3893043213222743,0.6056947903313615,0.11000876006929446,False
region_20,0.37749120706034295,0.7061353989487211,0.8565165065955287,0.0481525655223724,False
region_21,0.47738657234886206,0.633512461991251,0.7863218028272743,0.060895161992090475,False
region_22,-0.024680531086605076,0.9803298741950095,0.9903533684965389,-0.003148234629170385,False
region_23,1.5924444972718421,0.11257420728604081,0.22514841457208162,0.20313132216445567,False
region_24,-3.7642138235667146,0.00020918087040205298,0.003393343399237583,-0.48016099286397906,True
region_25,-3.0971675164333066,0.0021813638434590764,0.010595195811086942,-0.39507294204333165,True
region_26,-1.1631096197695885,0.24591661184750555,0.443159469177627,-0.14836560727281772,False
region_27,1.9796248824211997,0.04886495264563623,0.1071876380613956,0.25251983378057274,False
region_28,-4.2097221740276645,3.5923448909618227e-05,0.0012213972629270197,-0.5369897868467371,True
region_29,-2.330416645665462,0.020596760161713242,0.05835748712485418,-0.2972666333043765,False
region_30,-1.7195799816569506,0.08677172624890882,0.1788023449977515,-0.2193486528666616,False
region_31,1.0057381172628963,0.31553383048312006,0.5233244017768821,0.12829138714774774,False
region_32,-1.5382402864084777,0.12528035233609547,0.24340182739584265,-0.19621706359003163,False
region_33,0.18172670386258732,0.855947468535472,0.9387810945227758,0.023180955877229726,False
region_34,-0.6752036953162127,0.5001830885031723,0.678514244142223,-0.0861286026576631,False
region_35,-1.1588442476605803,0.24764793865808568,0.443159469177627,-0.14782151881164335,False
region_36,-2.4958109013969785,0.013225537801485858,0.04282555097623992,-0.31836423130713687,True
region_37,-3.1677798867278337,0.0017311451670504157,0.009809822613285689,-0.4040802161829747,True
region_38,0.2525107122587033,0.8008580537186001,0.8927597975879475,0.03221012407633241,False
region_39,-3.6521986675120095,0.0003179181834569668,0.003393343399237583,-0.46587240271792896,True
region_40,0.33942631309660776,0.7345793724459038,0.8565165065955287,0.043297029111433114,False
region_41,-0.6615432254777288,0.5088856831066673,0.678514244142223,-0.08438608082758815,False
region_42,2.638818680763555,0.008852831159116748,0.03735011814854835,0.33660622300750853,True
region_43,3.4801293593264235,0.0005931171605765574,0.004503772307740703,0.4439233387878882,True
region_44,-0.7416812634813361,0.4589908464799275,0.6502370325132306,-0.09460844376910753,False
region_45,-0.9819754789487692,0.3270806280815616,0.5295591121320521,-0.12526023840307637,False
region_46,-2.2882621458210703,0.022974516911693908,0.060087198076737916,-0.29188942907324483,False
region_47,-2.3104924820167434,0.02169227631340571,0.05900299157246353,-0.29472511822368214,False
region_48,0.328050009727437,0.7431540277814146,0.8565165065955287,0.041845874268245424,False
region_49,-0.778880284220864,0.4368018757900639,0.6320616246117484,-0.09935352987979373,False
region_50,1.0485495138090957,0.295418760946847,0.5022118936096399,0.1337523847517677,False
region_51,0.47389674491961553,0.6359955758161777,0.7863218028272743,0.060450001572971875,False
region_52,-3.626623638479903,0.0003493147616862218,0.003393343399237583,-0.4626100664351974,True
region_53,-2.4159995610201634,0.01642432049021929,0.050766081515223264,-0.3081835417306811,False
region_54,-2.0985264252099824,0.03688275996526647,0.08360092258793735,-0.2676868475354993,False
region_55,-0.6842934362144328,0.49443665591089636,0.678514244142223,-0.08728808488134564,False
region_56,-0.012102899574526533,0.9903533684965389,0.9903533684965389,-0.001543839045448076,False
region_57,-1.8818434697188167,0.06104272346524314,0.12971578736364167,-0.2400468919107798,False
region_58,0.024278279708594024,0.9806504005819972,0.9903533684965389,0.0030969236702026825,False
region_59,0.8576568769805256,0.3919201584497045,0.6056947903313615,0.10940222763365291,False
region_60,0.11379212392086656,0.9094957739156595,0.9663392597853883,0.014515259165105673,False
region_61,-0.5998221118639834,0.5491791366459265,0.7181573325369809,-0.07651297037676755,False
region_62,-3.478724058300272,0.0005960875113186225,0.004503772307740703,-0.44374407938137816,True
region_63,-3.1375310414411732,0.0019123045479272247,0.010002823789157792,-0.4002216905341661,True
region_64,-3.2990407964967807,0.001114348504334678,0.00757756982947581,-0.42082378382100194,True
region_65,-3.684888419318356,0.0002816484030749773,0.003393343399237583,-0.47004228902607176,True
region_66,-2.5160790620324813,0.012507075749029888,0.04252405754670162,-0.3209496264495011,True
region_67,-0.03282788885347512,0.9738385661860866,0.9903533684965389,-0.004187506991985201,False
