Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,-0.22327638376388714,0.8235079864238416,0.914526068295939,-0.02861538836224373,False
region_1,-2.2679597748369638,0.024210137210451278,0.13719077752589057,-0.2906646401776921,False
region_2,-0.49528776857579,0.6208445769492595,0.7818042820842528,-0.06347671710704969,False
region_3,0.566895450081476,0.5713084796854427,0.7685921176357322,0.07265404961961829,False
region_4,-2.4356406525912826,0.015585315757705734,0.1177557190582211,-0.3121548370224057,False
region_5,-2.832988344822282,0.004998598190481474,0.05537717292150058,-0.36307942804433535,False
region_6,1.3308350848464416,0.18449065860061373,0.4825140301862206,0.17056153524616502,False
region_7,0.17742380949225806,0.8593233089294885,0.92752357154294,0.02273886350066762,False
region_8,0.49623644608073747,0.6201761578720406,0.7818042820842528,0.06359830083559709,False
region_9,-1.1821029274887107,0.2383203051888211,0.5588200259599944,-0.15149983076582677,False
region_10,0.9943467544175159,0.32104318459061004,0.623741044347471,0.12743675826675543,False
region_11,1.0943099038173583,0.2749026065319879,0.5942011689981488,0.14024816399524676,False
region_12,0.61406978347703,0.5397436731991966,0.7490320362764361,0.07869997282962181,False
region_13,0.08253084292849328,0.9342925341175712,0.9626044290908309,0.01057725892210615,False
region_14,-0.9513848605017249,0.34235435715915497,0.6307513230466838,-0.12193070671551785,False
region_15,0.218541130601084,0.8271909430145363,0.914526068295939,0.028008512229788778,False
region_16,-1.5366290633491726,0.1256852007095774,0.3561080686771359,-0.19693635607672058,False
region_17,1.083582154038592,0.2796240795285406,0.5942011689981488,0.13887328179320874,False
region_18,-1.6327736601138425,0.1038116754554228,0.30692147525951086,-0.20925837119078539,False
region_19,-2.024483335057992,0.04401437530196589,0.18706109503335505,-0.25946038666962995,False
region_20,0.5593411276064605,0.5764440882267992,0.7685921176357322,0.07168587794023103,False
region_21,0.3533528295182403,0.7241302955974364,0.8489803465625116,0.045286152861803736,False
region_22,0.7804181948687213,0.4359042969443797,0.6830033332616703,0.10001939907243185,False
region_23,0.7601412459008817,0.4479070314677688,0.6830033332616703,0.09742067922694327,False
region_24,-2.2754229382763134,0.0237520119162909,0.13719077752589057,-0.2916211287978847,False
region_25,-1.1421333434108447,0.2545227411046028,0.5769182131704331,-0.14637727748999538,False
region_26,0.2100141695201134,0.8338325916815914,0.914526068295939,0.026915685936347276,False
region_27,1.2128724745635215,0.22635633432097635,0.5588200259599944,0.15544329547281144,False
region_28,-2.0286345860903676,0.04358614705724348,0.18706109503335505,-0.2599924163383217,False
region_29,-2.725270465757097,0.006892167127309692,0.05858342058213238,-0.34927416619332347,False
region_30,0.1404113642747706,0.8884512972188032,0.9439795032949785,0.01799530094254822,False
region_31,0.7635571422935877,0.44587188929431054,0.6830033332616703,0.0978584648997256,False
region_32,-0.8271239047282845,0.408978313323187,0.6830033332616703,-0.10600526288765293,False
region_33,0.6536565545418348,0.5139511520143148,0.7490320362764361,0.08377346429759784,False
region_34,-0.6263013294724414,0.5317051887783946,0.7490320362764361,-0.08026758348789671,False
region_35,-0.8674772363304379,0.38653640407133527,0.6830033332616703,-0.1111769977394998,False
region_36,-1.807276398929603,0.07195589623742248,0.2718333857858182,-0.23162286651855246,False
region_37,-3.252167510430991,0.0013076587630995308,0.04446039794538405,-0.41680196875844444,True
region_38,2.789309737793786,0.005700591330154471,0.05537717292150058,0.35748152161924746,False
region_39,-3.0831523298656864,0.0022846615650309538,0.05178566214070161,-0.39514076595024494,False
region_40,-0.37049028172569143,0.7113399576568189,0.848616089836205,-0.04748251076669614,False
region_41,0.4368445923415302,0.6626119839351725,0.8046002662069952,0.05598656451287781,False
region_42,2.330849899795139,0.020580214439453886,0.13719077752589057,0.2987247194368193,False
region_43,0.09106287037149868,0.9275176548352777,0.9626044290908309,0.011670734527018781,False
region_44,1.371256758150303,0.17155989898144303,0.466642925229525,0.17574202885835524,False
region_45,-0.28714115999584017,0.7742489375728308,0.8923547077110592,-0.03680038018152055,False
region_46,-1.7177174766389087,0.08712208513178737,0.29083937832428136,-0.2201448799108764,False
region_47,-0.013455002778699668,0.9892758250112716,0.9977956687620755,-0.0017244104523598655,False
region_48,2.156275834615221,0.03204381285461068,0.15564137672239473,0.2763510828305327,False
region_49,-0.8056274258289081,0.42124533817789656,0.6830033332616703,-0.10325024651844783,False
region_50,0.8161708846915332,0.4152017489162897,0.6830033332616703,0.10460150975976944,False
region_51,1.0613180696634081,0.28959905004159525,0.596749557661469,0.13601988811947668,False
region_52,-2.832591887161673,0.005004599524275458,0.05537717292150058,-0.3630286175209101,False
region_53,-1.7335879783597858,0.08425962000934899,0.29083937832428136,-0.22217886381276014,False
region_54,-0.4770651253478522,0.6337445057597443,0.7835386616665929,-0.061141279725971914,False
region_55,-1.8458466649110152,0.06613082662354466,0.26452330649417866,-0.23656608138833599,False
region_56,0.9497105454334465,0.34320292577540146,0.6307513230466838,0.12171612434405572,False
region_57,-1.6591595685402512,0.09837369289953882,0.3040641416894836,-0.21264002313347694,False
region_58,1.1853432035801628,0.23703964495128788,0.5588200259599944,0.1519151087150426,False
region_59,0.7533189704330628,0.4519874999525759,0.6830033332616703,0.09654632763303585,False
region_60,0.002765566802239937,0.9977956687620755,0.9977956687620755,0.0003544385964774125,False
region_61,-2.9042101424806543,0.004020871000192555,0.05537717292150058,-0.37220730518698314,False
region_62,-1.703152798078563,0.08981804330602808,0.29083937832428136,-0.21827825198386613,False
region_63,-2.1741532181385788,0.03065914823719105,0.15564137672239473,-0.2786422712840444,False
region_64,-0.49773365393961816,0.6191218975439632,0.7818042820842528,-0.06379018491943367,False
region_65,-3.3800226234604227,0.0008442833939331663,0.04446039794538405,-0.4331880444004825,True
region_66,-0.6211881022484826,0.5350581264272993,0.7490320362764361,-0.07961226571388301,False
region_67,1.0248359596542465,0.3064597067631497,0.6129194135262994,0.13134429400339573,False
