Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,-3.828147363861545,0.00016430839124434072,0.0007980693289010836,-0.4906202871891701,True
region_1,-3.559129112128117,0.0004474113641894944,0.0016012617244676641,-0.45614256222733746,True
region_2,-1.9103242814173174,0.05726859256814607,0.07947478152314148,-0.24482961560497216,False
region_3,-0.2779428670015213,0.781292554748784,0.781292554748784,-0.035621515127075364,False
region_4,-4.565776522580581,7.91052418399372e-06,0.0001114660365043767,-0.5851557883838749,True
region_5,-2.3748627733478065,0.018332652616586956,0.031165509448197824,-0.30436546588934055,True
region_6,-3.623280516570934,0.00035417800685830827,0.0013380058036869423,-0.4643642886865757,True
region_7,-2.137624300729806,0.03354559508284052,0.051843192400753524,-0.273960678271459,False
region_8,-2.4474270946851138,0.015096872917106744,0.026797312714344892,-0.3136654025924785,True
region_9,-3.5006716760579475,0.0005520066611725346,0.001787450140939636,-0.44865058207426456,True
region_10,1.2857199214459805,0.19976469727995919,0.2302372782209699,0.16477951790977047,False
region_11,1.1549500047120174,0.24924535479382048,0.2824780687663299,0.14801987727801522,False
region_12,-2.3460779574347135,0.019776620750616546,0.032800249049803054,-0.30067636687938926,True
region_13,-3.321560188822276,0.0010329562448790175,0.0029267093604905493,-0.42569542362451207,True
region_14,-5.060817031245747,8.242058239553415e-07,1.8681998676321073e-05,-0.6486008163429295,True
region_15,-3.278373342558825,0.0011967898439544118,0.002979543647304942,-0.42016054189122476,True
region_16,-5.2496882449451,3.323082198584207e-07,1.4120244073493972e-05,-0.6728067938822767,True
region_17,-1.3809894658658644,0.16855090107835008,0.2010782679531194,-0.17698938519045843,False
region_18,-1.6510481583811003,0.10002048574524229,0.13079601982070146,-0.21160045438036146,False
region_19,-4.161507962804476,4.390390495186067e-05,0.00033171839296961393,-0.533344210080674,True
region_20,-3.453850103490044,0.000651875751944512,0.0020148886878284915,-0.44264986914540255,True
region_21,-4.406748668773242,1.5751467928841784e-05,0.0001556496135359418,-0.5647745742115629,True
region_22,-2.7102031962772575,0.0072033912899081174,0.01323866507334465,-0.34734312556799635,True
region_23,-2.3079332068706258,0.02184353395880424,0.03536572164758781,-0.2957876866124849,True
region_24,-2.7241815060369574,0.00691424600724686,0.013060242458132958,-0.34913460371574595,True
region_25,-2.8712110871959844,0.0044498324673229745,0.00945589399306132,-0.3679781038418174,True
region_26,-3.7873573657016006,0.00019196294686263594,0.000870232025777283,-0.4853925885899472,True
region_27,-1.1152322352723152,0.26585261392027904,0.29299350175624134,-0.14292959688991552,False
region_28,-3.6710745931842674,0.00029695482037157264,0.0011878192814862906,-0.4704896389840422,True
region_29,-3.277973461462227,0.0011984138912365459,0.002979543647304942,-0.4201092926158424,True
region_30,-1.9532003699360838,0.05194361191311621,0.0735867835435813,-0.25032467022622523,False
region_31,-1.7211808813711866,0.08649076738956742,0.11532102318608989,-0.22058875431352967,False
region_32,-1.3875370188440994,0.16654917268085748,0.2010782679531194,-0.17782852799694843,False
region_33,-3.840915083168413,0.0001564577879050671,0.0007980693289010836,-0.49225661450828556,True
region_34,-4.119671563448527,5.2056219964856453e-05,0.0003539822957610239,-0.5279824033590353,True
region_35,-2.440818399084956,0.015369046997933098,0.026797312714344892,-0.31281842366896473,True
region_36,-3.2932580301439307,0.001137773750163272,0.002979543647304942,-0.422068182586216,True
region_37,-2.9950046228844265,0.003028186672466779,0.006863889790924699,-0.3838436425107261,True
region_38,2.860558929386483,0.004596965521019308,0.009472535013009483,0.36661290960373294,True
region_39,-4.161587240464601,4.3889681670236946e-05,0.00033171839296961393,-0.5333543704075061,True
region_40,-2.117467878616419,0.03523627000217367,0.05208839913364803,-0.27137740530257287,False
region_41,0.5061029474845463,0.6132432113078,0.6318263389231878,0.06486280433877628,False
region_42,-0.9770648199855446,0.32950874970345634,0.35138956984281045,-0.12522188333423842,False
region_43,-1.1122236271835821,0.26714113395422,0.29299350175624134,-0.14254400980973456,False
region_44,-1.3940640382227085,0.1645716723243707,0.2010782679531194,-0.17866503919091462,False
region_45,-1.5089156209260544,0.1326194313304996,0.17015323265045232,-0.19338456567048207,False
region_46,-4.557693804625473,8.196032095910052e-06,0.0001114660365043767,-0.5841198968605132,True
region_47,-1.7388552585583792,0.08332669340309883,0.11332430302821439,-0.22285392521403624,False
region_48,0.452775892882092,0.6511141076237716,0.6608322286330817,0.058028340469648436,False
region_49,-3.865619367828816,0.00014226534812488887,0.0007980693289010836,-0.4954227473874189,True
region_50,-2.2341442367890694,0.026383785612047145,0.04172319585160944,-0.28633079735201294,True
region_51,-1.426933267544071,0.15488276762701322,0.19503755923401667,-0.18287760187373323,False
region_52,-4.402749967924121,1.6022754334582245e-05,0.0001556496135359418,-0.5642620955704585,True
region_53,-2.7597182048459965,0.006225805427146702,0.012095850544170736,-0.35368903271710456,True
region_54,-2.1232843438285562,0.03474104509296214,0.05208839913364803,-0.27212285096115535,False
region_55,-3.975611615426684,9.262339557401423e-05,0.0005725809908211788,-0.5095194952332525,True
region_56,-0.580752640769616,0.5619453824302744,0.5878813231578255,-0.07443000499145964,False
region_57,-3.271047156620063,0.0012268709135961526,0.002979543647304942,-0.41922160848359047,True
region_58,-3.3279878408413595,0.0010104389644986953,0.0029267093604905493,-0.42651919976994584,True
region_59,-0.9746167580106272,0.33071959514617455,0.35138956984281045,-0.12490813656457923,False
region_60,-1.3531336466163266,0.1772704333967324,0.20783430122375524,-0.1734193475871223,False
region_61,-2.89970618132445,0.004077103929880567,0.008943324749415437,-0.37163007173541696,True
region_62,-5.203802406541335,4.153012962792345e-07,1.4120244073493972e-05,-0.6669260058467654,True
region_63,-3.1423779466193187,0.0018838987113126168,0.004417417667905447,-0.40273119712719735,True
region_64,-2.766625341609754,0.00609943439084054,0.012095850544170736,-0.3545742602437878,True
region_65,-3.508090227346071,0.0005375656641649948,0.001787450140939636,-0.4496013531438076,True
region_66,-3.7657363275407274,0.00020835167511763268,0.0008854946192499389,-0.48262160854566927,True
region_67,-2.063162047624935,0.04015970886824203,0.05810340857532889,-0.26441750019322185,False
