Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,-2.3075425163594887,0.021876223764230786,0.09543429277867367,-0.2979024578841951,False
region_1,-1.439299781225996,0.15136856765348802,0.31217426033601153,-0.18581280276294201,False
region_2,-0.9629150715228534,0.33655932334655725,0.4869368933524658,-0.12431180119400449,False
region_3,-0.014037589787936079,0.9888116537710512,0.9888116537710512,-0.0018122450489855913,False
region_4,-3.4735755702644227,0.0006091424991520558,0.031658178296449416,-0.44843667784756797,True
region_5,-1.8004116448154455,0.07305123226227288,0.19869935175338221,-0.2324321438896041,False
region_6,-2.6991226067857905,0.0074465004915950745,0.050636203342846506,-0.34845523018177726,False
region_7,-1.1927706205756683,0.23413710351408376,0.4181452686705745,-0.15398602497783498,False
region_8,-0.20101177728960992,0.8408596142505899,0.9222331253070986,-0.025950508861140448,False
region_9,-3.0208516065922693,0.002793368673216125,0.031658178296449416,-0.389990265456526,True
region_10,0.2224703078475695,0.82413699214376,0.91871008960288,0.028720793243975792,False
region_11,0.5041119597753503,0.6146451613568136,0.7332608942502338,0.0650805741611305,False
region_12,-2.8587331362354256,0.0046273361251271345,0.03915126307520807,-0.3690608609297034,True
region_13,-1.502119705986678,0.13438076648006952,0.2947707135691848,-0.1939228201765462,False
region_14,-2.238703173551984,0.02609255837231227,0.0985718871842908,-0.2890153369422842,False
region_15,-3.312928373003241,0.0010657649154471257,0.031658178296449416,-0.4276972138606528,True
region_16,-3.083326210737013,0.0022864221506161643,0.031658178296449416,-0.39805570217030906,True
region_17,-0.5902932709044189,0.5555494419206221,0.6897847797117308,-0.07620653358637058,False
region_18,-1.732419731404778,0.08448354503752352,0.2209569639442923,-0.22365442561239438,False
region_19,-0.9308146709512968,0.3528847812429208,0.4897176556024207,-0.12016765729999697,False
region_20,-1.1216445783806799,0.26313455832231536,0.42602738014089153,-0.1448036924144071,False
region_21,-2.432775135217102,0.015715267613470068,0.08220293828584344,-0.31406991945877766,False
region_22,-1.4388483859574892,0.15149633222188794,0.31217426033601153,-0.18575452788435923,False
