Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,-5.385690600434316,1.6907914674242502e-07,1.6424831397835574e-06,-0.6869956562436782,True
region_1,-4.780820213371525,3.013608943664914e-06,1.366169387794761e-05,-0.6098387307290453,True
region_2,-1.8792960090408692,0.061391086457497336,0.07730729405758924,-0.23972193926309887,False
region_3,-1.3919379780354426,0.16520346576218048,0.19708483634786442,-0.17755482362723227,False
region_4,-4.311784916021968,2.3484180602127187e-05,9.980776755904055e-05,-0.5500088526669593,True
region_5,-2.11328124449135,0.03558811894964001,0.04653830939568309,-0.2695689639634542,True
region_6,-5.327402553707878,2.2564196944555873e-07,1.917956740287249e-06,-0.6795604658692512,True
region_7,-1.3966069129767908,0.1637956962521087,0.19708483634786442,-0.17815039033574906,False
region_8,-2.780866289812464,0.005842666724121129,0.009029575846369018,-0.35472573592355516,True
region_9,-3.3046554237478873,0.0010932064660209336,0.0021864129320418673,-0.42153998250731844,True
region_10,-1.1173080399804545,0.2649571086853425,0.28598545064449665,-0.14252318358035834,False
region_11,-1.1196781315351076,0.2639474135195311,0.28598545064449665,-0.14282551112268227,False
region_12,-3.1784017087787064,0.0016713934140179577,0.0032472786329491754,-0.4054351298146182,True
region_13,-3.0550538811837384,0.0024989678392540724,0.004471837186033603,-0.38970095047687403,True
region_14,-5.538907334623366,7.83300263572558e-08,8.877402987155657e-07,-0.7065398964648361,True
region_15,-3.470127548429582,0.0006145631515218928,0.0013059466969840222,-0.4426475134294566,True
region_16,-5.586044525445319,6.162582079095902e-08,8.381111627570426e-07,-0.7125526899475509,True
region_17,-0.5666646469241708,0.5714607936399592,0.5978359071925726,-0.07228342284504223,False
region_18,-3.495680775171783,0.0005611590450993493,0.0012719605022251917,-0.4459070686243811,True
region_19,-2.839160428581333,0.00490282376622105,0.00796509294638907,-0.36216170339547976,True
region_20,-5.253882432864777,3.23649059896323e-07,2.445348452549996e-06,-0.6701822807091814,True
region_21,-5.637955669922888,4.724050132682203e-08,8.381111627570426e-07,-0.7191744462667594,True
region_22,-3.962124853252706,9.746771622325983e-05,0.0003156097477705556,-0.5054064122176317,True
region_23,-1.1562384894826403,0.24870983816484335,0.27725031139687456,-0.14748912976773468,False
region_24,-3.7986385919721184,0.00018356479093033755,0.0005673820810574069,-0.48455219691119994,True
region_25,-4.246167129697038,3.089247048551314e-05,0.00012356988194205256,-0.5416386848422577,True
region_26,-4.9126724636202574,1.643953523858743e-06,8.599141509414965e-06,-0.6266577294252439,True
region_27,-1.1793027557247164,0.23942156971898634,0.2713444456815179,-0.1504311945646757,False
region_28,-6.205844703722187,2.3046172925429223e-09,7.835698794645937e-08,-0.7916140512112169,True
