Channel,T_statistic,P_value,P_corrected_FDR,Effect_size_Cohens_d,Significant_FDR
region_0,0.17135126363750966,0.8640901753607254,0.9110391220043728,0.021960598217739546,False
region_1,-2.005630173480097,0.04600444151921333,0.22255477431520848,-0.257044141246298,False
region_2,-1.9610107209289747,0.05101992046077834,0.22255477431520848,-0.2513256548495849,False
region_3,-0.08530481780480649,0.9320893023912022,0.9460010830239067,-0.010932775108165269,False
region_4,-2.8589119727640133,0.004620105760479779,0.04800708373596298,-0.3664018335258546,True
region_5,-2.839286916236161,0.004904128495483172,0.04800708373596298,-0.36388666105347467,True
region_6,-0.8638530785382,0.3885204746033779,0.6112882389792575,-0.11071252101803598,False
region_7,-0.2580021431697917,0.7966236237638171,0.8880394494416322,-0.033065886327243985,False
region_8,0.38323479673192684,0.7018807282556896,0.8522837414533374,0.049115864192813635,False
region_9,-1.772350519068817,0.07758933491825207,0.27868588375803977,-0.22714672085880214,False
region_10,-0.9302543457198968,0.3531626252213812,0.6112882389792575,-0.11922259277806013,False
region_11,-0.0862203632420545,0.931362243766461,0.9460010830239067,-0.01105011258832545,False
region_12,1.3316985362366878,0.18420705877105348,0.48177230755506295,0.17067219628629524,False
region_13,-0.6709867476858152,0.502866249350062,0.7134399473075589,-0.08599452412868197,False
region_14,-0.6861518832928142,0.4932714910270112,0.7134399473075589,-0.08793810740267154,False
region_15,0.4238377677859821,0.672059065560159,0.8309093901471057,0.05431959315772468,False
region_16,-1.7706769027129683,0.0778681145794523,0.27868588375803977,-0.22693222803522323,False
region_17,-1.0499493216788849,0.2947844835161949,0.5895689670323898,-0.13456285476339352,False
region_18,-1.3827020846601443,0.16802557033731502,0.45702955131749684,-0.17720887661668389,False
region_19,-1.8272394575810544,0.06889025071883216,0.27556100287532864,-0.23418135777759047,False
region_20,0.4502511645035931,0.6529307761045936,0.8222091254650439,0.05770476803515254,False
region_21,-0.02971498156118121,0.976318753880983,0.976318753880983,-0.003808310235126805,False
region_22,-1.1387846282400926,0.25591440282726696,0.5613606255565856,-0.14594810184897933,False
region_23,-0.18833700462088898,0.8507696651433643,0.9110391220043728,-0.02413751261713199,False
region_24,-2.5447412570344845,0.011555542827219156,0.09822211403136283,-0.3261373107353408,False
region_25,-1.532658909584522,0.12666077075204896,0.39149692777906037,-0.1964275360666588,False
region_26,-1.5625631501049126,0.11945673574605781,0.386812287177711,-0.20026010197328795,False
region_27,0.7709305978271722,0.4414970054831001,0.6671510305077958,0.09880345643939681,False
region_28,-0.9663426741295995,0.33483348301883675,0.6112882389792575,-0.12384771933815296,False
region_29,-2.9526041434202366,0.0034598214451422144,0.04800708373596298,-0.3784095425572971,True
region_30,0.3292290218711108,0.7422661736909264,0.855493217135305,0.04219441466288757,False
region_31,0.8670595381418998,0.38676475813409106,0.6112882389792575,0.11112346500271081,False
region_32,-0.6469004392157689,0.5183069602404806,0.7134399473075589,-0.08290759187250551,False
region_33,0.48675318865852035,0.6268719847856852,0.8197556724120499,0.06238291437375418,False
region_34,0.9018828107097059,0.3680121719517754,0.6112882389792575,0.11558646037989236,False
region_35,-0.45829994701427723,0.6471465490083166,0.8222091254650439,-0.05873631034833342,False
region_36,-0.8956782017642388,0.37131103939371457,0.6112882389792575,-0.1147912697214923,False
region_37,-2.2053343891175885,0.02836758860120709,0.17536327498928017,-0.2826384902397287,False
region_38,0.9186098479539835,0.35921057760550323,0.6112882389792575,0.11773021897552104,False
region_39,-3.2905187515285452,0.0011484272755019102,0.04800708373596298,-0.421717113117559,True
region_40,0.33035376426661445,0.7414173119299532,0.855493217135305,0.04233856309413792,False
region_41,-1.949669154963508,0.05236582925063729,0.22255477431520848,-0.2498721051760062,False
region_42,1.2189033798405648,0.2240628028479065,0.5278516026258616,0.15621622404577237,False
region_43,-0.2585587355629711,0.796194594145589,0.8880394494416322,-0.033137219923846585,False
region_44,0.6395078106651907,0.5230950496336548,0.7134399473075589,0.08196014309432972,False
region_45,-1.216135894864136,0.22511318347279394,0.5278516026258616,-0.15586153961362514,False
region_46,-1.0908489612183216,0.2764198073219739,0.569592330239219,-0.13980460514275475,False
region_47,-0.36017807762129916,0.7190268246895776,0.855493217135305,-0.04616088543246482,False
region_48,1.4365291010458223,0.1521380328319542,0.4310577596905369,0.18410741623064442,False
region_49,-2.0792263417155974,0.038645559194557304,0.2021460019407613,-0.266476320774335,False
region_50,1.2901535433453097,0.19822371019121135,0.4992300849260138,0.1653477365917553,False
region_51,0.6372096151542633,0.5245881965496757,0.7134399473075589,0.08166560340334701,False
region_52,-2.13663616846211,0.03362681978088556,0.1905519787583515,-0.2738340379697991,False
region_53,-2.836755063016349,0.004941905678702071,0.04800708373596298,-0.3635621754901572,True
region_54,-0.8511221161056064,0.39553944875128433,0.6112882389792575,-0.10908090450717808,False
region_55,-1.7001950718648404,0.09037369696609451,0.30727056968472133,-0.21789918599019456,False
region_56,-0.22988507984015907,0.8183744634977689,0.8975719922233595,-0.029462367346776822,False
region_57,-2.3279431971470905,0.020736817907865576,0.1566781797483177,-0.2983521926889147,False
region_58,0.8942416911347846,0.3720774274711405,0.6112882389792575,0.11460716467260458,False
region_59,1.469152864181751,0.1430847305857734,0.42303311651446046,0.18828851965159404,False
region_60,-0.5905212052201859,0.5553900609633275,0.7405200812844367,-0.07568195676881498,False
region_61,-2.977875051420216,0.0031962408599343455,0.04800708373596298,-0.38164829461201805,True
region_62,0.16275548923600477,0.8708462195630035,0.9110391220043728,0.020858952720679683,False
region_63,-2.2123509805374257,0.02787288683422044,0.17536327498928017,-0.28353774561583756,False
region_64,-0.8643554616634819,0.38824506948511595,0.6112882389792575,-0.1107769070851795,False
region_65,-3.0545203344542133,0.002505360094827264,0.04800708373596298,-0.39147125261223015,True
region_66,1.181067741159695,0.238730477706084,0.5411224161337904,0.15136715995518074,False
region_67,1.0973978672345688,0.27355374925340736,0.569592330239219,0.14064392135633566,False
